20201223,徐汇,斜土路,内环内，低总价三房，电梯高层，采光好，钥匙随时可看必看好房,970万,3室2厅 | 111.07平米 | 南 | 简装 | 高楼层(共26层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_60PxQc0aq_1.jpg.296x216.jpg
20201223,徐汇,斜土路,高区全南两房，单价实惠，电梯房适合自住,760万,2室2厅 | 115.03平米 | 南 北 | 简装 | 高楼层(共22层)  | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/79b3bde7-a71b-4386-b15e-cd1660019fa7.png.296x216.jpg
20201223,徐汇,斜土路,酒店式公寓，精装修，随时可看！价格低，楼层好。,479万,1室1厅 | 67.49平米 | 暂无数据 | 其他 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 东,427万,1室1厅 | 60.74平米 | 东 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,酒店式公寓，精装修，随时可看！价格低，楼层好,399万,1室1厅 | 60平米 | 东 | 其他 | 低楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,金巢铂瑞阁 1室2厅 西,420万,1室2厅 | 60平米 | 西 | 其他 | 高楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,金巢铂瑞阁 1室2厅 南,400万,1室2厅 | 60.66平米 | 南 | 其他 | 中楼层(共14层) | 2015年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/171ca64a-48f1-4c13-8cd3-3be8542e3478.png.296x216.jpg
20201223,徐汇,斜土路,西木北居委+装修好+2楼+楼道整洁+四轨(4/7/9/12号线),220万,1室1厅 | 30.82平米 | 南 | 其他 | 中楼层(共5层) | 1967年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/rsp_pic_uploadf9de645f-fa33-4596-8520-890f30b0161d.jpg.296x216.jpg
20201223,徐汇,斜土路,品质小区，户型正气，可通天然气,1510万,4室2厅 | 239.76平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 南,420万,1室1厅 | 60平米 | 南 | 其他 | 高楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 南,420万,1室1厅 | 65平米 | 南 | 简装 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,教科院南洋9/12号线中间楼层安静“美丽家园”翻新改造,270万,1室1厅 | 32.93平米 | 南 | 简装 | 中楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-da86754d-c3c5-4725-a2b8-567b9b1a851a.png.296x216.jpg
20201223,徐汇,斜土路,中山新村 小户型 少有的边套户型 出租自住皆适宜,220万,1室0厅 | 31.05平米 | 西 | 简装 | 7层 | 1985年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/9c72c6aa-98b7-41d4-bc55-96cedcb44737.jpg.296x216.jpg
20201223,徐汇,斜土路,内环内+精装修+南北通+大两房两厅+徐汇黄浦,950万,2室2厅 | 121.32平米 | 东南 | 精装 | 高楼层(共22层)  | 塔楼,
20201223,徐汇,斜土路,兴南花园 2室2厅 北 东南,1220万,2室2厅 | 153.24平米 | 北 东南 | 精装 | 高楼层(共24层) | 1995年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_91a0e034-4b54-4995-86fb-22f84dc31460.png.296x216.jpg
20201223,徐汇,斜土路,边套全明户型+南北两房带明厅+朝南带小院+精装修,430万,2室1厅 | 56.36平米 | 南 | 精装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/4e62d120-d6f5-4b61-8a89-e55141bef6fd.png.296x216.jpg
20201223,徐汇,斜土路,总价低，业主诚意出售，二楼朝南分门，两套一起出售。,200万,1室0厅 | 28.26平米 | 南 | 简装 | 低楼层(共6层) | 1969年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/5a7d314a-f6a5-4064-8618-b2d6302df41e.png.296x216.jpg
20201223,徐汇,斜土路,小户型，两套同样户型一起出售，总价低。,200万,1室0厅 | 28.26平米 | 南 | 简装 | 低楼层(共6层) | 1969年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/9b86467b-53fb-4267-ae64-e6fbe23fcc91.png.296x216.jpg
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 东,365万,1室1厅 | 60.74平米 | 东 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 东,365万,1室1厅 | 60平米 | 东 | 其他 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,徐汇内环06年住宅，户型正气全明，物业管理好,870万,2室2厅 | 107.3平米 | 南 北 | 精装 | 高楼层(共23层) | 2006年建 | 板塔结合,http://image1.ljcdn.com/x-se/hdic-frame/862d3712-587a-457b-99e5-512646b6e284.png.296x216.jpg
20201223,徐汇,斜土路,小木桥路13号 1室1厅 东,220万,1室1厅 | 16平米 | 东 | 其他 | 高楼层(共5层)  | 板楼,
20201223,徐汇,斜土路,金巢铂瑞阁 2室1厅 南房主自荐,618万,2室1厅 | 98.02平米 | 南 | 精装 | 低楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,内环内，88年一梯三户，绿化好南北两房全明深井。,450万,2室1厅 | 52.84平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,
20201223,徐汇,斜土路,中楼层、品质一梯两户、南北三房、无增值税、总价低,475万,3室1厅 | 58.7平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/ed30e639-d1aa-4cee-920e-f2a5c3546b61.png.296x216.jpg
20201223,徐汇,斜土路,满五唯一+诚意出售+高得房率+两个租赁车位,1380万,3室2厅 | 150平米 | 南 北 | 精装 | 中楼层(共24层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mLLBanWaC_1.jpg.296x216.jpg
20201223,徐汇,斜土路,日晖六村 1室0厅 南,300万,1室0厅 | 35.5平米 | 南 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-1c315883-5dcf-47d8-833f-35c17e999cbb.png.296x216.jpg
20201223,徐汇,斜土路,茶陵小区 1室1厅 南,278万,1室1厅 | 34.75平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-81b503ce-7829-4a31-8477-7f362282f884.jpg.296x216.jpg
20201223,徐汇,斜土路,西木小区 1室1厅 南,267万,1室1厅 | 33.9平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-68ec2bca-29b5-4122-afa8-184ae58992a1.jpg.296x216.jpg
20201223,徐汇,斜土路,双西南大两房，房龄新，全明户型，房东诚意出售,485万,2室1厅 | 60平米 | 西 | 其他 | 7层 | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_12Mmq2CO6_1.jpg.296x216.jpg
20201223,徐汇,斜土路,上海徐汇，黄。金。楼层，朝南一房，精装入住,280万,1室0厅 | 34平米 | 南 | 精装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VnLZitvfz_1.jpg.296x216.jpg
20201223,徐汇,斜土路,西木小区 1室0厅 南,232万,1室0厅 | 29.53平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1959be14-fbad-4cac-b54e-a4bfb1e5ad31.jpg.296x216.jpg
20201223,徐汇,斜土路,1992年+内环内低总价+交通医疗便利,238万,1室0厅 | 34.33平米 | 东 西 | 简装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BV9bAFD7t_1.jpg.296x216.jpg
20201223,徐汇,斜土路,1992年房龄+南北通+采光及视野好+正规三房,610万,3室1厅 | 89.24平米 | 南 北 | 精装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170310/82262838-00c5-4a56-920a-83f96afd8252.jpg.296x216.jpg
20201223,徐汇,斜土路,满五年不唯一，户型紧凑，配套完善,360万,2室1厅 | 53.79平米 | 东 西 | 简装 | 7层 | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_upload4a00eca3-5282-4aa2-8727-a65ca42ac520.jpg.296x216.jpg
20201223,徐汇,斜土路,朝南一室户  通透 楼层好 采光充足 视野宽阔,277万,1室1厅 | 41.94平米 | 南 | 简装 | 高楼层(共6层) | 1980年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/3878ad3c-bb33-4c33-8c4a-1a660b4603d7.png.296x216.jpg
20201223,徐汇,斜土路,合丰大楼 电梯两房 诚意出售 随时可看,630万,2室1厅 | 73.73平米 | 暂无数据 | 简装 | 中楼层(共18层)  | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/8bcb8677-5a76-4adf-9f71-93cea2b9c5b0.png.296x216.jpg
20201223,徐汇,斜土路,楼层低，进出方便，精装修拎包入住房主自荐,225万,1室1厅 | 30.72平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6bac2af095fe8d5694dcf948f62bf48f-053.jpg.296x216.jpg
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 南,388万,1室1厅 | 60平米 | 南 | 其他 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 西,390万,1室1厅 | 64平米 | 西 | 其他 | 高楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,近地铁、精装修、一门关、房龄较新,228万,1室1厅 | 30.77平米 | 东南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/d6cb1162-bde4-4f61-a1da-037f0e65f016.png.296x216.jpg
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 南,380万,1室1厅 | 66.6平米 | 南 | 其他 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,酒店式公寓，精装修，随时可看！,360万,1室1厅 | 60.55平米 | 南 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,
20201223,徐汇,斜土路,此房满五唯一两南一北采光很好的看房提前约 满五唯一,950万,3室1厅 | 134.52平米 | 南 | 其他 | 低楼层(共24层) | 1998年建 | 板楼,
20201223,徐汇,斜土路,金巢铂瑞阁 1室1厅 南,400万,1室1厅 | 58.18平米 | 南 | 精装 | 中楼层(共14层) | 2015年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-1b59b054-de07-435f-a9b4-c34162253fe8.png.296x216.jpg
20201223,徐汇,斜土路,1992年+内环内低总价+朝南一门关+交通便利,258万,1室0厅 | 34.2平米 | 南 | 简装 | 高楼层(共7层) | 1992年建 | 板楼,
20201223,徐汇,斜土路,楼层好+交通便利+业主诚意出售+进出方便+满五,280万,1室0厅 | 35平米 | 南 | 其他 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/3ecdf9d3-5335-482c-9c41-12c965853dc1.png.296x216.jpg
20201223,徐汇,斜土路,银亿徐汇酩悦 3室2厅 南,880万,3室2厅 | 183.51平米 | 南 | 精装 | 15层 | 2014年建 | 板楼,
20201223,徐汇,斜土路,银亿徐汇酩悦 3室2厅 北,750万,3室2厅 | 157.46平米 | 北 | 其他 | 15层  | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/ec363c74-f3e2-4c29-82e2-57d00bccd15c.png.296x216.jpg
