20201223,浦东,北蔡,满五唯一+精装带地暖+三房2卫+有车位+高区景观必看好房,1070万,3室2厅 | 119.33平米 | 南 北 | 精装 | 中楼层(共20层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zqJfQJijU_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层，视野好，采光充足，地铁口,320万,1室1厅 | 55.52平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f9BqNzDbM_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一 电梯房 楼层高层 采光好房主自荐,325万,1室1厅 | 62.32平米 | 南 | 简装 | 高楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_gKnDS16B0_1.jpg.296x216.jpg
20201223,浦东,北蔡,诚意出售，25平花园，拎包入住，门口地铁房主自荐,858万,2室1厅 | 92平米 | 南 北 | 简装 | 低楼层(共15层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lk1Q7hguM_1.jpg.296x216.jpg
20201223,浦东,北蔡,税费少 近地铁2/7号线龙阳CBD 两居室 业主诚意出售房主自荐,470万,2室2厅 | 91.81平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KrJFItTPP_1.jpg.296x216.jpg
20201223,浦东,北蔡,中内环 央位联排边套 满五唯一 含双车位车库 诚意售新上,2500万,5室3厅 | 225.95平米 | 南 | 精装 | 3层 | 2007年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/pc1_zC4wXBx8v_1.jpg.296x216.jpg
20201223,浦东,北蔡,精选四房，精装，三开间朝南，视野好新上,1300万,4室2厅 | 140平米 | 南 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5St4vf7TW_1.jpg.296x216.jpg
20201223,浦东,北蔡,户型格局好，采光充足，业主诚意出售。,249万,2室1厅 | 55.56平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c4d3cee5-8e29-4bd0-91a2-88d59281d81a.jpg.296x216.jpg
20201223,浦东,北蔡,店长推荐 非顶楼 精装修 大一房 南北通 拎包入住房主自荐,218万,1室1厅 | 49.01平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zSqaGl2eH_1.jpg.296x216.jpg
20201223,浦东,北蔡,国家2019年新改造小区，双轨地铁，可直接入住房主自荐,460万,2室1厅 | 77.28平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_EBi8fpTqU_1.jpg.296x216.jpg
20201223,浦东,北蔡,本房源为满五年唯一的，中间楼层，产权清晰房主自荐,220万,1室1厅 | 46.15平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k9GILXs5i_1.jpg.296x216.jpg
20201223,浦东,北蔡,精装修 小区央座 售后公房 满五年唯一 税费少 带阁楼房主自荐,328万,2室1厅 | 65.55平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FZ4PiQ9Io_1.jpg.296x216.jpg
20201223,浦东,北蔡,地铁口   交通出行方便 配套齐全房主自荐,315万,2室1厅 | 63.29平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_toGuHgybB_1.jpg.296x216.jpg
20201223,浦东,北蔡,绿地集团建造，满五唯一，中间楼层，近13号线600米,285万,1室1厅 | 62.44平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hkYbfEeqo_1.jpg.296x216.jpg
20201223,浦东,北蔡,景观房+采光好+户型正气+满五年+诚意出售房主自荐,275万,1室1厅 | 50.38平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KF7raXhGw_1.jpg.296x216.jpg
20201223,浦东,北蔡,花木新村 2室1厅 南,550万,2室1厅 | 84.22平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VPKqm7wGj_1.jpg.296x216.jpg
20201223,浦东,北蔡,小三房大理石精装修   实际面积大三平  看房方便,290万,3室1厅 | 59.67平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o2VFDvty2_1.jpg.296x216.jpg
20201223,浦东,北蔡,全明边套，近地铁，精装修两房！房主自荐,288万,2室1厅 | 63.47平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XXo6WC0ff_1.jpg.296x216.jpg
20201223,浦东,北蔡,家庭唯一住房，楼层好，总价低，看房方便！,318万,2室1厅 | 70.95平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qrB6s2Yu9_1.jpg.296x216.jpg
20201223,浦东,北蔡,2005年顶楼复式，满五年唯一，绿地商品房，车位充足。,287万,1室1厅 | 53.38平米 | 南 | 简装 | 高楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_umqegTcDj_1.jpg.296x216.jpg
20201223,浦东,北蔡,精装修   边套全明户型   满五年唯一   省税费,320万,2室1厅 | 60.9平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VaSJC0Ico_1.jpg.296x216.jpg
20201223,浦东,北蔡,近13/18双轨交通，明亮户型，满五唯一,395万,2室1厅 | 76.88平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N7FzQQRns_1.jpg.296x216.jpg
20201223,浦东,北蔡,非顶楼，全明户型，近地铁，业主诚意出售。,220万,1室1厅 | 46.68平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qCFFo8QpF_1.jpg.296x216.jpg
20201223,浦东,北蔡,私密性好 装修好 诚意出售 小区有固定车位 环境好房主自荐,258万,1室2厅 | 48.55平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XggDuPcGt_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一+采光充足+简单装修+业主诚意卖房主自荐,275万,2室1厅 | 60.31平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7kTsTG9G5_1.jpg.296x216.jpg
20201223,浦东,北蔡,此房满五唯一 ，采光通风好，诚意出售，看房方便,215万,1室1厅 | 49.85平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hLoJLqSxT_1.jpg.296x216.jpg
20201223,浦东,北蔡,此房满五年唯一，诚意出售看房方便,450万,2室1厅 | 81.48平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Nbf60f0AN_1.jpg.296x216.jpg
20201223,浦东,北蔡,低楼层，距离地铁近，精装修可以拎包入住,235万,1室1厅 | 42.06平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SWskCmvsB_1.jpg.296x216.jpg
20201223,浦东,北蔡,健身楼层两房，满五唯一，全明户型,255万,2室1厅 | 58.71平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f6BzUuBc0_1.jpg.296x216.jpg
20201223,浦东,北蔡,房子精装修，满五年唯一，健身楼层，诚意出售房主自荐,315万,2室1厅 | 67.77平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2U0zSDfTa_1.jpg.296x216.jpg
20201223,浦东,北蔡,婚房装修  品牌家电   地铁双轨交通   配套成熟,288万,1室1厅 | 53.39平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_raxs3QmkX_1.jpg.296x216.jpg
20201223,浦东,北蔡,总价格低，视野宽阔，采光充足，业主诚意度高。房主自荐,318万,2室1厅 | 69.11平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tXRbEe1Lk_1.jpg.296x216.jpg
20201223,浦东,北蔡,13号线700米，双南一梯两户，看房方便价位可谈。,320万,2室1厅 | 66.8平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q84pjQJP2_1.jpg.296x216.jpg
20201223,浦东,北蔡,小区中间位置不临街 近地铁 精装修可拎包入住,335万,2室1厅 | 61.96平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VP6FfqBo9_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南全明户型 高层景观房 户型方正 采光充足 诚意出售房主自荐,420万,2室1厅 | 75.49平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pa8Dvxdj1_1.jpg.296x216.jpg
20201223,浦东,北蔡,首付112万，精装修全明户型，一梯两户，价位可谈。房主自荐,320万,2室1厅 | 66.87平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Yu5EpWcLL_1.jpg.296x216.jpg
20201223,浦东,北蔡,中环内商品房，单价5万满五年，中间楼层，车位充足房主自荐,374万,2室1厅 | 73.52平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UmRpMTGOh_1.jpg.296x216.jpg
20201223,浦东,北蔡,首付98万，中环内、楼层好、精装修、采光足、税费少。房主自荐,280万,2室1厅 | 59.67平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tNHHKkcqe_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层，老精装自住，随时看房,230万,1室1厅 | 42平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wiiCH1WYe_1.jpg.296x216.jpg
20201223,浦东,北蔡,近7号线杨高南路站，花木街道，18年装修，低楼层,278万,1室1厅 | 46.53平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5wKq4Y8tE_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层，一手动迁房，满五年唯一,320万,2室1厅 | 67.77平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DPM9lquVz_1.jpg.296x216.jpg
20201223,浦东,北蔡,精致两房一厅 厨卫全明 双轨 产权清晰 诚意急售房主自荐,310万,2室1厅 | 54.89平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_klDK44Fo9_1.jpg.296x216.jpg
20201223,浦东,北蔡,健身楼层+满五唯一+双南两房+近地铁,288万,2室1厅 | 64.73平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n4yT3Kivb_1.jpg.296x216.jpg
20201223,浦东,北蔡,非顶楼 全明户型 一梯两户 业主诚意出售,330万,2室2厅 | 73.24平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9oHK4CAku_1.jpg.296x216.jpg
20201223,浦东,北蔡,地铁13/18双轨交通  满五年唯一  一梯两户  全明户型房主自荐,330万,2室1厅 | 59.74平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hvGURbVlq_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，二期板式，双轨地铁，采光充足，视野开阔房主自荐,1000万,2室2厅 | 104.87平米 | 南 | 精装 | 中楼层(共12层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a3zTU4DVw_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南户型，非顶楼，交通便利，看房方便房主自荐,385万,2室1厅 | 71.43平米 | 南 | 简装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rZFNmr4Ks_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五年唯一+中环内+钥匙房+无户口无抵押房主自荐,230万,1室1厅 | 46.6平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kurrErUcj_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层 东边套 厨房卫生间各7.5平米 诚意出售,560万,3室1厅 | 111.92平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4qTNefvQR_1.jpg.296x216.jpg
20201223,浦东,北蔡,每周笋盘，动迁无增值税，双南全明，户型方正，近地铁,440万,2室1厅 | 72.18平米 | 南 | 简装 | 高楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_N5Xkc3t58_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南全明户型；近地铁；小区央座,365万,2室1厅 | 59.02平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pQrtZClmV_1.jpg.296x216.jpg
20201223,浦东,北蔡,原始动迁没有增值税，满五不唯一,有一个点个税房主自荐,320万,2室1厅 | 56.02平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jAsApgCxJ_1.jpg.296x216.jpg
20201223,浦东,北蔡,房子满五年唯一税费少中间楼层全明户型采光充足精装修,340万,1室1厅 | 59.71平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bPg86SASy_1.jpg.296x216.jpg
20201223,浦东,北蔡,精装修 非顶楼 满五年税费少 小区央座 户型方正,280万,1室1厅 | 58.79平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LEWQRMbc5_1.jpg.296x216.jpg
20201223,浦东,北蔡,楼层好，双南户型，一梯两户，业主自住，诚心出售,370万,2室1厅 | 75.2平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eu4WaYwfY_1.jpg.296x216.jpg
20201223,浦东,北蔡,近13/18双轨交通，明亮户型,一手动迁,455万,2室2厅 | 82.49平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tHiF0ePOB_1.jpg.296x216.jpg
20201223,浦东,北蔡,二期安静位置，视野开阔，买进后未入住过，看房可安排,1030万,2室1厅 | 83.21平米 | 南 北 | 精装 | 低楼层(共22层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vFD8K9hOI_1.jpg.296x216.jpg
20201223,浦东,北蔡,一梯两户，中间楼层，业主诚心出售房主自荐,225万,1室1厅 | 47.2平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jsbjfFDNi_1.jpg.296x216.jpg
20201223,浦东,北蔡,位置好，税费少，采光充足的中间楼层。,345万,2室1厅 | 65.2平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_76uPa01vA_1.jpg.296x216.jpg
20201223,浦东,北蔡,店长推荐 双南户型 南北通风 配套完善 税费少,265万,2室1厅 | 52.74平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Mmjw2YsVq_1.jpg.296x216.jpg
20201223,浦东,北蔡,7号线地铁180米的距离。双南带有天井，采光好房主自荐,338万,2室1厅 | 59.77平米 | 南 | 精装 | 低楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-58e5f62e-917a-4064-88a9-45ecd1e3f5fd.jpg.296x216.jpg
20201223,浦东,北蔡,13/18双轨地铁，三t队小+初，普宅税少，南北通透房主自荐,290万,1室1厅 | 49.03平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wOc3iQ4x7_1.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁，税费少，中间楼层，满五年唯一。房主自荐,298万,2室1厅 | 63.15平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZvddfNGLE_1.jpg.296x216.jpg
20201223,浦东,北蔡,大华锦绣十二街区，双轨交汇，精装修，附带20平花园。,730万,2室2厅 | 88.41平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9oq4nhiBE_1.jpg.296x216.jpg
20201223,浦东,北蔡,绿地精工复式，婚房装修，落地窗+露台，13号线,670万,3室2厅 | 121.88平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a1dc2424-4ead-4664-b4fb-189c29ac8a7c.jpg.296x216.jpg
20201223,浦东,北蔡,龙阳商圈+精装修+价格好谈+小区中间位置,320万,2室1厅 | 60.91平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U6RjzZM9y_1.jpg.296x216.jpg
20201223,浦东,北蔡,精装四房三卫 品质小区 产权清晰 诚意急售 双轨交汇房主自荐,630万,4室1厅 | 102.39平米 | 南 | 精装 | 中楼层(共5层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-bb3cae54-2d69-41c5-8f85-614844274733.jpg.296x216.jpg
20201223,浦东,北蔡,近13号，18号线地铁，一手动迁，高楼层视野好。,520万,2室1厅 | 81.2平米 | 南 | 精装 | 高楼层(共17层) | 2014年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-90d20b15-501b-4543-a94b-ab0d3615de46.jpg.296x216.jpg
20201223,浦东,北蔡,13/18双轨交通，采光充足，配套十分齐全，房主自荐,260万,1室1厅 | 46.8平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-c3bea07b-2b5b-4e47-b71a-29e3457eefa9.jpg.296x216.jpg
20201223,浦东,北蔡,精装修 健身楼层 南北户型 客厅带窗,275万,2室1厅 | 63.15平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6da0d5b2-62f5-4503-b9e7-40a76b44205a.jpg.296x216.jpg
20201223,浦东,北蔡,采光佳，视野开阔。楼层适中，业主诚意出售。看房方便,380万,2室1厅 | 80.03平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_rPB1d53gW_1.jpg.296x216.jpg
20201223,浦东,北蔡,两梯两户东边套+不靠路+视野开阔+开发商装修带地暖房主自荐,1700万,4室2厅 | 169平米 | 南 北 | 精装 | 低楼层(共24层) | 2018年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0fe50e66-1c23-430d-ab53-12888edf23e3.jpg.296x216.jpg
20201223,浦东,北蔡,大三房，精装修，南北通风，税费少，低楼层。房主自荐,575万,3室1厅 | 110.52平米 | 南 | 精装 | 低楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-9ec764c8-5d23-4c6e-83f4-ee58671953d8.jpg.296x216.jpg
20201223,浦东,北蔡,超小一室，全明户型 ，交通便利，配套完善,180万,1室0厅 | 23.75平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Mekstb6Ky_1.jpg.296x216.jpg
20201223,浦东,北蔡,店长推荐+一楼带院子+看房随时+低总价+业主诚售,160万,1室1厅 | 26.11平米 | 南 | 简装 | 低楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JWRFiG31D_1.jpg.296x216.jpg
20201223,浦东,北蔡,芳华路310弄+大户型+满五年唯一+精装修+4轨交通。,510万,2室2厅 | 91.81平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-8c0b92c8-2cb0-405f-91c0-5fad7cbe0482.jpg.296x216.jpg
20201223,浦东,北蔡,内环边，近地铁， 闹中取静，双南全明，精装，税费低,420万,2室1厅 | 67.43平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lRLqGBIgQ_1.jpg.296x216.jpg
20201223,浦东,北蔡,海东公寓一房 出租装修 主卧带阳台,360万,1室1厅 | 54.8平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s4KhYxsTD_1.jpg.296x216.jpg
20201223,浦东,北蔡,30万精装修保养好+一梯两户+满五唯一+位置好+7号线房主自荐,660万,3室2厅 | 104.67平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_k4WPZXxX3_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一 简装修两房 采光好 业主诚意出售,360万,2室1厅 | 70.62平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_pzwpcZpea_1.jpg.296x216.jpg
20201223,浦东,北蔡,健身楼层 视野开阔 采光无遮挡 房东诚意出售 看房方便,230万,1室1厅 | 50.83平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c2z4PIDnZ_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南户型 一梯两户 采光好 双地铁 配套齐全 交通方便房主自荐,540万,2室2厅 | 85.09平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_WGzrVXNgg_1.jpg.296x216.jpg
20201223,浦东,北蔡,2011年十七万硬装修+没有个税满五且一+双轨一梯两户房主自荐,360万,2室1厅 | 63.98平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Nm8I2qwyv_1.jpg.296x216.jpg
20201223,浦东,北蔡,98年商品房  一梯两户  产权清晰  视野开阔  采光好房主自荐,292万,2室1厅 | 63.19平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PPGAsUhQo_1.jpg.296x216.jpg
20201223,浦东,北蔡,非顶楼，边套全明户型，商品房，近地铁，采光好。房主自荐,372万,2室1厅 | 65.54平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bZV9MZ0tq_1.jpg.296x216.jpg
20201223,浦东,北蔡,一手动迁，满五唯一，高楼层，双南两房,425万,2室1厅 | 78.28平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7Ujdgqia2_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南全明户型+近龙阳路+精装修+看房方便+诚意出售房主自荐,411万,2室1厅 | 77.65平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HFPgNmbAf_1.jpg.296x216.jpg
20201223,浦东,北蔡,年轻的生活，不用刻意，阳光就在身边,348万,1室1厅 | 43.55平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sqQH6zLPx_1.jpg.296x216.jpg
20201223,浦东,北蔡,店长推荐 一梯两户 双南户型 中间楼层 采光好 税费少,340万,2室1厅 | 75.02平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KQUnVUJAc_1.jpg.296x216.jpg
20201223,浦东,北蔡,花木新村 低楼层一房 业主急售 精装修,300万,1室1厅 | 49.73平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eYpJSmwtg_1.jpg.296x216.jpg
20201223,浦东,北蔡,低总价+一个点个税+非顶楼+诚意出售房主自荐,205万,1室1厅 | 45.59平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9504cpli7_1.jpg.296x216.jpg
20201223,浦东,北蔡,全明一房+采光充足+配套齐全+交通便利,275万,1室1厅 | 46.5平米 | 南 北 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CaTfFjwYe_1.jpg.296x216.jpg
20201223,浦东,北蔡,13/18双轨交通3梯队小+中满五唯一，婚房精装全明边套房主自荐,370万,2室1厅 | 66.7平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8WKdkEY8d_1.jpg.296x216.jpg
20201223,浦东,北蔡,一梯两户，健身楼层，采光通风都比较好房主自荐,220万,1室1厅 | 50.11平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wy0Bvl6Y4_1.jpg.296x216.jpg
20201223,浦东,北蔡,全明户型、税费少、近地铁、主卧朝南带阳台,370万,2室1厅 | 64.05平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_30zLCxsjs_1.jpg.296x216.jpg
20201223,浦东,北蔡,精装修，全明户型，满五年，近地铁，价格可谈,365万,2室1厅 | 63.58平米 | 南 | 精装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XZefv2qt9_1.jpg.296x216.jpg
20201223,浦东,北蔡,进龙阳路CBD 中间好楼层  边套温馨大一房,285万,1室1厅 | 58.79平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WsJ7LVpfe_1.jpg.296x216.jpg
20201223,浦东,北蔡,地铁口满五唯一税费少精装修诚意出售房主自荐,345万,2室1厅 | 64.57平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rjm1kY9AT_1.jpg.296x216.jpg
20201223,浦东,北蔡,7号线地铁 总价低 采光好 看房方便,360万,2室1厅 | 60.37平米 | 西 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GDl9Fw2MR_1.jpg.296x216.jpg
20201223,浦东,北蔡,户型方正，楼层好，总价低，诚意出售，看房方便！房主自荐,278万,2室1厅 | 64.14平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IJxQMZoH1_1.jpg.296x216.jpg
