20201223,普陀,曹杨,曹杨九村 1室1厅 南必看好房,199万,1室1厅 | 36.12平米 | 南 | 精装 | 高楼层(共7层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qnf0RKIes_1.jpg.296x216.jpg
20201223,普陀,曹杨,业主诚意出售  近环球港 近地铁站房主自荐,438万,3室1厅 | 80.85平米 | 南 | 简装 | 高楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Mque2efci_1.jpg.296x216.jpg
20201223,普陀,曹杨,中间楼层，高品质，近金沙江，近华师大，近环球港。,270万,1室1厅 | 46.92平米 | 南 | 精装 | 中楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_8brF6LxGT_1.jpg.296x216.jpg
20201223,普陀,曹杨,满五唯一 中间楼层 通透性强 采光好,272万,1室1厅 | 40平米 | 南 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7dd450a3-324b-46e3-9cdb-f59e7c4ec3d6_1000.jpg.296x216.jpg
20201223,普陀,曹杨,低总价一室户+中间楼层+11号线枫桥路地铁站,165万,1室1厅 | 31平米 | 东 南 | 简装 | 中楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/500bacc0-6651-48c1-89d1-fe216d5136d2_1000.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨五村(南岭园) 1室1厅 南,164万,1室1厅 | 29.4平米 | 南 | 简装 | 中楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_GtkQ9sBMY_1.jpg.296x216.jpg
20201223,普陀,曹杨,曹杨九村 1室1厅 南新上,175万,1室1厅 | 29.72平米 | 南 | 其他 | 高楼层(共6层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kDALvhi8V_1.jpg.296x216.jpg
20201223,普陀,曹杨,3.4.11曹杨路，品质小区，环球港一路之隔，诚意出售,620万,2室1厅 | 101.3平米 | 南 | 简装 | 低楼层(共30层) | 2000年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170930/e7a5fb1e-b276-47a0-8dd2-40800c896713.jpg.296x216.jpg
20201223,普陀,曹杨,中间楼层，双南二房，看房方便，诚意出售,280万,2室0厅 | 48.54平米 | 南 | 简装 | 中楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/310000-inspection/15c24565-7c4b-4ea8-b6a6-d2cb62e2e86e.jpg.296x216.jpg
20201223,普陀,曹杨,税费少 满五唯一  交通便利 户型小 售价低,162万,1室1厅 | 30.96平米 | 南 | 简装 | 中楼层(共5层) | 1957年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c7225ced09ba05371bfef57bf7e698c1-033.jpg.296x216.jpg
20201223,普陀,曹杨,安天大厦 1室1厅 南,115万,1室1厅 | 40.08平米 | 南 | 简装 | 中楼层(共15层) | 2003年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-b1658873-55bc-4494-97fe-263b6a15d5d0.png.296x216.jpg
20201223,普陀,曹杨,嘉安大厦 1室0厅 北,185万,1室0厅 | 51.02平米 | 北 | 其他 | 中楼层(共9层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-ff283858-55a0-4e86-bbec-ae9bacb1a11f.png.296x216.jpg
20201223,普陀,曹杨,此房楼层优质，业主诚意售房，随时可看，交通便利。,129万,1室1厅 | 41.23平米 | 南 | 简装 | 高楼层(共15层)  | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-ce3200b1-3060-4ad4-8a4f-93594f00dc1b.png.296x216.jpg
20201223,普陀,曹杨,安天大厦 1室1厅 北,130万,1室1厅 | 60.78平米 | 北 | 简装 | 高楼层(共15层) | 2003年建 | 塔楼,
20201223,普陀,曹杨,一楼带花园 小区位置好 采光好 诚意售,248万,2室0厅 | 42.8平米 | 南 北 | 简装 | 低楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-ebfdf797-46d1-45f5-8a10-f77f32d28558.png.296x216.jpg
20201223,普陀,曹杨,楼层好，配套设施齐全，生活方便，交通便利,205万,1室0厅 | 31.57平米 | 南 | 简装 | 低楼层(共6层) | 1957年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_c0a1f26c-1cf6-420d-bf15-011d41bce406.png.296x216.jpg
20201223,普陀,曹杨,东元大楼 2室1厅 南,760万,2室1厅 | 113.54平米 | 南 | 毛坯 | 高楼层(共28层) | 1998年建 | 塔楼,
20201223,普陀,曹杨,安天大厦 2室1厅 北,288万,2室1厅 | 65.96平米 | 北 | 其他 | 高楼层(共15层)  | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/391E6430848046FFB8985F3B91F1DA19___06b0169ab38639ee7ff18237870b6d83.jpg.296x216.jpg
