20201223,虹口,鲁迅公园,虹口花苑+边套全明一室+配套成熟+一梯两户+商品房必看好房,249万,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mq0hNQU3z_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,精装两房两厅 户型方正全明 采光极好 看中可谈,769万,2室2厅 | 84.01平米 | 东南 | 精装 | 24层 | 2000年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/b540f4fc-323a-4fd0-aed6-76ba0e08c86d_1000.jpg.296x216.jpg
20201223,虹口,鲁迅公园,38双轨交汇 鲁迅公园  龙之梦  足球场房主自荐,816万,3室2厅 | 138.25平米 | 西南 | 精装 | 高楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_mx1c01QAi.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近虹口足球场，双地铁，凯德龙之梦，南北户型，采光好房主自荐,366万,2室1厅 | 61.08平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xVIY0gElc_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,店长推荐 内环内 近地铁 单价仅5.1万 两梯五户,850万,3室2厅 | 155.88平米 | 南 北 | 简装 | 中楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_slER2z7RI_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园板块，高区电梯房，双南双阳台看房方便,758万,2室1厅 | 113.68平米 | 南 | 简装 | 高楼层(共25层) | 1998年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_8uMDPwJcx_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,双南两房 同类户型少 近地铁3/8号线 不靠马路,340万,2室0厅 | 54.06平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B0jX1jdb6_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,拎包入住，双轨交通，框架结构，防震较好，西边套全明,480万,2室1厅 | 61.24平米 | 南 | 简装 | 中楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m20ynh6DT_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,同心路125弄 2室1厅 南房主自荐,398万,2室1厅 | 53.1平米 | 南 | 简装 | 高楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V4E7mh2CC_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,欧阳路364弄 1室0厅 北,193万,1室0厅 | 29.9平米 | 北 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PPofYU1Ye_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,南北两房，虹口足球场站五百米，虹口龙之梦，家乐福。,381万,2室0厅 | 54.74平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FYwifnlgy_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,户型正气、空间足够、近地铁、看房方便,950万,3室2厅 | 173.23平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_5FLN3ivpr_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,何家宅小区 1室0厅 南,215万,1室0厅 | 34.04平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qWOXu4WWJ_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,公园旁电梯房，小区品质高，出行便利比邻凯德龙之梦,420万,1室1厅 | 51.92平米 | 南 | 精装 | 低楼层(共19层) | 1990年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/test-a9fff5b1-9fff-4feb-b870-2bcf19fc8e8a.png.296x216.jpg
20201223,虹口,鲁迅公园,园林式小区，金三层，全明户型+交通便利，满五唯一,285万,1室1厅 | 49.27平米 | 东 | 简装 | 中楼层(共5层) | 1954年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_XtB5x06uh_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,地铁口全明两房，售后公房税费少，配套成熟,323万,2室0厅 | 46.63平米 | 南 | 简装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2MFWaiqKA_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,看花园+南北精装两房+龙之梦配套+地铁3/8虹口足球场房主自荐,366万,2室0厅 | 55.12平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EfuJ8enCV_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,内环内两房，15平阁楼不算产证面积，低总价。房主自荐,285万,2室1厅 | 37平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zzjwZTKGZ_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,精装修，近地铁+双轨交通+近龙之梦+虹口足球场新上,290万,1室1厅 | 44.68平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NNOaGRNIO_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近地铁3/8足球场，一楼附天井，可利用空间大,250万,1室1厅 | 33.32平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e791232c-96b1-4031-b7d3-8f554a305a2f.jpg.296x216.jpg
20201223,虹口,鲁迅公园,同心路125弄 1室1厅 南,210万,1室1厅 | 34.7平米 | 南 | 其他 | 高楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D2dAkenfH_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,精装修  房东诚意出售 生活设施完善 8+10地铁双轨,290万,1室1厅 | 47.14平米 | 南 | 其他 | 高楼层(共6层) | 1974年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e02ce879-f5f8-471d-9ac7-708f87c5dc2b.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口龙之梦旁+3/8号线虹足+看房方便+边套朝南一房,219万,1室0厅 | 34.8平米 | 南 西南 | 简装 | 中楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_dk2cSIvCT_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近鲁迅公园，地铁虹口足球场站，一梯两户，厨卫全明！,555万,2室1厅 | 85.24平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GJxXAXNMm_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,怡景大厦 2室2厅 南新上,757万,2室2厅 | 106.67平米 | 南 | 其他 | 高楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_tL4ENZ1oq_1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,业主成心出售，大家努力推起来。,220万,1室1厅 | 37.76平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170911/09459585-e91c-4201-bc99-421e6fa6dcc1.jpg.296x216.jpg
20201223,虹口,鲁迅公园,虹口足球场地铁口五百米  朝南 带天井 诚意出售,170万,1室0厅 | 31.85平米 | 南 | 简装 | 低楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a5e7a1de88e5ac78fbc2612c62dac311-044.jpg.296x216.jpg
20201223,虹口,鲁迅公园,近地铁   带阁楼   精装三房    南北通,560万,3室2厅 | 100.26平米 | 南 | 简装 | 高楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_uploadc131012a-0217-4a07-b506-a74f95b5eda4.jpg.296x216.jpg
20201223,虹口,鲁迅公园,中原证券大厦 3室2厅 南,1050万,3室2厅 | 214.73平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/shfdfs-image/20160110/aabb70ed-af93-4ae4-a7d5-dd747151b794.jpg.296x216.jpg
20201223,虹口,鲁迅公园,98年商品房，公房中的豪房，全明户型，足够三代同堂！,1100万,4室3厅 | 186.42平米 | 南 | 精装 | 低楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20151030/9c1e0957-ca05-4239-b026-002ead10b137.jpg.296x216.jpg
20201223,虹口,鲁迅公园,满五唯一 两室户 看房晚上方便 婚房装修  税费少,299万,2室1厅 | 48.19平米 | 东北 | 精装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/30b16d35-7514-48c5-ab32-c41c15701657.png.296x216.jpg
20201223,虹口,鲁迅公园,虹口足球场站 3号线8号线 南北2房龙之梦商圈 鲁迅公园,320万,2室1厅 | 49.59平米 | 南 北 | 简装 | 高楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/8af6868f-e7ce-41f9-84a5-0648a7ebebcf.jpg.296x216.jpg
20201223,虹口,鲁迅公园,满五唯一，朝南一门关，3/8号线红虹口足球场地铁站,175万,1室1厅 | 35.89平米 | 南 | 简装 | 中楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/310000-inspection/fcabe7db-e3ee-4b52-85cc-245730971568.jpg.296x216.jpg
20201223,虹口,鲁迅公园,小区唯一一套178万的loft，精装修3楼,178万,1室0厅 | 34.98平米 | 南 | 精装 | 中楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6328c74ceda9d803e7bce1cbba136f12-058.jpg.296x216.jpg
20201223,虹口,鲁迅公园,德阳花苑商务楼 2室1厅 西南,328万,2室1厅 | 87.15平米 | 西南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,
20201223,虹口,鲁迅公园,双地铁，8号线10号线，精装修，业主诚意出售！！！房主自荐,188万,1室1厅 | 32.03平米 | 南 | 精装 | 中楼层(共5层) | 1975年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_upload03464f27-6e9e-4405-9cdb-9bfd85dca6d7.jpg.296x216.jpg
20201223,虹口,鲁迅公园,恒业公寓复式，四房全明户型，近地铁，配套成熟,950万,4室2厅 | 179.12平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,
20201223,虹口,鲁迅公园,满五唯一+近龙之梦+虹口足球场3/8号地铁，小区环境美,250万,1室1厅 | 40.16平米 | 南 | 简装 | 中楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/441302a7-3d9e-4184-ad29-f32ba2c08dfe.png.296x216.jpg
20201223,虹口,鲁迅公园,鲁迅公园板块朝南一门关，四楼楼层采光无遮挡,200万,1室1厅 | 34.21平米 | 南 | 简装 | 中楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/732dc263-fafb-4b1a-9c5c-c236e3cd3a4a.png.296x216.jpg
20201223,虹口,鲁迅公园,虹口花苑三期+2003年房龄+内环内鲁迅公园板块,1100万,3室2厅 | 139.41平米 | 南 北 | 简装 | 低楼层(共18层) | 2003年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/d88332df-b881-4ebd-8dfb-d262f2e8705a.jpg.296x216.jpg
20201223,虹口,鲁迅公园,诚心出售的低总价低单价的必看好房,230万,1室0厅 | 36.04平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/a7eb553e-0ba7-4882-b544-1874e3477dd9.png.296x216.jpg
20201223,虹口,鲁迅公园,西江湾路235弄 2室1厅 南,470万,2室1厅 | 61.16平米 | 南 | 其他 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/49a43425-36e3-4b89-86ca-95e13c578479.jpg.296x216.jpg
20201223,虹口,鲁迅公园,祥德路139弄 1室0厅 东,200万,1室0厅 | 30.89平米 | 东 | 其他 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/86e3e69b-cfff-42a5-89ff-1a3cce7a6166.png.296x216.jpg
20201223,虹口,鲁迅公园,溧阳华府(公寓) 2室2厅 北,3400万,2室2厅 | 309.13平米 | 北 | 精装 | 低楼层(共2层)  | 暂无数据,
