20201223,宝山,大华,全明南北通， 低于市场价十万，安静位置  随时看房必看好房,349万,2室1厅 | 71.39平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZHl9NNwn8_1.jpg.296x216.jpg
20201223,宝山,大华,本房精装 满五唯一。全明的三房，不靠马路。位置很好房主自荐,480万,3室2厅 | 85.56平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T8hwAJS6F_1.jpg.296x216.jpg
20201223,宝山,大华,次顶楼 满五唯一 采光很好 小区钟新位置,333万,2室1厅 | 66.18平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M5PgwKDy1_1.jpg.296x216.jpg
20201223,宝山,大华,地铁口  双南大两房，小区在加装电梯,533万,2室2厅 | 92.88平米 | 南 北 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MYXyWNk6e_1.jpg.296x216.jpg
20201223,宝山,大华,中环边上次新房 电梯中高区 两房南一房北,670万,3室2厅 | 111.45平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JC7nLOoK3_1.jpg.296x216.jpg
20201223,宝山,大华,中环内，不靠高架，中间楼层，南北直通,590万,3室2厅 | 123.22平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VFdGc4yOR_1.jpg.296x216.jpg
20201223,宝山,大华,一楼带天井+小区中间位置+一般装修+可重新装修房主自荐,319万,1室1厅 | 48.68平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sR6RK5fMx_1.jpg.296x216.jpg
20201223,宝山,大华,三房都是全明的，三房全部超南，采光无遮挡,485万,3室1厅 | 91.04平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rsDfoKDjd_1.jpg.296x216.jpg
20201223,宝山,大华,全明户型，小区安静位置，楼层好，产权清晰,475万,3室1厅 | 86.53平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9Pv9THWMb_1.jpg.296x216.jpg
20201223,宝山,大华,好楼层！ 南北通透！  看房方便！ 总价低！随时看！,259.9万,1室1厅 | 48.13平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kQrNZ19Dj_1.jpg.296x216.jpg
20201223,宝山,大华,品质小区，高区南北三房，精装修，河景房，拎包住房主自荐,650万,3室2厅 | 98.62平米 | 南 北 | 精装 | 中楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_KKUcfs6SE_1.jpg.296x216.jpg
20201223,宝山,大华,精装一房，全明户型，视野采光好，近地铁，配套齐全房主自荐,355万,1室1厅 | 53.76平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_k4hAmFiUY_1.jpg.296x216.jpg
20201223,宝山,大华,五期商品房，顶楼复式，采光很不错，可利用空间充足房主自荐,585万,3室2厅 | 112.17平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3BK6YVUev_1.jpg.296x216.jpg
20201223,宝山,大华,大华虎城商圈旁，近地铁，低总价，看中可签房主自荐,222万,1室1厅 | 42.06平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UXid3ezaZ_1.jpg.296x216.jpg
20201223,宝山,大华,次新小区，满五年唯一，税费少，全明户型. 看房方便房主自荐,640万,2室2厅 | 93.03平米 | 南 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9ymNdb8qF_1.jpg.296x216.jpg
20201223,宝山,大华,嘉华苑一房，无增值税，近地铁，非顶楼。房主自荐,316万,1室2厅 | 47.43平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6XL8rX9kf_1.jpg.296x216.jpg
20201223,宝山,大华,南北通边套户型，精装修拎包入住 高区景观房 满五房主自荐,430万,1室2厅 | 67.33平米 | 南 北 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TRLPelIM8_1.jpg.296x216.jpg
20201223,宝山,大华,近地铁  南北通  温馨舒适大一居  采光好房主自荐,270万,1室1厅 | 51.56平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rZlZ2S3LW_1.jpg.296x216.jpg
20201223,宝山,大华,电梯中区两房 精装修 业主诚意出售 看房方便房主自荐,700万,2室2厅 | 93.39平米 | 南 | 精装 | 中楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L8YXJfr7Y_1.jpg.296x216.jpg
20201223,宝山,大华,使用面积大，小区车位充足，  精装修可领包入住房主自荐,560万,2室2厅 | 133.89平米 | 南 北 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_q1TMhyoga_1.jpg.296x216.jpg
20201223,宝山,大华,一楼复地下室，使用率高，单价低，产权清晰，可交易房主自荐,575万,2室2厅 | 133.47平米 | 南 | 精装 | 低楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_42FmA5igJ_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，随时可看装修简约，双天井，全明格局房主自荐,610万,3室1厅 | 104.74平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zm0DiPDSm_1.jpg.296x216.jpg
20201223,宝山,大华,嘉华苑三房地铁站7号线580米，南北格局，采光充足！房主自荐,660万,3室2厅 | 111.67平米 | 南 北 | 简装 | 低楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T70ki3IZn_1.jpg.296x216.jpg
20201223,宝山,大华,满五年唯一， 采光好！！位置好，楼层好， 随时看！房主自荐,305万,2室1厅 | 63.86平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HqoJIF0MM_1.jpg.296x216.jpg
20201223,宝山,大华,高区南北通三房，正看行知公园，湖面波光粼粼，超攒房主自荐,640万,3室2厅 | 108.03平米 | 南 北 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YO5pfTcuC_1.jpg.296x216.jpg
20201223,宝山,大华,经典全明户型，小区环境优美。总价低，诚意出售。,460万,2室2厅 | 79.83平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JzqiTbYnQ_1.jpg.296x216.jpg
20201223,宝山,大华,电梯复式，楼下三房 有入室花园，采光视野好,880万,3室2厅 | 128.6平米 | 南 北 | 精装 | 高楼层(共8层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2eFJEbP9E_1.jpg.296x216.jpg
20201223,宝山,大华,河畔小区，近中环，交通便利，次新房。房主自荐,583万,2室1厅 | 117平米 | 南 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Z0teKChn6_1.jpg.296x216.jpg
20201223,宝山,大华,中环边上次新房，飞机户型，南北通透，电梯三房双阳台,720万,3室2厅 | 124.07平米 | 南 北 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FyJxzhtGa_1.jpg.296x216.jpg
20201223,宝山,大华,商圈旁正气三房，不靠马路，售后公房税少房主自荐,480万,3室2厅 | 87平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cTscFSBES_1.jpg.296x216.jpg
20201223,宝山,大华,板式南北户型，精装修，产权清晰,760万,3室2厅 | 121.38平米 | 南 北 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZporQyNq5_1.jpg.296x216.jpg
20201223,宝山,大华,双南两房、满五唯一、近地铁、小区已加装两部电梯房主自荐,502万,2室2厅 | 92.7平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F011EMVa6_1.jpg.296x216.jpg
20201223,宝山,大华,总价低南北通两房， 采光没有问题的， 得房率高！！！房主自荐,640万,2室2厅 | 91.68平米 | 南 北 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0qK2fpfl9_1.jpg.296x216.jpg
20201223,宝山,大华,景观三房，得房率超高，满五年，停车方便，世外旁房主自荐,625万,3室1厅 | 92.85平米 | 南 北 | 精装 | 18层 | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yVyou4O9z_1.jpg.296x216.jpg
20201223,宝山,大华,中环内刚需两房 采光好 视野佳 产权清晰 诚心出售！房主自荐,340万,2室1厅 | 61.29平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nVVQ6zhk5_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一  南北通   户型方正   采光好,560万,2室2厅 | 93.46平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bDzLtTQXl_1.jpg.296x216.jpg
20201223,宝山,大华,次顶楼，房子品相较好！周末可以看房！,250万,1室1厅 | 47.35平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EQM1jnbGa_1.jpg.296x216.jpg
20201223,宝山,大华,精装小两房  业主诚售  满五唯一 税费少房主自荐,460万,2室1厅 | 73.81平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wBrY7o3xc_1.jpg.296x216.jpg
20201223,宝山,大华,次顶楼小三房，位置好，价格优，诚意出售，看房方便房主自荐,445万,3室2厅 | 85.96平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YjhIe2Tem_1.jpg.296x216.jpg
20201223,宝山,大华,电梯高区，户型好采光视野好，小区车位充足，看房方便房主自荐,765万,3室2厅 | 125.22平米 | 南 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PWnWHlESc_1.jpg.296x216.jpg
20201223,宝山,大华,采光好，视野好，南北朝向，小两房，近地铁房主自荐,285万,2室0厅 | 49.1平米 | 南 北 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aOzhKF0mt_1.jpg.296x216.jpg
20201223,宝山,大华,飞机户型 南北通大三房 小区中间 近地铁 配套成熟,780万,3室2厅 | 128.53平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rwKqk0mvO_1.jpg.296x216.jpg
20201223,宝山,大华,大华商圈旁，近地铁，全明一房，非顶楼，精装诚售房主自荐,298万,1室1厅 | 52.63平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_50hNNdm6q_1.jpg.296x216.jpg
20201223,宝山,大华,内复户型+二手买进价高+满五唯一+业主精装修,540万,1室2厅 | 64.73平米 | 南 | 精装 | 中楼层(共12层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K0eMy6zBk_1.jpg.296x216.jpg
20201223,宝山,大华,电梯高区 板式南北通 阳光从早晒到晚,575万,2室2厅 | 96.57平米 | 南 北 | 精装 | 高楼层(共14层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DJEqWVB0m_1.jpg.296x216.jpg
20201223,宝山,大华,四楼全明三房 户型正气  满五唯一  可看可签房主自荐,490万,3室1厅 | 91.01平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-af14d3a6-87cd-49cc-8334-f10acd806e80.jpg.296x216.jpg
20201223,宝山,大华,电梯中区，三开间朝南四房，随时看房，业主诚售房主自荐,820万,4室2厅 | 131.74平米 | 南 北 | 简装 | 中楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W0JtuQBwB_1.jpg.296x216.jpg
20201223,宝山,大华,中环边次新房，小区环境好 单价总价双低，看房方便！房主自荐,675万,3室2厅 | 171.37平米 | 南 北 | 精装 | 低楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cN9E7nPfR_1.jpg.296x216.jpg
20201223,宝山,大华,精装修大两房！好楼层！，满五唯一，随时看！好房！房主自荐,418万,2室2厅 | 84.28平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1RpVaOmbU_1.jpg.296x216.jpg
20201223,宝山,大华,精装全明户型   三改二    拎包入住房主自荐,510万,2室2厅 | 90.74平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PgINxJ9Ca_1.jpg.296x216.jpg
20201223,宝山,大华,小区中间位置，全明三房，南北通透，推窗见花园房主自荐,660万,3室2厅 | 113.39平米 | 南 北 | 精装 | 低楼层(共8层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BqQTILdk0_1.jpg.296x216.jpg
20201223,宝山,大华,枫庭丽苑 2室1厅 南,580万,2室1厅 | 98.56平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_NbXXXWnnR_1.jpg.296x216.jpg
20201223,宝山,大华,此房小区大四居自住装修保养很好，产权清晰诚意出售。,980万,4室2厅 | 166.04平米 | 南 | 精装 | 低楼层(共17层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VeNRvNdDf_1.jpg.296x216.jpg
20201223,宝山,大华,位中环内 甄选叠墅 百万精装修 南北通澈 双车位 诚售,1080万,4室3厅 | 199.46平米 | 南 北 | 精装 | 低楼层(共3层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PMHA6BKeh_1.jpg.296x216.jpg
20201223,宝山,大华,文华苑 户型正 南北通透三房 装修简约有品 位置好房主自荐,735万,3室2厅 | 129.04平米 | 南 北 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GTYuOzl5G_1.jpg.296x216.jpg
20201223,宝山,大华,地铁口户型方正，非顶楼，满五唯一，看房方便，诚售,405万,2室1厅 | 71.64平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a4u3RcOlD_1.jpg.296x216.jpg
20201223,宝山,大华,此房源满五不唯一 随时可看 交通便利 配套齐全房主自荐,215万,1室1厅 | 42.65平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RC4r9njBa_1.jpg.296x216.jpg
20201223,宝山,大华,小区在建电梯 满五唯一 边套全明户型 采光好房主自荐,330万,1室1厅 | 57.46平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4P5mnBWA3_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，精装大一房，拎包入住房主自荐,368万,1室1厅 | 64.45平米 | 西 | 简装 | 中楼层(共5层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M6mjlHj4D_1.jpg.296x216.jpg
20201223,宝山,大华,近地铁，居家装修，户型正气，配套齐全，诚意出售房主自荐,348万,2室1厅 | 66.94平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U3kwMAIai_1.jpg.296x216.jpg
20201223,宝山,大华,满五年唯一 位置好 楼层好 视野开阔房主自荐,268万,2室0厅 | 45.48平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q9QtJgNxC_1.jpg.296x216.jpg
20201223,宝山,大华,小区在建电梯 满五  随时可看 双阳台双南两房,598万,2室2厅 | 95.35平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZhBaR9qsE_1.jpg.296x216.jpg
20201223,宝山,大华,视野宽阔，采光充足，位置安静，带花园，诚意售房主自荐,480万,2室2厅 | 92.79平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PvAMuRMwK_1.jpg.296x216.jpg
20201223,宝山,大华,远景佳苑一期 2室2厅 南 北,585万,2室2厅 | 90.67平米 | 南 北 | 精装 | 中楼层(共8层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1fA48WsU0_1.jpg.296x216.jpg
20201223,宝山,大华,不靠高架，精装修，出行方便，近地铁站房主自荐,350万,2室1厅 | 64.78平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YumvPsD3B_1.jpg.296x216.jpg
20201223,宝山,大华,大面积全南一房，户型方正，电梯中低楼层,560万,1室2厅 | 71.76平米 | 南 | 其他 | 中楼层(共14层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M8olfiuUJ_1.jpg.296x216.jpg
20201223,宝山,大华,中间楼层，版式户型，满五唯一，近地铁口，诚意出售房主自荐,478万,2室1厅 | 86.43平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_30ts3EdWd_1.jpg.296x216.jpg
20201223,宝山,大华,中环内 非顶楼 全南小两房停车方便 小区环境舒适 ！,305万,2室1厅 | 56.4平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V10y4JppA_1.jpg.296x216.jpg
20201223,宝山,大华,大华一村 1室1厅 南,169万,1室1厅 | 30.3平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D5Rixpd1S_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一，税费少；配套齐全，交通便利，得房率高房主自荐,450万,2室1厅 | 75.78平米 | 西 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_P4ZrKNIYW_1.jpg.296x216.jpg
20201223,宝山,大华,南北通透，采光很好，户型方正，居家装修房主自荐,208万,1室1厅 | 42.38平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z2SKyRp3f_1.jpg.296x216.jpg
20201223,宝山,大华,中环旁电梯次新房， 三开间朝南中楼层, 精装修房主自荐,533万,2室2厅 | 97.04平米 | 南 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kwZiohVOA_1.jpg.296x216.jpg
20201223,宝山,大华,大华一村两房 单价低 配套成熟 近地铁M7,340万,2室1厅 | 70.86平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V0tSb3aJT_1.jpg.296x216.jpg
20201223,宝山,大华,一梯两户，低总价地铁口，房型正气，业主诚意出售,335万,2室1厅 | 66.19平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_22JEWdapx_1.jpg.296x216.jpg
20201223,宝山,大华,低总价小两居室，得房率高。1t2户 税费只有个税1%,398万,2室1厅 | 67.97平米 | 南 | 其他 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JDsDIQIur_1.jpg.296x216.jpg
20201223,宝山,大华,全明户型 非顶楼 普宅税费少 户型方正 诚心出售！房主自荐,365万,2室1厅 | 65.43平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qokEXlTxD_1.jpg.296x216.jpg
20201223,宝山,大华,近地铁 全明两房 中环内 视野开阔 得房率高！,430万,2室1厅 | 84.76平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CG2OlaclZ_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一 精装两房 楼下就是小区活动场所房主自荐,306万,2室1厅 | 60平米 | 西 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uLkQbJSBn_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一  近地铁  一梯两户南北小两房,315万,2室1厅 | 62.83平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7wIJuxJ8w_1.jpg.296x216.jpg
20201223,宝山,大华,南北两卧，主卧朝南，中间楼层，近地铁,334万,2室1厅 | 62.52平米 | 南 | 毛坯 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_W9P5NwxMy_1.jpg.296x216.jpg
20201223,宝山,大华,带花园，南北通户型，满五唯一，随时可看,360万,2室1厅 | 60.09平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oi5GDYm8n_1.jpg.296x216.jpg
20201223,宝山,大华,满五唯一  近地铁 低层 全明一房,285万,1室1厅 | 47.49平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iQBAqECTo_1.jpg.296x216.jpg
20201223,宝山,大华,中环内 非顶楼 全南小两房 停车方便 小区环境舒适 ！房主自荐,305万,2室0厅 | 56.7平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tSgPphjz9_1.jpg.296x216.jpg
20201223,宝山,大华,地铁口品质两房+平改坡+车位宽松+,420万,2室1厅 | 81.17平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_67xafqis4_1.jpg.296x216.jpg
20201223,宝山,大华,业主诚意出售 价格可谈 看房方便,565万,2室2厅 | 89.76平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WpRyTlJqX_1.jpg.296x216.jpg
20201223,宝山,大华,业主诚意出售，采光充足，配套设施齐全，交通便利房主自荐,303万,2室1厅 | 61.95平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ju8N6D708_1.jpg.296x216.jpg
20201223,宝山,大华,诚意出售，视野开阔 采光充足，配套齐全，交通便利房主自荐,309万,2室1厅 | 61.95平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lwY9cGWaC_1.jpg.296x216.jpg
20201223,宝山,大华,南北通，采光很好，户型方正，居家装修房主自荐,438万,3室1厅 | 86.35平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mnPDPYMsZ_1.jpg.296x216.jpg
20201223,宝山,大华,全明户型 南北通格局 视野开阔 采光好 地铁站旁边房主自荐,325万,1室1厅 | 54.63平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f4wVnNg0W_1.jpg.296x216.jpg
20201223,宝山,大华,诚意出售，看房方便，两房两卫，灵动改三房，采光好房主自荐,600万,3室1厅 | 125.45平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sCNJdVHbg_1.jpg.296x216.jpg
20201223,宝山,大华,低楼层，M7行知路地铁站，配套设施齐全房主自荐,330万,2室1厅 | 64.11平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XSZHxtDYL_1.jpg.296x216.jpg
20201223,宝山,大华,北华苑二期，南北通户型，低楼层，满五年唯一,498万,2室2厅 | 86.18平米 | 南 北 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fKn3EfY8q_1.jpg.296x216.jpg
20201223,宝山,大华,精装三房，三开间朝南，位置佳，诚心出售,580万,3室1厅 | 122.83平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-28a88821-7150-4245-9ef5-b1541ae00626.jpg.296x216.jpg
20201223,宝山,大华,：满五年，南北通小三房，户型方正房主自荐,595万,3室2厅 | 104.09平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VxPIojqDB_1.jpg.296x216.jpg
20201223,宝山,大华,近地铁，全明一居室，税低，可拎包入住,320万,1室2厅 | 54.63平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_963iDtMmz_1.jpg.296x216.jpg
20201223,宝山,大华,三阳台+满5唯一+双卫生间+星价比高，视野开阔房主自荐,715万,3室2厅 | 129.53平米 | 西南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-4bce944c-a689-4e44-9825-63525a5d5c9f.jpg.296x216.jpg
20201223,宝山,大华,中环边次新小区  经典3+1大四房  满五唯一  到价签字房主自荐,860万,4室2厅 | 134.43平米 | 南 北 | 精装 | 高楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-4fce00f6-c0d1-477a-8765-708d3a9cdd0a.jpg.296x216.jpg
20201223,宝山,大华,双南全明两房，户型方正，采光无任何遮挡,370万,2室1厅 | 71.74平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ei3WBJKZX_1.jpg.296x216.jpg
20201223,宝山,大华,大华一村 精装修两室 满五年唯一 M7地铁330米房主自荐,365万,2室1厅 | 70.68平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K3WKM4Nuk_1.jpg.296x216.jpg
20201223,宝山,大华,精装修全明两房 满五年唯一 M7交通便利 方便看房,380万,2室1厅 | 71.37平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_uJxl8hkum_1.jpg.296x216.jpg
20201223,宝山,大华,直面小区花园，光线充足，安静，居家良品！房主自荐,698万,3室1厅 | 117.41平米 | 南 北 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Htjl6ds1X_1.jpg.296x216.jpg
