20201223,嘉定,江桥,近地铁万达出行购物方便 业主诚心出售看中价格可谈必看好房,365万,2室2厅 | 73.2平米 | 南 北 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c60a864a-bc80-4c0e-a118-9ea2b12f7d94_1000.jpg.296x216.jpg
20201223,嘉定,江桥,双轨交，地铁300米，动迁满五唯一，多3平储物空间房主自荐,280万,2室1厅 | 70.66平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cO5p8L8j7_1.jpg.296x216.jpg
20201223,嘉定,江桥,精装修，近地铁，满五唯一，南北通透,334万,2室1厅 | 73.33平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1e868949-cd0e-42dd-ad8f-5ce2df611c19_1000.jpg.296x216.jpg
20201223,嘉定,江桥,14号线 江桥高档小区 南北通透 精装修 看房方便,540万,3室2厅 | 85.58平米 | 南 北 | 精装 | 中楼层(共11层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yvNddNvaB_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥双轨交、精装品质两房（已改小三房）房主自荐,380万,2室2厅 | 96平米 | 南 北 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3f953ff9-8403-4a6d-9ee1-01778a352376_1000.jpg.296x216.jpg
20201223,嘉定,江桥,14号线 江桥高档小区 带地下室 阳光房 大院子 配套优房主自荐,818万,5室2厅 | 138.6平米 | 南 北 | 精装 | 低楼层(共5层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_R91JsjOvf_1.jpg.296x216.jpg
20201223,嘉定,江桥,业主诚意出售，位置好，看房方便房主自荐,315万,2室1厅 | 74.1平米 | 南 北 | 精装 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b44b617d-e668-40d2-8d00-64a5ec2e838d_1000.jpg.296x216.jpg
20201223,嘉定,江桥,14号地铁，南北通，满五唯一，采光好房主自荐,428万,2室2厅 | 96.03平米 | 南 北 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z0Bus79v9_1.jpg.296x216.jpg
20201223,嘉定,江桥,精装 刚需小两房 总价低 税低 近地铁房主自荐,204万,2室1厅 | 62.99平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-3357631a-2da2-4c94-b18d-ab8db6aa176d.jpg.296x216.jpg
20201223,嘉定,江桥,江桥高品质小区，中间楼层，刚交房,485万,2室1厅 | 80平米 | 南 | 精装 | 中楼层(共17层) | 2019年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_xE4800m01_1.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥双轨交 精装修 满五唯一 位置好 采光充足房主自荐,325万,3室2厅 | 91.71平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7ea4a41a-db01-4e1a-85a0-5013256255e6.jpg.296x216.jpg
20201223,嘉定,江桥,地铁14号线嘉怡路站+精装修+诚心卖房主自荐,377万,2室2厅 | 88.26平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_9x3FZDW7E_1.jpg.296x216.jpg
20201223,嘉定,江桥,带有大花园可种花养草、北虹桥商务区、近万达广场房主自荐,330万,2室2厅 | 78.86平米 | 南 北 | 精装 | 低楼层(共9层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7476d07a-3e88-4f28-ace2-159adb50250b.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥+双轨交地铁+全明户型+小区环境好+中间楼层,195万,1室2厅 | 47.79平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y0Aog0TDT_1.jpg.296x216.jpg
20201223,嘉定,江桥,满五唯一省税，地铁口，南北通，楼层好，采光充足,196万,1室1厅 | 50.99平米 | 南 | 毛坯 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j9HTi7PkU_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块双轨交+全明户型+满五唯一+精装拎包入住,388万,2室2厅 | 95.71平米 | 南 北 | 精装 | 低楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tssH4X1MC_1.jpg.296x216.jpg
20201223,嘉定,江桥,真实在售+户型好+南北通风好+精简装修+房东诚心出售,240万,2室1厅 | 69.42平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_txsVhW9vP_1.jpg.296x216.jpg
20201223,嘉定,江桥,满五唯一＋大虹桥板块＋14号线地铁口房主自荐,192万,1室1厅 | 49.35平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M8hhgcSBf_1.jpg.296x216.jpg
20201223,嘉定,江桥,13号+14号大虹桥板块 业主自住看房随时方便房主自荐,330万,2室2厅 | 87.34平米 | 南 | 精装 | 中楼层(共7层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5zrP1P5Ok_1.jpg.296x216.jpg
20201223,嘉定,江桥,江桥低价两房，户型正气，精装修，诚意出售房主自荐,215万,2室1厅 | 58.22平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ACQ6a9T2D_1.jpg.296x216.jpg
20201223,嘉定,江桥,江桥品质小区，精装带车位，满五唯一，近地铁房主自荐,275万,1室1厅 | 55.66平米 | 南 北 | 精装 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_09h7klgL9_1.jpg.296x216.jpg
20201223,嘉定,江桥,地铁口小户型，总价超低！总价超低！税少，采光好房主自荐,168万,1室1厅 | 41.34平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NRLdGxlhh_1.jpg.296x216.jpg
20201223,嘉定,江桥,近14号线地铁+老街旁+满五唯一,305万,2室2厅 | 77.58平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0J91WNlLx_1.jpg.296x216.jpg
20201223,嘉定,江桥,诚心出售，看房提前约，一般都可以看到房子。房主自荐,385万,2室1厅 | 75.89平米 | 南 | 毛坯 | 中楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-a3eb8c1a-55f6-415b-970f-4930daeae197.png.296x216.jpg
20201223,嘉定,江桥,花园景观 ·精装修 ·诚意出售·南北通透·位置佳房主自荐,410万,2室2厅 | 86.03平米 | 南 北 | 精装 | 低楼层(共11层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MmjsyH8R5_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号线 江桥沃尔玛 有车位 满五唯一 户型正气,285万,1室1厅 | 56.13平米 | 南 | 精装 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qw1Ffjf6o_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥14号线嘉怡路地铁口+精装修+拎包入住,255万,1室1厅 | 53.05平米 | 南 | 精装 | 低楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QrZR3AJP8_1.jpg.296x216.jpg
20201223,嘉定,江桥,14号地铁+随时可看+总价低+沃尔玛,310万,2室1厅 | 77.86平米 | 南 北 | 毛坯 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fH0sQhaNY_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥 14号沿线 品质小区 大两房  满五唯一房主自荐,458万,2室2厅 | 100.18平米 | 南 北 | 精装 | 中楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ovn7p8HPg_1.jpg.296x216.jpg
20201223,嘉定,江桥,高品质小区，业主闲置，精装修，配套齐全房主自荐,468万,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共17层) | 2018年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Keja0NPos_1.jpg.296x216.jpg
20201223,嘉定,江桥,新挂牌2房，南北户型，采光好，满五唯一，看中再谈房主自荐,368万,2室1厅 | 73.94平米 | 南 北 | 其他 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/edec2fa7-5ee1-4258-81b5-7a3a553f0c03_1000.jpg.296x216.jpg
20201223,嘉定,江桥,地铁14号线+江桥沃尔玛+南北通两房+精装修,405万,2室2厅 | 88.02平米 | 南 北 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oE2jOJRnK_1.jpg.296x216.jpg
20201223,嘉定,江桥,此房小区位置好，户型好，动迁可以追诉满五唯一。房主自荐,230万,1室1厅 | 51.96平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6c18e9b5-6485-40e4-97c5-0814ec347319_1000.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块，双轨交，近14号线1000米，2011年品质小区,255万,2室1厅 | 65.77平米 | 南 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1XHBSbmz3_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥，地铁13号线，南向一房，动迁少税，近万达！,240万,1室1厅 | 56.48平米 | 南 | 毛坯 | 低楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/74392176-1978-4d39-9817-f7de9238f5cf_1000.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥近地铁万达旁，生活交通方便，精装拎包入住,237万,1室1厅 | 50.77平米 | 南 | 精装 | 低楼层(共13层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/000c6b66-3a7c-455b-a5a8-0b9d746876a5_1000.jpg.296x216.jpg
20201223,嘉定,江桥,在建14号线嘉怡路站+精装修大三房+靠花园+满五唯一房主自荐,610万,3室2厅 | 133.96平米 | 南 | 精装 | 低楼层(共15层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_4vGMOPhvJ_1.jpg.296x216.jpg
20201223,嘉定,江桥,万达商圈，近地铁  南北通透  房型正气  交通生活便利房主自荐,418万,2室1厅 | 79.17平米 | 北 南 | 毛坯 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-12a221f9-8fca-46f6-ae18-9d4cc8a5a03c.jpg.296x216.jpg
20201223,嘉定,江桥,房型正气  满五年 近地铁 近万达房主自荐,505万,3室2厅 | 118.83平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-f6503791-90d6-4779-b929-d77aacde6188.jpg.296x216.jpg
20201223,嘉定,江桥,总价低一房+小区环境安静+满五唯一房主自荐,155万,1室0厅 | 34.17平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UXHoEmfFL_1.jpg.296x216.jpg
20201223,嘉定,江桥,视野好，临河景观房，出门就有公交车站，综合商超,755万,3室2厅 | 118.36平米 | 南 北 | 精装 | 高楼层(共18层) | 2017年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_eLj7o0T3U_1.jpg.296x216.jpg
20201223,嘉定,江桥,品质楼盘，环境优美，精装修，适合居住。,470万,2室1厅 | 80.14平米 | 南 北 | 精装 | 低楼层(共7层) | 2019年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wQ7hDYGPc_1.jpg.296x216.jpg
20201223,嘉定,江桥,北虹桥+双轨交地铁+全明户型+小区环境好房主自荐,270万,2室1厅 | 74.47平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eGFIYaDu3_1.jpg.296x216.jpg
20201223,嘉定,江桥,精装大两房 楼层好 南北通 满五唯一税少 业主诚意出售房主自荐,445万,2室2厅 | 101.2平米 | 南 北 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0be973a8-97e5-4b94-a408-03a3cdaca28b.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥双轨交 2000年小区 带48平阳光房 满五唯一,510万,3室2厅 | 117.03平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PTLZomKJL_1.jpg.296x216.jpg
20201223,嘉定,江桥,一手动迁，税费少，纯毛坯，视野开阔,320万,2室2厅 | 73.12平米 | 南 | 毛坯 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/48fef1be-d40d-48f7-a8c0-5edcd3119332.JPG.296x216.jpg
20201223,嘉定,江桥,高品质电梯洋房！复式！带3个大露台！满五唯一带车位房主自荐,980万,4室3厅 | 168.64平米 | 南 北 | 精装 | 高楼层(共8层) | 2013年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170813/1f5b155d-61b1-448d-ba4d-470cccf14048.jpg.296x216.jpg
20201223,嘉定,江桥,MAX未来 2室1厅 东新上,158万,2室1厅 | 52.09平米 | 东 | 简装 | 低楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,锦华大三房 飞机户型 南北通透 带产权车位 装修新上,610万,3室2厅 | 133.32平米 | 南 北 | 简装 | 低楼层(共17层) | 2011年建 | 板楼,
20201223,嘉定,江桥,泰辰复兴苑 1室1厅 南新上,260万,1室1厅 | 54.79平米 | 南 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-312319d0-ccc7-426d-81af-f3a8ef576cb2.png.296x216.jpg
20201223,嘉定,江桥,大宅风范城 2室1厅 南新上,310万,2室1厅 | 67.59平米 | 南 | 毛坯 | 高楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/0040789c-4b9c-4e58-a4c2-feb57d274a93.png.296x216.jpg
20201223,嘉定,江桥,2014年商品房小区 南北通户型 带车位,440万,2室2厅 | 89.91平米 | 南 北 | 简装 | 低楼层(共18层) | 2014年建 | 板楼,
20201223,嘉定,江桥,锦华高层大三房，中间位置，南北通透，飞机户型,650万,3室2厅 | 135.75平米 | 南 北 | 简装 | 高楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/88944d1c-67de-4640-a917-033a343a0e3b.png.296x216.jpg
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,92万,1室1厅 | 45.61平米 | 北 | 简装 | 中楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,朝南户型，三房，14号地铁线，采光通风好。房主自荐,480万,3室2厅 | 126.38平米 | 南 | 简装 | 低楼层(共16层) | 2011年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/732b44d6-3e18-4fe9-b681-6f0c5b8eb8d0.png.296x216.jpg
20201223,嘉定,江桥,锦华茗园 平南北通，满五唯一两房。,455万,2室2厅 | 111.02平米 | 南 北 | 简装 | 低楼层(共17层) | 2011年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/c73eb293-3557-4f33-995b-9cf5691fedc0.png.296x216.jpg
20201223,嘉定,江桥,复式房，上下两层，挑高4.5米，,130万,1室1厅 | 43平米 | 暂无数据 | 其他 | 中楼层(共9层) | 2011年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,119万,1室1厅 | 55平米 | 南 | 其他 | 高楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,人车分流小区，环境好，房子满五年，楼栋位置好,425万,3室2厅 | 90.61平米 | 南 北 | 精装 | 低楼层(共12层) | 2013年建 | 板楼,
20201223,嘉定,江桥,复两层，总价低  诚心出售，近地铁,125万,2室1厅 | 42.51平米 | 北 | 简装 | 中楼层(共9层) | 2011年建 | 板楼,
20201223,嘉定,江桥,MAX未来 3室2厅 东,150万,3室2厅 | 49.31平米 | 东 | 精装 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,采光充足，房型正气，一梯3户，温馨舒适,335万,2室2厅 | 72.78平米 | 南 | 简装 | 低楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/0de2462e-183c-4119-95ee-206abf5e9653.png.296x216.jpg
20201223,嘉定,江桥,毛坯房，高层采光好，业主诚意出售，到价格可签，可谈,425万,2室2厅 | 89.43平米 | 北 南 | 毛坯 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/4093aaed-31ec-491a-8874-364b2a8b06db.png.296x216.jpg
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,100万,1室1厅 | 43.35平米 | 北 | 其他 | 中楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,税费少+通风采光足+一梯四户非顶楼+真实在售,225万,2室1厅 | 60.27平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/66a3b2d18b161de2d811201034478e23-077.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥板块，一手动迁房，毛坯房，近地铁，万达商圈。,260万,1室2厅 | 61.23平米 | 南 | 毛坯 | 高楼层(共15层) | 2011年建 | 板楼,
20201223,嘉定,江桥,大虹桥商务区，人车分流次新小区，精装带空调。新上,435万,3室2厅 | 89.18平米 | 南 北 | 精装 | 低楼层(共10层) | 2013年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-81e1c0a4-8eda-40a4-98c0-fd95cf136e70.png.296x216.jpg
20201223,嘉定,江桥,14号轨交临洮路站别墅区，2012年建成，精装修带大花园,1650万,4室3厅 | 253.52平米 | 南 北 | 精装 | 低楼层(共1层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/feeeb1c4966963d77d83675fdf263988-095.jpg.296x216.jpg
20201223,嘉定,江桥,复式房  精装修  视野好  采光好   使用面积大,170万,2室2厅 | 51.31平米 | 南 | 精装 | 低楼层(共9层) | 2011年建 | 板楼,
20201223,嘉定,江桥,大虹桥+十四号线+中间楼层+大面积+诚心卖,184万,1室1厅 | 63.28平米 | 西 | 毛坯 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,中高区的南北通两房，房东诚意出售，真诚无套路，急售,430万,2室2厅 | 89.62平米 | 南 北 | 简装 | 中楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/47c62c35-62b5-4f38-8b9f-51a6c0cba71e.png.296x216.jpg
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,95万,1室1厅 | 43平米 | 北 | 简装 | 高楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,270万,1室1厅 | 116.72平米 | 南 | 其他 | 高楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室0厅,120万,1室0厅 | 56平米 | 暂无数据 | 其他 | 高楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,170万,1室1厅 | 77平米 | 北 | 其他 | 高楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,135万,1室1厅 | 54.32平米 | 南 | 其他 | 低楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,145万,1室1厅 | 42.51平米 | 北 | 其他 | 高楼层(共9层) | 2011年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 东,200万,1室1厅 | 96.05平米 | 东 | 其他 | 高楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅,120万,1室1厅 | 56平米 | 暂无数据 | 精装 | 高楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,上海电子商城 1室0厅 南,108万,1室0厅 | 27.82平米 | 南 | 其他 | 高楼层(共48层) | 2008年建 | 塔楼,
20201223,嘉定,江桥,香馥湾酒店式公寓 1室1厅 南,185万,1室1厅 | 65.01平米 | 南 | 其他 | 高楼层(共11层)  | 塔楼,
20201223,嘉定,江桥,香馥湾酒店式公寓 1室1厅 南,185万,1室1厅 | 65.01平米 | 南 | 其他 | 高楼层(共11层)  | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,97万,1室1厅 | 42.87平米 | 北 | 其他 | 高楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,大虹桥板块，金运路地铁站，万达商圈精装两房！,310.8万,2室2厅 | 72.29平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/0cb312af-dd3b-46b6-98b3-5ad6a74d9923.png.296x216.jpg
20201223,嘉定,江桥,商品房  7层带电梯  出门就是地铁和万达房主自荐,366万,2室2厅 | 73.4平米 | 南 | 毛坯 | 低楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/7d5c2d54-9c72-444d-bcb1-cb078d853a30.png.296x216.jpg
20201223,嘉定,江桥,大虹桥双规交+税费少+低总价诚心出售,283万,2室2厅 | 71.7平米 | 南 | 毛坯 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pwcMLU8x4_1.jpg.296x216.jpg
20201223,嘉定,江桥,地铁14号线嘉怡路站700米+满五唯一+中间位置+精装新上,388万,2室1厅 | 86平米 | 南 北 | 精装 | 低楼层(共17层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_36PzIyQoV_1.jpg.296x216.jpg
20201223,嘉定,江桥,大虹桥+双轨交、舒适两房、一手买入满五唯一房主自荐,425万,2室2厅 | 102.34平米 | 南 北 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1h7Stqn9m_1.jpg.296x216.jpg
20201223,嘉定,江桥,泰辰沙河茗苑 4室2厅 南,555万,4室2厅 | 108.13平米 | 南 | 其他 | 高楼层(共10层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/15bfd9ad-b366-409f-9913-61e810eb55eb.JPG.296x216.jpg
20201223,嘉定,江桥,MAX未来 1室1厅 东南,150万,1室1厅 | 47.39平米 | 东南 | 简装 | 高楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,此房精装修，高楼层，采光、通风、视野好新上,120万,1室1厅 | 56.28平米 | 南 | 简装 | 低楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,永和生活广场 1室1厅 北新上,130.6万,1室1厅 | 56.48平米 | 北 | 其他 | 高楼层(共11层) | 2008年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 2室2厅 东南,125万,2室2厅 | 35平米 | 东南 | 精装 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,房东诚意出售，价格可以谈。看房提前约，方便看,135万,2室1厅 | 47平米 | 东 | 精装 | 低楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAX未来 2室1厅 西新上,130万,2室1厅 | 41.42平米 | 西 | 精装 | 高楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,嘉莲华商住酒店式公寓(商业类) 1室1厅 南,108万,1室1厅 | 51.8平米 | 南 | 其他 | 高楼层(共6层) | 2007年建 | 板楼,
20201223,嘉定,江桥,精装修 有钥匙看房随时方便 税费少,85万,1室1厅 | 56.48平米 | 东 北 | 其他 | 低楼层(共11层) | 2008年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 1室1厅 北,130万,1室1厅 | 47.07平米 | 北 | 其他 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,上海电子商城 1室0厅 南 北,40万,1室0厅 | 8.68平米 | 南 北 | 其他 | 中楼层(共50层) | 2009年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 1室1厅 西新上,80万,1室1厅 | 26.69平米 | 西 | 其他 | 高楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室0厅 南,185万,1室0厅 | 92.57平米 | 南 | 精装 | 低楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 2室2厅 东,150万,2室2厅 | 45.38平米 | 东 | 精装 | 高楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAX未来 1室1厅 南,130万,1室1厅 | 36.2平米 | 南 | 精装 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,总价低，好租，交通便捷，去市区方便,93.5万,1室0厅 | 44.2平米 | 北 | 简装 | 低楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,香馥湾酒店式公寓 1室1厅 南,185万,1室1厅 | 59.85平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,
20201223,嘉定,江桥,MAX未来 1室1厅 东房主自荐,110万,1室1厅 | 47平米 | 东 | 精装 | 高楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,116万,1室1厅 | 59.47平米 | 南 | 简装 | 中楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,满五唯一+大两房 +小区环境安静+看房方便,360万,2室2厅 | 100.99平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/196433aca81b0b5eb2ec219bf07f5f79-009.jpg.296x216.jpg
20201223,嘉定,江桥,万达广场(嘉定) 2室2厅 北,188万,2室2厅 | 94.71平米 | 北 | 其他 | 中楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,嘉莲华商住酒店式公寓(商业类) 1室1厅 西南,130万,1室1厅 | 59.06平米 | 西南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,
20201223,嘉定,江桥,MAX未来 2室1厅 东,138万,2室1厅 | 49平米 | 东 | 其他 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,100万,1室1厅 | 42.52平米 | 北 | 其他 | 高楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 2室1厅 东,155万,2室1厅 | 53平米 | 东 | 其他 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,118万,1室1厅 | 54.32平米 | 南 | 其他 | 低楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 2室1厅 东,170万,2室1厅 | 54.26平米 | 东 | 其他 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,100万,1室1厅 | 44.56平米 | 北 | 精装 | 中楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,92万,1室1厅 | 42.22平米 | 北 | 其他 | 中楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,115万,1室1厅 | 55.49平米 | 南 | 其他 | 低楼层(共11层) | 2011年建 | 塔楼,
