20201223,普陀,真光,此房满五年唯一，楼层低采光充足，适合老人居住 。必看好房,255万,1室1厅 | 49.8平米 | 南 | 其他 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F1faO9rPU_1.jpg.296x216.jpg
20201223,普陀,真光,香樟苑(普陀) 2室1厅 南新上,349万,2室1厅 | 74.95平米 | 南 | 其他 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/1b4a7c1b-f6b2-4eb9-82dd-8ac3b7cec76a.png.296x216.jpg
20201223,普陀,真光,富颐星成公馆 2室2厅 南,310万,2室2厅 | 107.7平米 | 南 | 精装 | 11层  | 板楼,
20201223,普陀,真光,精装无需装修，精良保养，诚心出售，优质东朝向,208万,1室1厅 | 58.49平米 | 东 | 精装 | 11层  | 板楼,
20201223,普陀,真光,富颐星成公馆 1室1厅 东,255万,1室1厅 | 73.2平米 | 东 | 精装 | 11层  | 板楼,
20201223,普陀,真光,富颐星成公馆 2室2厅 南,375万,2室2厅 | 110.63平米 | 南 | 精装 | 11层  | 板楼,
20201223,普陀,真光,富颐星成公馆 1室1厅 东,179万,1室1厅 | 56平米 | 东 | 精装 | 11层 | 2016年建 | 板楼,
20201223,普陀,真光,富颐星成公馆 2室2厅 东,380万,2室2厅 | 110.63平米 | 东 | 其他 | 11层  | 板楼,
20201223,普陀,真光,富颐星成公馆 2室2厅 南,375万,2室2厅 | 110.63平米 | 南 | 其他 | 11层  | 板楼,
20201223,普陀,真光,富颐星成公馆 2室2厅 南,370万,2室2厅 | 107平米 | 南 | 其他 | 11层  | 板楼,
20201223,普陀,真光,富颐星成公馆 2室2厅 南,370万,2室2厅 | 110平米 | 南 | 其他 | 11层  | 板楼,
