20201223,徐汇,康健,2000年电梯三房  飞机户型   看房有钥匙随时可看必看好房,1245万,3室2厅 | 139.43平米 | 南 北 | 简装 | 中楼层(共10层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cfGrrxVsn.jpg.296x216.jpg
20201223,徐汇,康健,刚上 精装修全明大一房，一梯两户，居家保养好有院子房主自荐,353万,1室1厅 | 46.73平米 | 南 | 精装 | 6层 | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cebYve2lw_1.jpg.296x216.jpg
20201223,徐汇,康健,双南两房  板式户型  视野开阔房主自荐,420万,2室1厅 | 52.02平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s4ozIgDnE_1.jpg.296x216.jpg
20201223,徐汇,康健,满五年唯一，厨卫朝北，低楼层，采光无遮挡房主自荐,323万,1室1厅 | 47.3平米 | 南 | 简装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wKBobEM44_1.jpg.296x216.jpg
20201223,徐汇,康健,双南小户型 精装修 采光无遮挡 动迁税少 诚售房主自荐,428万,2室1厅 | 55.52平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_38zRwYbMN_1.jpg.296x216.jpg
20201223,徐汇,康健,总价低，主卧朝南，户型正气，小区里面位置,435万,2室1厅 | 56.68平米 | 南 北 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JlJztGSi9_1.jpg.296x216.jpg
20201223,徐汇,康健,新上好房，去年装修，拎包入住，楼层适中，看房方便房主自荐,485万,2室1厅 | 63.54平米 | 南 | 精装 | 24层 | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ivlLxyltn_1.jpg.296x216.jpg
20201223,徐汇,康健,1、3号线上海南站，距离500米，震撼价格、美丽户型！,648万,3室2厅 | 146.42平米 | 南 | 毛坯 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-365a1367-dc30-4fc9-8b22-d9654c47f757.jpg.296x216.jpg
20201223,徐汇,康健,近地铁中间楼层双南大两房，户型正气， 税费少,435万,2室1厅 | 62.66平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-101ad096-b797-448f-8efd-e35937e1f1b3.jpg.296x216.jpg
20201223,徐汇,康健,自住婚房装修 南北全明户型 采光无遮挡 近地铁 诚售,410万,2室1厅 | 52.85平米 | 南 北 | 精装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DIC4PIsdV_1.jpg.296x216.jpg
20201223,徐汇,康健,科苑新村 精装电梯 高区正南一房 业主诚意出售房主自荐,425万,1室1厅 | 48.3平米 | 南 | 精装 | 高楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/660ffec7-f4be-4690-867b-c1f154c32b4e_1000.jpg.296x216.jpg
20201223,徐汇,康健,动迁分房，税费低，诚意出售，带露台，全明边套户型,275万,1室1厅 | 46.83平米 | 南 | 简装 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-503067bd-652e-424e-839c-3bcb694d1e4a.jpg.296x216.jpg
20201223,徐汇,康健,独栋别墅，满五年，上下二层带200平院子,2930万,4室2厅 | 245.92平米 | 南 | 精装 | 2层 | 1997年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_ntQOoyLY4_1.jpg.296x216.jpg
20201223,徐汇,康健,唯一 一套顶楼复式，带超大露台,2100万,5室2厅 | 214平米 | 南 北 | 简装 | 高楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aPqxhcH3e_1.jpg.296x216.jpg
20201223,徐汇,康健,双南两房 全明户型 满五唯一 采光佳,490万,2室1厅 | 77.8平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/857bb23f-c938-465e-ac1a-67c2579abba5_1000.jpg.296x216.jpg
20201223,徐汇,康健,小区正花园位置 带花园一房 采光无任何遮挡 看房随时,365万,1室1厅 | 39.28平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cxDSAzVqS_1.jpg.296x216.jpg
20201223,徐汇,康健,一梯三户双南两房  小区花园位置 精装拎包入住房主自荐,468万,2室1厅 | 57平米 | 南 | 精装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j1xns55ef_1.jpg.296x216.jpg
20201223,徐汇,康健,全明户型，房型正气，客厅明亮，精装修一房可拎包入住房主自荐,241万,1室1厅 | 40.5平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e5229a43-b85f-482e-ba08-8bc85117d97f_1000.jpg.296x216.jpg
20201223,徐汇,康健,沿河景观、南北通风、房型正气、采光无遮挡、近地铁。,300万,1室1厅 | 47.54平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gV8mtNrdI_1.jpg.296x216.jpg
20201223,徐汇,康健,满五年 小区花园位置不沿马路 业主诚意出售 随时看房房主自荐,415万,2室1厅 | 56.88平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/575a5d0b-6a8d-44bf-897a-7556c6d09412_1000.jpg.296x216.jpg
20201223,徐汇,康健,正规一房一厅 南北通格局好 一梯二户，小区环境优美房主自荐,343万,1室1厅 | 42.24平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YLtsuRfvP_1.jpg.296x216.jpg
20201223,徐汇,康健,单价低，步行可达漕宝路地铁站、商场。,410万,2室1厅 | 91.87平米 | 北 | 简装 | 高楼层(共30层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YNqw3grel.jpg.296x216.jpg
20201223,徐汇,康健,南北两房，边套全明户型，近别墅，闹中取静,442万,2室1厅 | 62.08平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/15c9dabd-4631-4377-ac83-173979860198_1000.jpg.296x216.jpg
20201223,徐汇,康健,寿益坊：高区观景双南全明大两房，一梯两户，车位充足房主自荐,640万,2室1厅 | 89.28平米 | 南 | 简装 | 6层 | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UZwo5CwNV_1.jpg.296x216.jpg
20201223,徐汇,康健,2004年小区，板式户型，稀有三房，诚意出售，随时看,1088万,3室2厅 | 139.49平米 | 东南 南 | 精装 | 中楼层(共16层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0LIwfB12k_1.jpg.296x216.jpg
20201223,徐汇,康健,双南两房一厅，采光通风两相宜，装修好，拎包入住,445万,2室1厅 | 56.88平米 | 南 | 其他 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BuvXgpNPX_1.jpg.296x216.jpg
20201223,徐汇,康健,玫瑰园 5室3厅 南,4150万,5室3厅 | 495.47平米 | 南 | 其他 | 3层 | 1994年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/0e0ce633-14e2-4879-8d38-8872c11ce72d_1000.jpg.296x216.jpg
20201223,徐汇,康健,徐汇区带花园双拼别墅 中环地段 近世外 单价低,2600万,5室3厅 | 301.3平米 | 南 | 简装 | 2层 | 1994年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_LP76iGZjm_2.jpg.296x216.jpg
20201223,徐汇,康健,中楼层两室一厅，西边套全明格局，随时安排看房,399万,2室1厅 | 57.43平米 | 南 | 毛坯 | 6层 | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_wRHX1l4BZ_1.jpg.296x216.jpg
20201223,徐汇,康健,2005年的电梯房,诚意出售，房型正，居住舒适房主自荐,568万,2室1厅 | 82.3平米 | 东 | 精装 | 中楼层(共30层) | 2005年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/33dcf6b0-6ec9-41b8-8d6e-1feca1d05ab3_1000.jpg.296x216.jpg
20201223,徐汇,康健,售后公房，满五唯一，看房方便，诚意出售，采光充足,332万,1室1厅 | 45.83平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c8dbfcc6-bf41-44fb-be07-c296b440318e.png.296x216.jpg
20201223,徐汇,康健,徐汇康健2006年经典板式双南两房，电梯高区带产权车位,1100万,2室2厅 | 103.78平米 | 南 | 毛坯 | 高楼层(共21层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EhAhS040C_1.jpg.296x216.jpg
20201223,徐汇,康健,万象园 2室1厅 南,648万,2室1厅 | 93.21平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/380a01f665ebd1ea54eb0766cc1f34e0-050.jpg.296x216.jpg
20201223,徐汇,康健,南北两房，采光无遮挡，配套设施齐全，交通便利,385万,2室1厅 | 54.86平米 | 南 北 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160708/7de5439a-89cc-4dd1-b87e-788d6a1a711c.jpg.296x216.jpg
20201223,徐汇,康健,科苑新村 3室1厅 南新上,645万,3室1厅 | 69.84平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/d7244857-1914-45fa-a21e-e7faee8a0ff5.png.296x216.jpg
20201223,徐汇,康健,近地铁，中间楼层，户型方正，朝南一房，采光好新上,365万,1室0厅 | 33.13平米 | 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/762451C05C7F4DC2AECD8AE1B91DF883___03774aef5561a25f6f1b4b972cc82eaa.jpg.296x216.jpg
20201223,徐汇,康健,世外旁，上叠别墅，位置好，采光视野好，满五年急售,1300万,4室2厅 | 161.48平米 | 南 | 简装 | 中楼层(共4层) | 1995年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160527/4bbaac48-c5de-42e5-aa95-0af13c453406.jpg.296x216.jpg
20201223,徐汇,康健,康外电梯房，全明户型，采光充足，诚意出售。,625万,3室1厅 | 90.87平米 | 南 | 简装 | 高楼层(共24层) | 1994年建 | 塔楼,http://image1.ljcdn.com/shfdfs-image/20171124/f0e7009f-8712-4500-bd1d-7d984ff1c9c6.jpg.296x216.jpg
20201223,徐汇,康健,一梯三户  双南两房 近地铁一号线锦江乐园站,320万,2室1厅 | 53.82平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/ab1c56ed-fdcf-47c8-8a29-213923d681fa.png.296x216.jpg
20201223,徐汇,康健,房型方正，大一房，税费底，户型通透，采光好新上,350万,1室1厅 | 42.29平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/50513350-b601-43f8-a87a-0efb900a0946.png.296x216.jpg
20201223,徐汇,康健,花苑村紫竹园 2室1厅 南新上,455万,2室1厅 | 56.67平米 | 南 | 精装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/47fdb003-9746-455a-8432-dc19cfeb865d.jpg_200x150.jpg.296x216.jpg
20201223,徐汇,康健,双南双天井两房  低楼层 适宜有老人有小孩的家庭,333万,2室1厅 | 50.78平米 | 南 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,
20201223,徐汇,康健,沿河位置，三开间朝南正气大三房，求知中国,1020万,3室2厅 | 147.02平米 | 南 北 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,
20201223,徐汇,康健,2007年的电梯房,诚意出售，房型正，居住舒适有院子,405万,1室1厅 | 43.75平米 | 南 | 精装 | 低楼层(共7层) | 2007年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/1ac7a333-e3e1-444c-be97-3a9ae3ae9fdc.jpg.296x216.jpg
20201223,徐汇,康健,稀*复式错层+两梯两户+面对世外+交通便利,1380万,3室2厅 | 160.42平米 | 东 南 | 精装 | 8层 | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/e77751ce-1193-4110-a556-653123f7720f.jpg.296x216.jpg
20201223,徐汇,康健,公房出售 板式户型 楼层佳 业主诚售,445万,3室1厅 | 67.89平米 | 东 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/86f4a168-7d44-4b75-9073-0e2d68350073.png.296x216.jpg
20201223,徐汇,康健,中环近内环地段 独栋别墅 带花园 圆您别墅情结,2500万,4室2厅 | 225.63平米 | 南 | 毛坯 | 2层 | 1993年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/310000-inspection/b238aa9b-5001-4f81-ae03-ace2e5641825.jpg.296x216.jpg
20201223,徐汇,康健,中环近内环 双拼别墅 满五唯一 居家精装修 人文小区,2820万,6室3厅 | 301.3平米 | 南 | 精装 | 2层 | 1994年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/shfdfs-image/20170216/7244e4da-eb9d-4f4f-ab92-a08416560d8e.jpg.296x216.jpg
20201223,徐汇,康健,精装另享大露台，城市景光一览无余,365万,2室1厅 | 44.3平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/32502153-b982-470c-9619-a2804b005672.png.296x216.jpg
20201223,徐汇,康健,楼层好，位置佳，南北通透性好，居家陪读优选,403万,2室1厅 | 48.5平米 | 南 北 | 精装 | 中楼层(共4层) | 1991年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/c9c02ef8-f9f9-4003-9a92-01e13ce0a8be.png.296x216.jpg
20201223,徐汇,康健,用心选房，采光不遮挡，业主诚心卖，看房也方便的,410万,2室1厅 | 60.91平米 | 南 北 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/C6FD3352B0A943F5A14EB84DD9704043___c72623a0b91730a673488b99c96c7e6e.png.296x216.jpg
20201223,徐汇,康健,花苑村丁香园 2室1厅 南 北,380万,2室1厅 | 57.83平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20160527/6e94b423-2fba-49d3-b7a9-293a72b9cb49.jpg.296x216.jpg
20201223,徐汇,康健,舒适大两房，居家装修，全明户型，小区安静位置！房主自荐,650万,2室2厅 | 89.28平米 | 南 | 精装 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170517/4154e328-a2d8-4552-ad71-3da7e625f0a3.jpg.296x216.jpg
20201223,徐汇,康健,户型方正，双南户型，采光通透，通风好房主自荐,375万,2室1厅 | 77.5平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-7d24fe80-b5ca-4795-8804-473531711fa8.png.296x216.jpg
20201223,徐汇,康健,南北户型，售后公房，满五不唯一，中低楼层，不靠高架,426万,2室1厅 | 56.7平米 | 南 北 | 精装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/393c3e35-576e-40af-9ec9-a4bd1f2e911a.png.296x216.jpg
20201223,徐汇,康健,全明户型 楼层好 采光充足 钥匙房随时看,350万,2室0厅 | 48.78平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,
20201223,徐汇,康健,近地铁，朝南带阳台，户型方正，私密性强房主自荐,360万,1室1厅 | 39.97平米 | 南 | 毛坯 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/3c530008-0338-44de-b013-c42fd750f799.jpg.296x216.jpg
20201223,徐汇,康健,正规一房一厅，通透，户型正气，诚意出售房主自荐,348万,1室1厅 | 42.35平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/e591cfd1-2c16-4f06-98da-4fefb111e9ec.png.296x216.jpg
20201223,徐汇,康健,近1号线锦江乐园+配套设施齐全+小区环境好,385万,2室1厅 | 62.9平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/672970f4-d97f-473d-bb1f-91048c8171f0.png.296x216.jpg
20201223,徐汇,康健,康健南北通三房+两梯两户+近世外+交通便利+花园洋房房主自荐,1180万,3室1厅 | 129.59平米 | 南 | 精装 | 13层 | 2004年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-8920905d-6cc1-4c25-a4d9-6264f773ec8c.png.296x216.jpg
20201223,徐汇,康健,用心选房：桂林西街美户型，两南一北，全明户型。房主自荐,540万,3室1厅 | 73.46平米 | 南 | 简装 | 6层 | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/68848f7f-3437-4d89-80f1-27353a174bf3.png.296x216.jpg
20201223,徐汇,康健,全明南北，中层电梯房，户型正气，采光充足！,416万,2室1厅 | 78.3平米 | 南 | 精装 | 28层 | 1996年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-4dfece28-77d0-49dd-9c48-887f58a11046.png.296x216.jpg
20201223,徐汇,康健,双南户型，加装电梯中，业主已签字钱已交，拎包入住,440万,2室1厅 | 57.49平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-aa8ba86d-c409-4535-b88d-b6862b1aa807.png.296x216.jpg
20201223,徐汇,康健,双南两房，领包入住，税费少，减轻购房压力,1150万,2室2厅 | 110平米 | 南 | 简装 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/2fa0be55-7ddf-4c68-bdb6-79c0e3f1300b.png.296x216.jpg
20201223,徐汇,康健,适合家里有老人的，南北两房，满五唯一税费少，楼层低房主自荐,405万,2室1厅 | 50.15平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,
20201223,徐汇,康健,主卧朝南朝西次卧朝西，厨卫全明，小区中间诚意出售,350万,2室1厅 | 57.99平米 | 西 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/49576e64-47db-4069-ba28-2a4efab749c1.png.296x216.jpg
20201223,徐汇,康健,月季园(徐汇) 2室1厅 南,648万,2室1厅 | 89平米 | 南 | 简装 | 4层 | 1992年建 | 板楼,
20201223,徐汇,康健,高层一房，满五唯一，近地铁，对口求知。,360万,1室1厅 | 38.46平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/bcaf465a-ea78-4f11-a55f-89b1c1c77f71.png.296x216.jpg
20201223,徐汇,康健,花苑村丁香园 2室1厅 南新上,467万,2室1厅 | 67.36平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/eaea1fc9-cba0-42d6-b5e3-74a1cabf0f00.png.296x216.jpg
