20201223,嘉定,嘉定老城,05年户型方正，两房朝南一房朝北，南北精装修，急卖！必看好房,363万,3室2厅 | 128.61平米 | 南 北 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2c7ba34f-8b32-4054-b7d6-c731da9852d8_1000.jpg.296x216.jpg
20201223,嘉定,嘉定老城,低楼层大两房  此房满五唯一税费少 楼层适中新上,178万,2室1厅 | 69.21平米 | 南 | 简装 | 低楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/04c43ff9-7f6c-4655-bf26-b1bb6b4b6347.png.296x216.jpg
20201223,嘉定,嘉定老城,精装修，楼层好，价格实惠，配套齐全,120万,2室1厅 | 55.02平米 | 南 | 其他 | 高楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,铂悦818 4室1厅 南,145万,4室1厅 | 76.61平米 | 南 | 其他 | 中楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,酒店式公寓 精装上下两层两房 诚意出售房主自荐,90万,2室1厅 | 46.16平米 | 东 | 精装 | 高楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,低总价小两房 朝南电梯房 精装修带跃层 家电齐全,120万,2室2厅 | 50.81平米 | 南 | 精装 | 高楼层(共13层) | 2013年建 | 板楼,
20201223,嘉定,嘉定老城,嘉福汇 2室1厅 北,78万,2室1厅 | 45平米 | 北 | 精装 | 高楼层(共13层) | 2013年建 | 板楼,
20201223,嘉定,嘉定老城,铂悦818 2室1厅 南,110万,2室1厅 | 58.44平米 | 南 | 其他 | 高楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,铂悦818  精装修，价格实惠，配套齐全,156万,1室2厅 | 54.6平米 | 北 | 其他 | 高楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,嘉福汇 2室1厅,82万,2室1厅 | 44.34平米 | 暂无数据 | 其他 | 低楼层(共13层) | 2013年建 | 暂无数据,
20201223,嘉定,嘉定老城,铂悦818 2室1厅 南,110万,2室1厅 | 54.95平米 | 南 | 其他 | 高楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,铂悦818 1室1厅 南,160万,1室1厅 | 61.51平米 | 南 | 其他 | 高楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,铂悦818 4室2厅 南,190万,4室2厅 | 72.15平米 | 南 | 精装 | 中楼层(共13层) | 2011年建 | 塔楼,
20201223,嘉定,嘉定老城,精装小两房 总价低 带车位 看房方便,85万,2室1厅 | 45.62平米 | 北 | 精装 | 低楼层(共13层) | 2013年建 | 板楼,
