20201223,闵行,梅陇,精装一房，安全环保，楼层好，视野开阔，采光无遮挡必看好房,245万,1室0厅 | 39.3平米 | 南 | 精装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F9pggrzBl_1.jpg.296x216.jpg
20201223,闵行,梅陇,紫藤二村双南两房，视野开阔，采光好,245万,2室1厅 | 53.21平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tnp2FYX96_1.jpg.296x216.jpg
20201223,闵行,梅陇,全明双南采光佳，客厅宽敞正气，小区C位视野很好,450万,2室2厅 | 85.17平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m72jtJRAK_1.jpg.296x216.jpg
20201223,闵行,梅陇,罗阳三村 2室1厅 南,365万,2室1厅 | 74.54平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wl8vgSyeS_1.jpg.296x216.jpg
20201223,闵行,梅陇,低层双南两房，进光时间长，阳光好，卧室宽敞，户型正,300万,2室1厅 | 54.07平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JDuNTiKPI_1.jpg.296x216.jpg
20201223,闵行,梅陇,小区稀有低楼层，低总价的房子，税费少,188万,1室0厅 | 37.5平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IGlZtpZAW_1.jpg.296x216.jpg
20201223,闵行,梅陇,店长力荐，小户型一房，户型正气，精装拎包入住,185万,1室1厅 | 37平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_abtNXTOBz_1.jpg.296x216.jpg
20201223,闵行,梅陇,小区沿河位置，中间楼层，安静舒适，采光好，通透户型,380万,2室1厅 | 68.9平米 | 南 | 毛坯 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bFEgAR7tq_1.jpg.296x216.jpg
20201223,闵行,梅陇,采光充足，出门便利，朝南大一房，配套齐全,205万,1室1厅 | 45.92平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_jdxMDJlL4_1.jpg.296x216.jpg
20201223,闵行,梅陇,四村少有精装小户型，中楼层，拎包入住,185万,1室0厅 | 34.1平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vpqn2bIGt_1.jpg.296x216.jpg
20201223,闵行,梅陇,精装双南两房+前方无遮挡+满五唯一+拎包入住,379万,2室1厅 | 79.52平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_toXY9znP1_1.jpg.296x216.jpg
20201223,闵行,梅陇,1.2004房龄 2.全明户型 3.楼层好 4.户型方正房主自荐,260万,1室1厅 | 49.06平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HVmdlmbR3_1.jpg.296x216.jpg
20201223,闵行,梅陇,近地铁 双南两房 满五唯一税费少 采光通风好,270万,2室1厅 | 52.12平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-86d4baf2-f71e-491f-97ff-c0bf0e254511.jpg.296x216.jpg
20201223,闵行,梅陇,767弄双南两房+房型正气+厨卫朝北房主自荐,343万,2室1厅 | 75.83平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-fd2de5e4-38da-4a31-a974-e23c177b6039.jpg.296x216.jpg
20201223,闵行,梅陇,精装修，几乎没住过，价格实惠，进口家电，带产权车位房主自荐,650万,2室2厅 | 91平米 | 南 | 精装 | 低楼层(共26层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZDASMI4Rz_1.jpg.296x216.jpg
20201223,闵行,梅陇,此房满五唯一 小区中 心位置  视野采光无遮挡房主自荐,910万,3室2厅 | 146.98平米 | 南 | 精装 | 中楼层(共11层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lKgaV2wQ9_1.jpg.296x216.jpg
20201223,闵行,梅陇,锦鸿公寓+1号线+高楼层景观房+视野开阔,410万,2室2厅 | 89.36平米 | 南 | 简装 | 高楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_MA4Fruk9a_1.jpg.296x216.jpg
20201223,闵行,梅陇,品质小区 一梯两户 看房方便 高层采光好 看房方便,225万,1室1厅 | 49.15平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7ea6fc58-2ead-4606-865f-5a0805113411.jpg.296x216.jpg
20201223,闵行,梅陇,益文路79弄+1号线锦江乐园+精装修+采光好+位置安静,400万,2室1厅 | 82.14平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4zyGSMhNn_1.jpg.296x216.jpg
20201223,闵行,梅陇,中楼层＋视野采光佳＋近地铁一号线,350万,2室1厅 | 67.19平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BC085dU5y_1.jpg.296x216.jpg
20201223,闵行,梅陇,双南两房采光好,光线通透视野好房主自荐,330万,2室1厅 | 70.35平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BYy4hlGnc_1.jpg.296x216.jpg
20201223,闵行,梅陇,满五唯一税费少  南北通两房   看房方便随时可看,369万,2室1厅 | 71.14平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xLCcYuEcF_1.jpg.296x216.jpg
20201223,闵行,梅陇,罗阳新一村+大三房+带花园+精装修,585万,3室2厅 | 107.94平米 | 南 | 精装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-4e89d857-9c9d-424b-ad3d-46ef8a71b642.jpg.296x216.jpg
20201223,闵行,梅陇,【满五唯一+视野开阔+采光好+位置安静+一号线近地铁】,235万,1室1厅 | 46.37平米 | 南 | 毛坯 | 高楼层(共5层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_f9oHNBn43_1.jpg.296x216.jpg
20201223,闵行,梅陇,未名园精装三房 位置安静 满五不唯一 带产权车位房主自荐,1030万,3室2厅 | 134.68平米 | 南 北 | 精装 | 中楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_uploada6f985a2-c936-4b9a-909a-b9959aaab3b7.jpg.296x216.jpg
20201223,闵行,梅陇,户型方正，南北通，双阳台，环境好，单价低,860万,3室2厅 | 129.16平米 | 南 | 精装 | 低楼层(共12层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/627390f7-9d01-4491-ab67-8837269c2535.jpg.296x216.jpg
20201223,闵行,梅陇,两房改三房，双南卧，业主诚心。,330万,2室2厅 | 69.49平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b3c7dcf18f809fe4b87c96025addb555-099.jpg.296x216.jpg
20201223,闵行,梅陇,全新装修，满五唯一，诚意出售，全明户型。,232万,1室1厅 | 47.34平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_1a5e9954-44e4-412a-a0c6-d18184980613.png.296x216.jpg
20201223,闵行,梅陇,高区景观房，近地铁，品质小区，满五唯一，户型正气房主自荐,1020万,3室2厅 | 165.45平米 | 南 西南 | 精装 | 高楼层(共12层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/03330e36-f53c-47bc-a62d-f0869d03a257.jpeg.296x216.jpg
20201223,闵行,梅陇,罗阳三村 2室1厅 南新上,352万,2室1厅 | 67.77平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/fc4dc2c6-fb7f-4e3f-8271-6f62f046540b.png.296x216.jpg
20201223,闵行,梅陇,罕见户型+楼层  人生温馨的港湾  梦想的起跑线新上,368万,2室1厅 | 57.69平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/1de9379d-2a60-4f8c-ac55-985d9410370d.png.296x216.jpg
20201223,闵行,梅陇,大平层四房，电梯高区，小区花园位置 采光佳 价格可谈,1170万,4室2厅 | 148.37平米 | 南 | 简装 | 高楼层(共9层) | 2003年建 | 板楼,
20201223,闵行,梅陇,全明户型，房屋格局好，邻近地铁，配套齐全,480万,2室2厅 | 91.21平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-2b8e9033-b571-4288-adbd-5a9f0b8b0306.png.296x216.jpg
20201223,闵行,梅陇,上陇新村 1室1厅 南,265万,1室1厅 | 56.16平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/standard_af7deab9-064b-4272-a732-c23d64c55801.png.296x216.jpg
20201223,闵行,梅陇,近地铁+中楼层+一手动迁+满五唯一,450万,3室1厅 | 89.1平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,
20201223,闵行,梅陇,梅陇二村 3室1厅 南,380万,3室1厅 | 79.21平米 | 南 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,
20201223,闵行,梅陇,梅陇一村 2室0厅 南,300万,2室0厅 | 48.8平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/1595769851836___b4713fa824a9827f17cc9942b80f44e5.jpg.296x216.jpg
20201223,闵行,梅陇,上陇新村 2室1厅 南,325万,2室1厅 | 60.68平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/791c5e5f-f466-48ac-9816-c10c1937dc98.png.296x216.jpg
20201223,闵行,梅陇,四村经典南北两房，中间楼层户型方正,246万,2室1厅 | 51.99平米 | 南 北 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/mmexport1602918284755___d6275892e1543d69de268a3d249e47eb.png.296x216.jpg
20201223,闵行,梅陇,顶楼复式，高区景观房，看房方便房主自荐,1400万,5室3厅 | 261.22平米 | 南 北 | 简装 | 高楼层(共11层) | 2002年建 | 板楼,
20201223,闵行,梅陇,满五不唯一，南北通透，诚心出售，采光充足。房主自荐,310万,2室1厅 | 64.93平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/81a388cb-c07e-4e62-881e-cb0c24aa42cb.jpeg.296x216.jpg
20201223,闵行,梅陇,《小区花园位置》《满五唯一》《位置安静》,870万,3室2厅 | 117.37平米 | 南 | 简装 | 低楼层(共5层) | 2001年建 | 板楼,
20201223,闵行,梅陇,美丽家园小区中间位置，中间楼层，诚意出售！,225万,1室1厅 | 41.44平米 | 南 北 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,
20201223,闵行,梅陇,位置好，中间楼层三个阳台，采光通风优越！,485万,2室2厅 | 94.91平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,
20201223,闵行,梅陇,锦鸿公寓大四房，通风好，视野开阔，采光无遮挡,700万,4室2厅 | 165.47平米 | 西南 | 简装 | 中楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/2dd605bc-2b54-48e5-af51-bafd19438a4b.png.296x216.jpg
20201223,闵行,梅陇,大4房，电梯房，正南，满五年，看房需提前约房主自荐,688万,4室2厅 | 163平米 | 南 北 | 简装 | 低楼层(共26层) | 1996年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/a361cba3-a9aa-4b03-ae97-fca84cdc016d.png.296x216.jpg
20201223,闵行,梅陇,1号线锦江乐园+精致电梯一房+配套设施齐全+采光好。,328万,1室2厅 | 71平米 | 南 | 简装 | 高楼层(共26层) | 1996年建 | 塔楼,
20201223,闵行,梅陇,近地铁，南北通两房，视野好，单价低，适合做婚房。,408万,2室1厅 | 74.84平米 | 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,
20201223,闵行,梅陇,朝南户型，大三房，诚意出售，价格可谈,1000万,3室2厅 | 163.11平米 | 南 | 简装 | 中楼层(共12层) | 2000年建 | 板楼,
20201223,闵行,梅陇,精装双南两房，楼层位置好，采光好,410万,2室2厅 | 78.48平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/bb25b777-a60f-42fd-85c7-490a98cb54ba.png.296x216.jpg
20201223,闵行,梅陇,精致阁楼+2005年小区+闹中取静+2018年精装修,570万,3室2厅 | 88.21平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/4cea4b53-fb76-408d-9403-545cef5c205a.png.296x216.jpg
20201223,闵行,梅陇,户型正气，通风采光好，业主诚意出售。,258万,1室1厅 | 53.36平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/3aea3b8c-cf06-4d9d-a78e-2775c1394987.png.296x216.jpg
20201223,闵行,梅陇,原始两房现三房+普宅税费省+中间区域中间楼层房主自荐,370万,3室1厅 | 80.37平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uVdhTzOFE_1.jpg.296x216.jpg
20201223,闵行,梅陇,精装两房，含天井，中间位置，舒适安静，近地铁！房主自荐,350万,2室1厅 | 56.42平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Isk5LkPx7_1.jpg.296x216.jpg
20201223,闵行,梅陇,《安静位置》《南北通》《中区好楼层》《业主急售》,770万,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/02436a9f-5b5c-471a-9fb1-0779e95523d9.jpg.296x216.jpg
20201223,闵行,梅陇,总价低+二楼一房+自住刚需+店长力荐新上,160万,1室0厅 | 34.73平米 | 南 | 简装 | 中楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/02d6556b-cdad-4c3e-aa9b-59f1f4b190b2.jpg.296x216.jpg
20201223,闵行,梅陇,不容错过！！！上海阳城顶楼复式，景观房！,1298万,4室2厅 | 137.99平米 | 南 | 简装 | 高楼层(共10层) | 2003年建 | 板楼,
20201223,闵行,梅陇,店长力荐+二楼一房+刚需自住+总价低新上,180万,1室1厅 | 39.66平米 | 南 | 简装 | 中楼层(共5层) | 1983年建 | 板楼,
20201223,闵行,梅陇,位置安静，电梯高区，采光明亮。,738万,2室2厅 | 107.76平米 | 南 | 精装 | 中楼层(共8层) | 2004年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/27cc920a-f03e-4acd-b935-dd4c1895e640.png.296x216.jpg
20201223,闵行,梅陇,梅陇二村 2室1厅 南 西南,295万,2室1厅 | 52.6平米 | 南 西南 | 其他 | 低楼层(共6层) | 1992年建 | 板楼,
20201223,闵行,梅陇,罗阳四村 2室2厅 南,630万,2室2厅 | 134.81平米 | 南 | 其他 | 低楼层(共16层) | 2001年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/aad5882d-416f-43fd-bb73-1ba46d69d5ef.png.296x216.jpg
