20201223,宝山,月浦,刚需一居室 诚心出售  随时可看 非顶楼必看好房,135万,1室1厅 | 41.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4Yzk3i7LX_1.jpg.296x216.jpg
20201223,宝山,月浦,阳光美林 3室2厅 南房主自荐,370万,3室2厅 | 137平米 | 南 | 毛坯 | 高楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170815/22c3e88f-6ada-4e6e-9c70-3eac163d154d.jpg.296x216.jpg
20201223,宝山,月浦,三房两厅，精装修，总计低，2014年小区，电梯房房主自荐,260万,3室2厅 | 84.75平米 | 东南 | 精装 | 低楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/310000-inspection/rsp_pic_upload30288b45-be4e-425f-a04a-f8978f5ddb7c.jpg.296x216.jpg
20201223,宝山,月浦,改善户型 三房两厅两卫 景观楼层 +地铁三号线新上,499万,3室2厅 | 146.53平米 | 南 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/3b16cf58-0a00-443b-ac00-ea73d842bc48.png.296x216.jpg
20201223,宝山,月浦,楼层佳！采光通透！楼间距较大！近地铁！一梯两户房主自荐,143万,1室1厅 | 41.13平米 | 南 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/8bc3d6ea-299d-4b44-9ad5-aa308c525f26.png.296x216.jpg
20201223,宝山,月浦,业主诚心出售 交通便利  生活配套成熟新上,210万,2室1厅 | 61.41平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,
20201223,宝山,月浦,近地铁  景观楼层  前后无遮挡  全明户型房主自荐,299万,3室2厅 | 95.92平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/02522c58-7a09-41fe-86a0-f223f884d014.png.296x216.jpg
20201223,宝山,月浦,精装，户型方正，全明户型，小区花园位置，看房方便,190万,2室1厅 | 56.94平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/f1f68ff7-6f3e-4ce0-b5ea-99b410f93538.png.296x216.jpg
20201223,宝山,月浦,大面积复式，多居室双叠客厅，全明格局方便个性设计房主自荐,540万,5室4厅 | 252平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/0e21884d-2a72-45bd-84fe-e1ceb7daac70.png.296x216.jpg
20201223,宝山,月浦,满五唯一、中间楼层、双南户型、诚心出售、全明户型,200万,2室1厅 | 55.42平米 | 南 | 其他 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/29adbedd-c7d3-46da-bb75-bec332946377.png.296x216.jpg
20201223,宝山,月浦,次新房，精装修，诚意出售，可以看房，到价签字,250万,3室2厅 | 76.47平米 | 南 北 | 精装 | 高楼层(共7层) | 2014年建 | 板楼,
20201223,宝山,月浦,大面积底复，价格可谈，简单装修，拎包入住房主自荐,430万,4室2厅 | 123.32平米 | 南 | 精装 | 低楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160531/e80cd68d-a9e2-45f8-bb65-28da7bcd140a.jpg.296x216.jpg
20201223,宝山,月浦,低楼层，近地铁，大面积，稀有好房，拎包入住房主自荐,439万,6室3厅 | 152.25平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7f24da56-ed39-4f5d-873f-58a235588312.jpeg.296x216.jpg
20201223,宝山,月浦,满二 电梯房  一梯两户  原始格局毛坯房,265万,3室1厅 | 85.16平米 | 南 | 毛坯 | 中楼层(共10层) | 2015年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/55c9a0a7-1573-4d04-846b-2e816533624b.png.296x216.jpg
20201223,宝山,月浦,惠阳苑 2室2厅 南,310万,2室2厅 | 92平米 | 南 | 其他 | 高楼层(共5层) | 2004年建 | 板楼,
20201223,宝山,月浦,顶楼复式！精装修！拎包入住！户型优质！小区环境好,450万,2室2厅 | 99.13平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/cd6a7fe3-f9f3-446d-9248-a3705b96aaf4.png.296x216.jpg
20201223,宝山,月浦,次新小区  两房一厅  环境优美两室,205万,2室1厅 | 61.41平米 | 南 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/0b698cf4-66ad-4bd6-b86d-5818395389ec.png.296x216.jpg
20201223,宝山,月浦,房子是满五年唯一的，出行便利，精装修，电梯房,480万,3室2厅 | 129.25平米 | 南 北 | 精装 | 中楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/8bedcb2b-a470-42fc-812c-260fea2527cd.png.296x216.jpg
20201223,宝山,月浦,全明户型  随时可签  诚意出售  采光倍棒,248万,2室1厅 | 91.2平米 | 南 | 简装 | 高楼层(共14层) | 2015年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/feff95aa-096a-4974-8f50-f372c8d62259.png.296x216.jpg
20201223,宝山,月浦,精装 拎包入住 品质小区 环境优雅,335万,2室2厅 | 97.16平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/3ed4ff04-f416-4553-8042-d99d6be377f7.png.296x216.jpg
20201223,宝山,月浦,近地铁 楼层好 业主诚心出售 品质小区 南北房,360万,2室2厅 | 97.16平米 | 南 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/3ed4ff04-f416-4553-8042-d99d6be377f7.png.296x216.jpg
20201223,宝山,月浦,低总价小三房，精装修，拎包入住,249万,3室2厅 | 84.2平米 | 南 | 精装 | 低楼层(共11层) | 2015年建 | 板楼,
20201223,宝山,月浦,总价低，面积大，配套成熟，满五唯一·采光好,160万,2室1厅 | 54.9平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/1eacf307-1c59-4720-8fc6-3ca769e62318.png.296x216.jpg
20201223,宝山,月浦,非顶楼 小区已经整改 交通配套齐全 业主诚心出售房主自荐,178万,2室1厅 | 56.26平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/f1f68ff7-6f3e-4ce0-b5ea-99b410f93538.png.296x216.jpg
20201223,宝山,月浦,精装修买进拎包入住，看房提前预约都能看到房主自荐,190万,1室1厅 | 54.84平米 | 南 | 其他 | 中楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/de22d34f-f26a-4bb7-95f7-b0f1964cbf90.png.296x216.jpg
20201223,宝山,月浦,此房满五唯一 双南户型 采光好 设施配套齐全 出行便利房主自荐,140万,2室1厅 | 48.32平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,
20201223,宝山,月浦,南北卧 采光通风佳 业主诚意出售 产权清晰 无抵押贷款,330万,2室2厅 | 97.63平米 | 南 北 | 简装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/0bd60435-6cdf-41cc-ae4a-fc831ee830a7.png.296x216.jpg
20201223,宝山,月浦,房龄新 楼层好 业主诚心出售 看房提前约！！,238万,2室1厅 | 72.64平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/38caedf4-e0a3-4eac-873e-f23ada085201.png.296x216.jpg
20201223,宝山,月浦,中冶锦园 1室1厅 南,189万,1室1厅 | 54.8平米 | 南 | 精装 | 中楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/cec822cb-66d3-4b85-aa00-3b4c8ba3b9f6.png.296x216.jpg
20201223,宝山,月浦,低楼层  出行方便  配套成熟  看房方便,400万,2室2厅 | 105.94平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,
20201223,宝山,月浦,三房两厅，精装修，总计低，2014年小区，电梯房,270万,3室2厅 | 84.67平米 | 南 | 精装 | 低楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/9b03d66b-5a51-4454-9e66-67ac5638d8db.png.296x216.jpg
20201223,宝山,月浦,宝莲湖！大两房！精装修！楼层优质！采光好！精致装修,425万,2室2厅 | 113.82平米 | 南 北 | 精装 | 中楼层(共9层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SqbVGzSlp.jpg.296x216.jpg
20201223,宝山,月浦,带电梯三房 双南飞机户型  中间楼  适合全家三代同堂房主自荐,275万,3室2厅 | 87.03平米 | 南 | 毛坯 | 中楼层(共11层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HVSx8m4jB.jpg.296x216.jpg
20201223,宝山,月浦,电梯洋房，次新房，环境优美，停车位充足，地铁一号线房主自荐,199万,1室2厅 | 57.21平米 | 南 | 简装 | 中楼层(共6层) | 2015年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ed900867-4daa-464d-b680-842ab04ace0c.jpg.296x216.jpg
20201223,宝山,月浦,电梯次新房 精装修 满五唯一 小区环境好新上,183万,1室1厅 | 54平米 | 南 北 | 精装 | 高楼层(共6层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RCTc3kSD0_1.jpg.296x216.jpg
20201223,宝山,月浦,三房，精装修，总计低，2014年小区，电梯房,240万,3室2厅 | 60.54平米 | 南 北 | 精装 | 高楼层(共7层) | 2014年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/rsp_pic_uploadfa46a733-8437-4e0d-a9ee-4ed9fa6cb3c9.jpg.296x216.jpg
20201223,宝山,月浦,中间楼层好房，环境优美，诚心出售,360万,2室2厅 | 99.35平米 | 南 | 毛坯 | 中楼层(共6层) | 2004年建 | 板楼,
