20201223,青浦,夏阳,近地铁 中间楼层 诚心出售 价格可以谈 满五必看好房,168万,1室1厅 | 63.92平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_c5ewENbAU_1.jpg.296x216.jpg
20201223,青浦,夏阳,金地精装洋房，吾悦商圈，店长推荐房主自荐,419万,3室2厅 | 131.99平米 | 南 | 精装 | 中楼层(共4层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fnhk5QCPP_1.jpg.296x216.jpg
20201223,青浦,夏阳,带车位 总价低 诚意出售 有钥匙看房随时！,385万,3室2厅 | 160.37平米 | 南 | 精装 | 低楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2j5n2atEa_1.jpg.296x216.jpg
20201223,青浦,夏阳,正规三房，诚心卖 无抵押无贷款 随时可以看,405万,3室2厅 | 115.41平米 | 南 | 简装 | 低楼层(共5层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1uHPi90jT_1.jpg.296x216.jpg
20201223,青浦,夏阳,晨兴公寓新上大三房，中间位置，采光好。,375万,3室2厅 | 136.37平米 | 南 | 简装 | 中楼层(共4层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bWX2MIi3M_1.jpg.296x216.jpg
20201223,青浦,夏阳,此房满五唯一，五楼带阁楼，使用面试大，采光充足,400万,3室2厅 | 150.72平米 | 南 北 | 简装 | 高楼层(共5层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ggdhQHIrL_1.jpg.296x216.jpg
20201223,青浦,夏阳,70年产权住宅 总价低 带电梯 近地铁口,205万,1室1厅 | 57.67平米 | 南 | 精装 | 高楼层(共7层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b5zD9r5iq_1.jpg.296x216.jpg
20201223,青浦,夏阳,大三房，南北通，户型方正，满五唯一,320万,3室2厅 | 112.69平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BrYb3CbPc_1.jpg.296x216.jpg
20201223,青浦,夏阳,保安新村 2室2厅 南,260万,2室2厅 | 91.79平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0FjXFBmqo_1.jpg.296x216.jpg
20201223,青浦,夏阳,荷景苑 3室2厅 南,460万,3室2厅 | 143.24平米 | 南 | 简装 | 高楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0b014d81-1eb7-4806-8f88-249d8aaace84.jpg.296x216.jpg
20201223,青浦,夏阳,顶楼带阁楼+满五唯一税费少+精装修,330万,3室2厅 | 126.09平米 | 南 北 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bfaaTtqoF_1.jpg.296x216.jpg
20201223,青浦,夏阳,品质小区三房，顶楼带阁楼，佳佳毓秀,495万,3室2厅 | 143平米 | 南 | 简装 | 高楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FO8NzMYmg_1.jpg.296x216.jpg
20201223,青浦,夏阳,顺驰蓝湾飞机户型大三房，带阁楼，配套齐全,490万,3室2厅 | 136平米 | 南 北 | 精装 | 高楼层(共5层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Xa7WEjbWY_1.jpg.296x216.jpg
20201223,青浦,夏阳,东方幼儿园，为您孩子插上梦想的翅膀,196万,3室1厅 | 65.97平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MbGFdQFnB_1.jpg.296x216.jpg
20201223,青浦,夏阳,两年精装修，有车位，居住舒适，中间位置,450万,3室2厅 | 164平米 | 南 | 精装 | 低楼层(共17层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Huzx5Slt1_1.jpg.296x216.jpg
20201223,青浦,夏阳,晨兴花园 景观楼层 交通便利 得房率高,335万,3室1厅 | 119.8平米 | 南 北 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5IPnr5Glh_1.jpg.296x216.jpg
20201223,青浦,夏阳,满五唯一税费低，采光视野好，通透性好，大两房。,325万,2室2厅 | 103.1平米 | 南 | 简装 | 中楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FdX46GMk8_1.jpg.296x216.jpg
20201223,青浦,夏阳,飞机户型   正气大三房   满五唯一    大花园,425万,3室2厅 | 136.46平米 | 南 北 | 精装 | 低楼层(共13层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8ALvSRaWt_1.jpg.296x216.jpg
20201223,青浦,夏阳,帕缇欧香苑，3室2厅南，业主诚心出售，随时可看,450万,3室2厅 | 146.6平米 | 南 | 简装 | 中楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vqj8L1X2N_1.jpg.296x216.jpg
20201223,青浦,夏阳,夏阳板块大三房  带院子  采光超好,385万,3室2厅 | 150.61平米 | 南 | 简装 | 低楼层(共4层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_U7BSl4bRJ_1.jpg.296x216.jpg
20201223,青浦,夏阳,全明精致大两房  视野开阔采光好  盘它！,152万,2室1厅 | 51平米 | 西南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6AQ7ouN4j_1.jpg.296x216.jpg
20201223,青浦,夏阳,边套河景房 全明户型  精装修  满五唯一,263万,3室1厅 | 82.41平米 | 南 | 精装 | 低楼层(共4层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aMsqRO1hU_1.jpg.296x216.jpg
20201223,青浦,夏阳,方正河景房 低楼层 临路可作店铺,242万,3室2厅 | 82.26平米 | 南 | 简装 | 低楼层(共3层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YscjUhVpb_1.jpg.296x216.jpg
20201223,青浦,夏阳,中等装修 拎包入住 采光通风好,165万,2室1厅 | 49.72平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_28HwarehN_1.jpg.296x216.jpg
20201223,青浦,夏阳,低楼层大两房必选，冬暖夏凉带大花园,172万,2室1厅 | 56平米 | 南 | 简装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RxFXr8RlQ_1.jpg.296x216.jpg
20201223,青浦,夏阳,医院路21弄 3室2厅 南,295万,3室2厅 | 112平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-5799b2e6-aba9-4440-8f28-85640462377c.jpg.296x216.jpg
20201223,青浦,夏阳,城东新村，四楼边套全明户型，经典大三房.,245万,2室2厅 | 83.66平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7afcbd65-b302-427a-b9d8-e952726c4603.jpg.296x216.jpg
20201223,青浦,夏阳,全明户型还是满五唯一不信你就来看看房主自荐,160万,2室1厅 | 54.13平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_x8unHRF6c_1.jpg.296x216.jpg
20201223,青浦,夏阳,荷景苑，精装修三房，户型正气，总价低，随时看,420万,3室2厅 | 143.24平米 | 南 | 精装 | 低楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kMNZCwKiP_1.jpg.296x216.jpg
20201223,青浦,夏阳,三房朝南 楼层好 采光佳 视野开阔,435万,3室1厅 | 145.94平米 | 南 | 精装 | 中楼层(共16层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_6IbwoMbTp_1.jpg.296x216.jpg
20201223,青浦,夏阳,地铁1000米+阁楼80平+两个露台50平+阳光房使用面积大,395万,3室1厅 | 113.75平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IzqqR8tPK_1.jpg.296x216.jpg
20201223,青浦,夏阳,楼栋装电梯，带阁楼精装修，买一层带一层诚意出售,340万,3室2厅 | 140.01平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/ea5ad52b-0aca-4b45-93cf-95349a540156.JPG.296x216.jpg
20201223,青浦,夏阳,华骥苑 3室2厅 南,288万,3室2厅 | 112.95平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/56628fd0-d1d5-4fa3-a194-59333de1a104.png.296x216.jpg
20201223,青浦,夏阳,华骥苑 3室2厅 南新上,360万,3室2厅 | 126平米 | 南 | 其他 | 高楼层(共6层) | 2008年建 | 板楼,
20201223,青浦,夏阳,仁恒运杰河滨花园 1室1厅 南新上,290万,1室1厅 | 78.15平米 | 南 | 精装 | 中楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/d86cd72d-6ceb-43b6-9b69-41c1c991766c.png.296x216.jpg
20201223,青浦,夏阳,装修大两房，近地铁，可以拎包入住,335万,2室2厅 | 98.68平米 | 南 | 其他 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/f3bc5870-8cf6-4ec0-b3cd-cb0d6ad0df06.png.296x216.jpg
20201223,青浦,夏阳,界泾港新村 3室1厅 南,280万,3室1厅 | 96.74平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-2356a196-12fb-4306-a9be-e35da625e4cb.png.296x216.jpg
20201223,青浦,夏阳,东方幼儿园，为您孩子插上梦想的翅膀，诚意出售,170万,2室1厅 | 58.59平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,
20201223,青浦,夏阳,仁恒小复式两房 精装修 看房联系维护人 随时可看,295万,2室2厅 | 90.47平米 | 南 | 精装 | 中楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/8f699aee-a190-4657-98c0-716a4dc324f4.png.296x216.jpg
20201223,青浦,夏阳,动迁税费少， 中间楼层，南北户型，近地铁,360万,3室2厅 | 124.34平米 | 南 | 毛坯 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/5e5e241e-037d-4551-8752-5dcb46146388.png.296x216.jpg
20201223,青浦,夏阳,动迁税费少 精装自住 带阁楼和露台 看房联系维护人,394万,3室2厅 | 129.45平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/f282c3e2-1098-4085-8e3d-86722fe6d600.png.296x216.jpg
20201223,青浦,夏阳,荷景苑 3室2厅 南,460万,3室2厅 | 141.98平米 | 南 | 简装 | 高楼层(共7层) | 2005年建 | 板楼,
