20201223,嘉定,丰庄,笋盘出售+满五唯一+看房方便+采光充足必看好房,220万,1室1厅 | 50.84平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5toI4RLT6_1.jpg.296x216.jpg
20201223,嘉定,丰庄,业主诚心出售+出门公交菜场+全明户型,203万,1室1厅 | 46.18平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eZ2BMQ2qP_1.jpg.296x216.jpg
20201223,嘉定,丰庄,双南两房，全明户型，13号沿线，小区中间位置房主自荐,270万,2室1厅 | 65.96平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4VMAzASEZ_1.jpg.296x216.jpg
20201223,嘉定,丰庄,一梯两户全明户型，小区位置好，诚意出售房主自荐,285万,2室1厅 | 56.46平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_I0cfAitju_1.jpg.296x216.jpg
20201223,嘉定,丰庄,丰庄一村 2室1厅 南房主自荐,310万,2室1厅 | 67.42平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-4dcb5c7e-11c5-407b-9c36-05bbdeb96708.jpg.296x216.jpg
20201223,嘉定,丰庄,南北通三房 无遮挡 诚售 看房方便房主自荐,630万,3室2厅 | 126.7平米 | 南 北 | 简装 | 低楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ff3b7347-36fe-487e-b1b3-2174f0c5d2ff.jpg.296x216.jpg
20201223,嘉定,丰庄,全明户型 ，客厅有窗，采光好，一梯两户，位置佳房主自荐,220万,1室2厅 | 53.02平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-5a5178ef-5f30-4a8d-a9d8-43023f39b906.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁满五唯一+南北全明户型+小区中间位置安静房主自荐,230万,1室1厅 | 50.68平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fuijQHAj3_1.jpg.296x216.jpg
20201223,嘉定,丰庄,双南户型格局好，小区位置好，户型正气，得房率高,300万,2室1厅 | 66.35平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FKp4Ze02l_1.jpg.296x216.jpg
20201223,嘉定,丰庄,一梯两户，双房朝南，高层采光好，满五唯一少税房主自荐,300万,2室1厅 | 67.42平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_067wJE5uX_1.jpg.296x216.jpg
20201223,嘉定,丰庄,满五唯一精装修，采光充足，全南户型，13号地铁口,465万,1室1厅 | 71.87平米 | 南 | 精装 | 高楼层(共13层) | 2008年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_1vYaNW6pr_1.jpg.296x216.jpg
20201223,嘉定,丰庄,精装大三房 动迁无增值税 景观楼层 12年小区,638万,3室2厅 | 128.88平米 | 北 南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z4Ch0gCFp_1.jpg.296x216.jpg
20201223,嘉定,丰庄,金丰新上朝南一房+地铁口旁+采光好+税费低+看房方便,245万,1室1厅 | 56.98平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-345a04b0-081f-4931-93fd-a1d5f305d81b.png.296x216.jpg
20201223,嘉定,丰庄,近地铁外环内09年小区刚需户型正气采光视野很好,319万,2室1厅 | 50平米 | 南 北 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a8dwRFl84_1.jpg.296x216.jpg
20201223,嘉定,丰庄,超赞户型，三室朝南，满五唯一，采光好位置优，近地铁房主自荐,470万,4室2厅 | 123.35平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/958f66683dde00a16363f8450fc929c3-052.jpg.296x216.jpg
20201223,嘉定,丰庄,这个单价你心动了吗？大大大复式，户型方正看房方便！房主自荐,738万,5室3厅 | 186.02平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/82742b90e7775d4edde8d9f9b226908d-036.jpg.296x216.jpg
20201223,嘉定,丰庄,Hot板式户型+采光好+尊享大虹桥商务圈 +13号地铁沿线房主自荐,345万,2室2厅 | 72.06平米 | 南 北 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1e5ba2a2ff926227c226db8cde608795-023.jpg.296x216.jpg
20201223,嘉定,丰庄,顶楼复式 满五唯一 拎包入住 业主诚心 交通便利,1050万,4室2厅 | 215.62平米 | 南 北 | 精装 | 高楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/800b2734-fbdc-4294-97ac-f6cefffd12e2.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁复式 ，南北通风采光好，精装修,650万,4室2厅 | 149.73平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9d6ac7f521763e013b61af8ae0331e9f-095.jpg.296x216.jpg
20201223,嘉定,丰庄,209.73平，顶楼复式，一梯两户，中间位置房主自荐,750万,6室3厅 | 209.73平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e251c078b0731b87a560d141a21f084f-083.jpg.296x216.jpg
20201223,嘉定,丰庄,此房无抵押无贷款，南北通透，双阳台，采光充足,750万,4室2厅 | 151.25平米 | 南 北 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170215/4f2f1804-17dd-4bba-b95b-d6f4a9fc971f.jpg.296x216.jpg
20201223,嘉定,丰庄,13号线地铁口小区  一手动迁税费少 一梯两户全明户型房主自荐,645万,3室2厅 | 111.5平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/454cc1ead99283fe480f4f0db1f4e5e4-036.jpg.296x216.jpg
20201223,嘉定,丰庄,正规三房，非顶楼，户型正气，得房率高房主自荐,330万,3室1厅 | 76.87平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/516b1a8c-8a6b-4164-aa89-b6e07da0f172.jpg.296x216.jpg
20201223,嘉定,丰庄,房子满五年唯一，没有贷款，没有抵押，诚心出售房主自荐,289万,2室1厅 | 66.26平米 | 北 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/e691d7d6-e708-4b61-9203-b6f41d655a15.png.296x216.jpg
20201223,嘉定,丰庄,景观大复式，附带八阳台，诚意出售随时可看房主自荐,715万,4室2厅 | 171.6平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/bafad264-fdd7-4759-99ca-0b2ee41b7f49.JPG.296x216.jpg
20201223,嘉定,丰庄,13号地铁沿线，大虹桥商务覆盖板块，小区中间凤凰楼层房主自荐,540万,2室2厅 | 93.4平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,
20201223,嘉定,丰庄,HOT!业主自住+干净清爽+诚心出售+采光充足+全明户型,285万,2室1厅 | 60.4平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/e6ea70fc-4cdd-4925-9402-3dca21d54332.png.296x216.jpg
20201223,嘉定,丰庄,少见户型，厅有窗户，税费少，采光明亮,310万,2室2厅 | 71.55平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/b0a575bd-814c-411d-92f6-97d0df5964f9.png.296x216.jpg
20201223,嘉定,丰庄,小户型，业主置换，看中可以签字,260万,1室1厅 | 54.61平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/a216cdb8-2ea1-4301-b7d6-f5ff105182c2.png.296x216.jpg
20201223,嘉定,丰庄,不需要购房资质，精装修，复式，配套齐全，买进价高,178万,2室1厅 | 53.5平米 | 南 | 精装 | 高楼层(共22层)  | 暂无数据,http://image1.ljcdn.com/x-se/310000-frame/efb14d17-cd76-4c01-96c7-a0a64679b5bc.jpg.296x216.jpg
20201223,嘉定,丰庄,楼层好，位置好，业主自住，看房方便房主自荐,529万,2室2厅 | 91.81平米 | 南 北 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,
20201223,嘉定,丰庄,户型方正+业主诚售+楼层佳+品质小区+价格优惠！房主自荐,650万,3室2厅 | 126平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2004年建 | 板楼,
20201223,嘉定,丰庄,2001年商品房，1梯2户，户型方正,650万,5室2厅 | 186.85平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,
20201223,嘉定,丰庄,一梯两户全明一房小区位置好 采光好 出行方便配套完善,215万,1室1厅 | 47.55平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/f7462b32-b458-476c-afa3-e75557d24422.png.296x216.jpg
20201223,嘉定,丰庄,客厅带窗位置好+楼层合适+业主诚心出售+看房方便！,378万,2室1厅 | 80.47平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-93da4965-a8cb-4fcf-9391-4a142e52657e.png.296x216.jpg
20201223,嘉定,丰庄,地铁口+全明格局+双朝南两室+小区中间位置,308万,2室1厅 | 66.56平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/2fc2ef63-f95c-4b1f-bc19-07e1144699c7.jpg.296x216.jpg
20201223,嘉定,丰庄,中环财富杰座 2室0厅,220万,2室0厅 | 90.9平米 | 暂无数据 | 其他 | 中楼层(共23层)  | 板楼,
20201223,嘉定,丰庄,华轩大厦 1室1厅 北,95万,1室1厅 | 48.86平米 | 北 | 其他 | 高楼层(共14层) | 2005年建 | 板楼,
20201223,嘉定,丰庄,华轩大厦 1室1厅 东,90万,1室1厅 | 48平米 | 东 | 其他 | 中楼层(共14层) | 2005年建 | 板楼,
20201223,嘉定,丰庄,成熟商圈*品质生活*一梯两户双南好户型*业主诚售,280万,2室1厅 | 64.19平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/8435b961-3a7f-4618-9e60-02fc6f8d22ca.png.296x216.jpg
20201223,嘉定,丰庄,此房满五唯一 地铁口双南 中等楼层 教育比较近方便,310万,2室1厅 | 66.5平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/99b1338a-c8d8-4612-a286-1fbcb07afe7b.png.296x216.jpg
20201223,嘉定,丰庄,店长推荐：正规户型！钻石楼层！专属维护人服务！,500万,2室1厅 | 121平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,
20201223,嘉定,丰庄,两房朝南优质户型，视野好采光好,230万,2室1厅 | 65.17平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/86610bef-ce69-4e39-a996-60e5e7c7a6a1.png.296x216.jpg
20201223,嘉定,丰庄,六复七+随时看房+空间再设计+带露台房主自荐,960万,5室3厅 | 192.64平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_knZJvOkYZ_1.jpg.296x216.jpg
20201223,嘉定,丰庄,采光好+南北通透+近地铁+诚心出售,225万,1室1厅 | 47.34平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HgNqe8bvx_1.jpg.296x216.jpg
20201223,嘉定,丰庄,户型方正+采光好+交通便利近地铁房主自荐,252万,2室1厅 | 54.24平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Taa5z5ol4_1.jpg.296x216.jpg
20201223,嘉定,丰庄,非顶楼，中间位置，不靠马路，户型方便异动,350万,3室1厅 | 79.15平米 | 南 | 毛坯 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sAFFTejTv_1.jpg.296x216.jpg
20201223,嘉定,丰庄,近地铁+低楼层+可GAI三房+武宁路xx+诚意出售,416万,2室1厅 | 89.07平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TNLQkgDgX_1.jpg.296x216.jpg
20201223,嘉定,丰庄,新上房源，满二税少，婚房装修，近地铁，诚心出售房主自荐,218万,1室1厅 | 45.42平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0dd42108-fefb-46b2-b535-517b18a0e14d.jpg.296x216.jpg
20201223,嘉定,丰庄,加装电梯示范小区嘉德坊，好停车，环境优美整洁.,300万,1室1厅 | 57.51平米 | 南 北 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4E4CzUrqH_1.jpg.296x216.jpg
20201223,嘉定,丰庄,中环财富杰座 1室1厅 西,180万,1室1厅 | 64平米 | 西 | 其他 | 中楼层(共20层) | 2013年建 | 塔楼,
20201223,嘉定,丰庄,中环财富杰座 1室1厅 南,175万,1室1厅 | 53平米 | 南 | 精装 | 低楼层(共20层) | 2013年建 | 塔楼,
20201223,嘉定,丰庄,中环财富杰座 1室1厅 南新上,150万,1室1厅 | 51.99平米 | 南 | 其他 | 中楼层(共22层)  | 暂无数据,http://image1.ljcdn.com/x-se/hdic-frame/prod-7b3317ee-3d32-469e-ac33-9ebbccf91dc1.png.296x216.jpg
20201223,嘉定,丰庄,中环财富杰座 2室2厅 南,250万,2室2厅 | 76.4平米 | 南 | 其他 | 高楼层(共20层) | 2013年建 | 塔楼,
20201223,嘉定,丰庄,中环财富杰座 2室1厅 南新上,180万,2室1厅 | 60平米 | 南 | 其他 | 高楼层(共20层) | 2013年建 | 塔楼,
20201223,嘉定,丰庄,中环财富杰座 1室1厅 南,115万,1室1厅 | 60.93平米 | 南 | 其他 | 中楼层(共22层)  | 暂无数据,
20201223,嘉定,丰庄,中环财富杰座 2室1厅 南,196万,2室1厅 | 103.48平米 | 南 | 其他 | 中楼层(共22层)  | 暂无数据,
20201223,嘉定,丰庄,精装修+交通完善=配套齐全+随时看+复式+买进价高,160万,1室1厅 | 53平米 | 南 | 其他 | 中楼层(共23层)  | 板楼,
20201223,嘉定,丰庄,华轩大厦 2房间1卫 118万,118万,1室1厅 | 55平米 | 东南 | 其他 | 中楼层(共14层) | 2005年建 | 板楼,
20201223,嘉定,丰庄,华轩大厦 2房间1卫 120万,120万,1室1厅 | 48.46平米 | 东 | 简装 | 高楼层(共14层) | 2005年建 | 板楼,
20201223,嘉定,丰庄,中环财富杰座 1室1厅 南,180万,1室1厅 | 64.49平米 | 南 | 其他 | 中楼层(共23层)  | 板楼,
20201223,嘉定,丰庄,华轩大厦 1房间1卫 128万,128万,1室0厅 | 46.96平米 | 南 | 其他 | 中楼层(共14层) | 2005年建 | 板楼,
20201223,嘉定,丰庄,中环财富杰座 1室1厅 南,122万,1室1厅 | 64.49平米 | 南 | 其他 | 中楼层(共22层)  | 暂无数据,
20201223,嘉定,丰庄,中环财富杰座 1室1厅 南,115万,1室1厅 | 60.7平米 | 南 | 其他 | 中楼层(共22层)  | 暂无数据,
20201223,嘉定,丰庄,中环财富杰座 1室1厅 东南,100万,1室1厅 | 44.32平米 | 东南 | 其他 | 低楼层(共20层) | 2013年建 | 塔楼,
20201223,嘉定,丰庄,中环财富杰座 1室2厅 西南,200万,1室2厅 | 56.39平米 | 西南 | 精装 | 高楼层(共23层)  | 板楼,
