20201223,浦东,川沙,妙栏小区两房出售中间楼层有钥匙看房方便必看好房,320万,2室1厅 | 73.39平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pMpUiZ3Pp_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，楼层好，采光好，通风好,290万,2室1厅 | 74.94平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vvGjNQZzt_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，低楼层，采光好诚心出售,380万,2室1厅 | 94.92平米 | 南 北 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CcNtzWIT9_1.jpg.296x216.jpg
20201223,浦东,川沙,此房满五年  全明通透格局  配套成熟 出行方便,168万,1室1厅 | 45.09平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cocmueJsd_1.jpg.296x216.jpg
20201223,浦东,川沙,12年动迁房，房龄新，税费少，一手动迁，户型方正,450万,2室2厅 | 82.33平米 | 南 | 简装 | 低楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tOewq1yD9_1.jpg.296x216.jpg
20201223,浦东,川沙,新德三村，精装自住，中间楼层，满五年唯一，看房方便房主自荐,255万,2室1厅 | 60.73平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DT6asjXIM_1.jpg.296x216.jpg
20201223,浦东,川沙,精装修大三房 满五唯一 靠河位置 看房随时诚心卖,427万,3室2厅 | 129.6平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xboRyTeQo_1.jpg.296x216.jpg
20201223,浦东,川沙,自住装修，满五唯一，视野开阔，楼下就是公交站台房主自荐,252万,2室1厅 | 73.36平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XTDLvIEB6_1.jpg.296x216.jpg
20201223,浦东,川沙,楼层好采光好小区位置佳 有钥匙随时可看房房主自荐,320万,2室2厅 | 93.12平米 | 南 | 精装 | 中楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r8kjKaVlM_1.jpg.296x216.jpg
20201223,浦东,川沙,景观位置，采光好带地暖，南北通厅大，精装,320万,2室2厅 | 87.55平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SQnJkafrh_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，中间楼层，配套齐全，交通便利房主自荐,158万,1室1厅 | 38.62平米 | 南 北 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bCB5rl2VN_1.jpg.296x216.jpg
20201223,浦东,川沙,近地铁，靠公园，中间楼层，采光好,220万,2室1厅 | 51.82平米 | 南 | 精装 | 中楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uL9pkw5DW_1.jpg.296x216.jpg
20201223,浦东,川沙,楼层好 精装修 小区的正中间位置不靠路 低总价 采光好,165万,1室1厅 | 38.18平米 | 南 | 精装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l38ufqLnQ_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜+满五唯一+业主急售+随时看房+可谈价房主自荐,150万,1室1厅 | 32.15平米 | 南 | 简装 | 高楼层(共5层) | 1976年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mDG2VBiHR_1.jpg.296x216.jpg
20201223,浦东,川沙,02年商品房。满五唯一，买入价高，税费少产权清晰房主自荐,499万,4室2厅 | 140.32平米 | 南 | 精装 | 中楼层(共6层) | 2002年建 | 平房,http://image1.ljcdn.com/110000-inspection/60a18c97-e9a6-4101-8a15-e225538dda36_1000.jpg.296x216.jpg
20201223,浦东,川沙,满五年唯一；精装修+中间位置+川沙大平层；采光好,850万,4室2厅 | 161.8平米 | 南 北 | 精装 | 低楼层(共13层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZIL5HCz92_1.jpg.296x216.jpg
20201223,浦东,川沙,两房朝南，卧室大开阔，楼层好观景房，业主诚意出售房主自荐,245万,2室1厅 | 76.81平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-36483855-236e-49ca-879b-f94ead65f960.jpg.296x216.jpg
20201223,浦东,川沙,此房满五唯一，总价低，南北户型，视野开阔，采光充足,230万,2室1厅 | 51.73平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KXhztMToI_1.jpg.296x216.jpg
20201223,浦东,川沙,低楼层，采光好，户型正气，进出方便。,219万,2室1厅 | 83.62平米 | 南 | 简装 | 低楼层(共6层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FaCw8SkFK_1.jpg.296x216.jpg
20201223,浦东,川沙,川沙园西，08年房龄，小区环境好，位置好房主自荐,238万,1室1厅 | 57平米 | 南 | 毛坯 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_HTTXNUB2f_1.jpg.296x216.jpg
20201223,浦东,川沙,房间朝南，两大天井，采光很足，税费各付房主自荐,169万,1室1厅 | 38.18平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IAlIU7aMB_1.jpg.296x216.jpg
20201223,浦东,川沙,华夏东路地铁两房 满五唯一 房东诚心出售 价格可谈房主自荐,355万,2室2厅 | 97.46平米 | 南 | 简装 | 低楼层(共5层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HZ6FM9rHz_1.jpg.296x216.jpg
20201223,浦东,川沙,视野开阔，顶楼复式 采光好，带露台业主诚心出售,400万,3室2厅 | 131.89平米 | 南 北 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e707a967-e83f-4199-b73a-99f6abbf5948_1000.jpg.296x216.jpg
20201223,浦东,川沙,绿海家园 2室2厅 南,197万,2室2厅 | 52.23平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lIwHpbgYk_1.jpg.296x216.jpg
20201223,浦东,川沙,复式电梯房得房率高 单价低 近地铁 配套成熟,440万,3室2厅 | 132平米 | 南 | 精装 | 低楼层(共18层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_pIuWqBODe_2.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一无个税品质小区，户型正气采光好，交通便利房主自荐,320万,3室1厅 | 90平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1c392f11-5394-4300-839f-35dc63963161_1000.jpg.296x216.jpg
20201223,浦东,川沙,精装三房，户型方正，中间楼层，诚心出售,450万,3室1厅 | 129.87平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mAoEJq2jt_1.jpg.296x216.jpg
20201223,浦东,川沙,近地铁，户型好，全明户型，装修好，配套好。房主自荐,385万,3室2厅 | 103.61平米 | 南 北 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/15f3ae6e-43a6-4b60-aa0f-055c39da4e61_1000.jpg.296x216.jpg
20201223,浦东,川沙,边套全明户型，楼层适中，近地铁房主自荐,315万,3室1厅 | 88.64平米 | 东 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/184d72d8-9609-4fed-a223-22119c494e53_1000.jpg.296x216.jpg
20201223,浦东,川沙,此房子满五唯一  贯彻南北 格局正气,490万,3室2厅 | 109.17平米 | 南 | 简装 | 低楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pFq5loqrb_1.jpg.296x216.jpg
20201223,浦东,川沙,精装大三房，两厅两卫双阳台隔音效果好,535万,3室2厅 | 128.36平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f07b24ad-7702-4b8f-87bb-e5b890ae5b82_1000.jpg.296x216.jpg
20201223,浦东,川沙,天和湖滨经典三房 南北双阳台，单价低 ，诚意出售,336万,3室2厅 | 120.45平米 | 南 | 毛坯 | 低楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/da4ab027-1656-46b4-8695-73e62add1325_1000.jpg.296x216.jpg
20201223,浦东,川沙,中间位置X好楼层 09年品质水景社区 南北通透采光好房主自荐,410万,2室2厅 | 92.72平米 | 南 北 | 简装 | 中楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1438640f-1415-4b49-8730-6d4f3fe8cc63_1000.jpg.296x216.jpg
20201223,浦东,川沙,次新商品房品质好 采光好 朝南次卧还带阳台 观澜川中房主自荐,1160万,4室3厅 | 176.96平米 | 南 | 简装 | 低楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CMd2U0qxh_1.jpg.296x216.jpg
20201223,浦东,川沙,小户型，低总价，采光楼层佳，业主诚心出售。,185万,1室1厅 | 40.11平米 | 南 | 简装 | 中楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8ia7Z2eWS_1.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层，房型正气，采光好，少税费,225万,2室1厅 | 53.26平米 | 南 | 毛坯 | 中楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6bd1DImMW_1.jpg.296x216.jpg
20201223,浦东,川沙,房型格局合理，总价低，一手动迁，税费少，楼层好房主自荐,145万,1室1厅 | 54.03平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TRBuxwZ1V_1.jpg.296x216.jpg
20201223,浦东,川沙,多层6楼的3楼，满五年，小区中间，有钥匙随时看房房主自荐,248万,2室2厅 | 89.23平米 | 南 | 毛坯 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/4d1153c5-f11d-40df-891e-d55b4b4b0c8c_1000.jpg.296x216.jpg
20201223,浦东,川沙,南北通格局好，采光充足，视野开阔，税费少，诚心出售房主自荐,350万,2室2厅 | 88.69平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/05d4e1c4-c1e9-4c44-a648-bb3edace1997_1000.jpg.296x216.jpg
20201223,浦东,川沙,一楼带花园，精装位置好，满五唯一税费低，安静无噪音,488万,3室2厅 | 131.93平米 | 南 北 | 简装 | 低楼层(共5层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f31950d1-d8b6-4e83-a263-ad2fa2e2c257_1000.jpg.296x216.jpg
20201223,浦东,川沙,城南小区 2室2厅 南房主自荐,278万,2室2厅 | 85.99平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-4141d637-a26e-4d2a-b86a-f857f48a8928.png.296x216.jpg
20201223,浦东,川沙,精装大三房  满五唯一  拎包入住  房东诚心出售房主自荐,465万,3室2厅 | 136.8平米 | 南 | 精装 | 中楼层(共4层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d090ca3b-77ae-4f89-8db0-f48e1df51fdc_1000.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一 视野宽阔，配套设施齐全 总价低 简单装修,210万,1室1厅 | 42.65平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ad096307-d145-4739-84c9-8843dd7fc87f_1000.jpg.296x216.jpg
20201223,浦东,川沙,电梯商品房，户型方正，采光充足,430万,2室2厅 | 109.25平米 | 南 | 简装 | 低楼层(共11层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c2a5680c-4047-416c-94c1-7aaf19119fae.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一观景楼层 大客厅  业主置换 诚心出售房主自荐,520万,4室1厅 | 153.64平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ec16f8b4-7be2-44d2-9390-7b5f549991d2_1000.jpg.296x216.jpg
20201223,浦东,川沙,大三房 带阁楼 高楼层采光好 价格实惠房主自荐,490万,3室2厅 | 131.23平米 | 南 | 简装 | 高楼层(共5层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7dd676c2-e6c8-4975-8211-160d770c2a84_1000.jpg.296x216.jpg
20201223,浦东,川沙,自住装修 两房朝南 上学方便 满五年不唯一,398万,2室2厅 | 78.23平米 | 南 | 简装 | 低楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8uq7UPtt1_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，楼层适中，房东诚心出售房主自荐,184万,2室1厅 | 76.86平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yhEzFjvzs_1.jpg.296x216.jpg
20201223,浦东,川沙,地铁口大三房，物美价廉，房东诚意出售。,480万,3室2厅 | 131.57平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EY58tK7S7_1.jpg.296x216.jpg
20201223,浦东,川沙,高楼层精致装修，视野采光双优，户型方正，诚意出售。,830万,3室2厅 | 121.2平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UdKfyTGhc_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜 川沙老城区位置 税费低 业主诚心出售 价格可谈房主自荐,208万,2室1厅 | 60.6平米 | 东 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7d07e4bf-9cc7-4ebc-a432-a82bfdd58498_1000.jpg.296x216.jpg
20201223,浦东,川沙,09年品质小区 刚需一房 满五唯一税费少 诚售价格可谈房主自荐,280万,1室1厅 | 65.42平米 | 南 | 简装 | 中楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/b2dc909b-4c53-4adb-8d9c-7560c043659c_1000.jpg.296x216.jpg
20201223,浦东,川沙,198平顶楼复式，川沙为数不多的复式的房，户型格方正房主自荐,550万,6室2厅 | 198.6平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/caff4856-3dd6-4f8f-8adb-12497494771c_1000.jpg.296x216.jpg
20201223,浦东,川沙,此房满两年税费少，低楼层适合一家人居住，厨卫全明！房主自荐,280万,2室2厅 | 86.02平米 | 东南 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-f48f1aa3-3934-4b8d-a014-a02d973e9f0b.jpg.296x216.jpg
20201223,浦东,川沙,房龄新，独门独户，南北通，视野开阔，一手动迁免增,160万,1室1厅 | 56.77平米 | 南 | 毛坯 | 低楼层(共6层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c8568ca1-6564-47bd-9e3f-e6674b55dd0b_1000.jpg.296x216.jpg
20201223,浦东,川沙,售后公房，满五唯一，小区中间位置房主自荐,257万,3室1厅 | 72.94平米 | 南 | 简装 | 中楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jGnDIouxu_1.jpg.296x216.jpg
20201223,浦东,川沙,南北户型，厅南北通， 近地铁，近百联，近家乐福房主自荐,322万,2室2厅 | 85.01平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7361f7e0-f17f-444d-bc3e-8a4953411f9f_1000.jpg.296x216.jpg
20201223,浦东,川沙,近2号线 精装修两房  房东诚心出售 满五唯一 价格可谈,225万,2室1厅 | 55.54平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iR4H6b3ww_1.jpg.296x216.jpg
20201223,浦东,川沙,曙航苑，一房朝南一房朝北，中间楼层，户型方正。,210万,2室1厅 | 54.32平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ba3641eb-e82d-4e55-84a1-c5cbef975bec_1000.jpg.296x216.jpg
20201223,浦东,川沙,此房满五唯一，近地铁，1梯2户，精装可拎包入住房主自荐,368万,2室1厅 | 81.13平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_01sSiUzb8_1.jpg.296x216.jpg
20201223,浦东,川沙,沙田公寓 精致三房 中间楼层 卧室朝南采光好 交通便利,305万,3室1厅 | 87.71平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/f5086836-fe9a-41c1-b61c-525a57049c94_1000.jpg.296x216.jpg
20201223,浦东,川沙,南北正气，小区环境舒适客户首套契税1个点二套3个点,445万,3室2厅 | 100.46平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cSKWjsJfR_1.jpg.296x216.jpg
20201223,浦东,川沙,房东自住精装修大面积好房  位置好 采光好,795万,3室2厅 | 187.06平米 | 南 | 精装 | 下叠(共3层) | 2010年建 | 板楼 | 叠拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_rZjg8XHAL_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一 一楼带花园 业主诚意出售！！房主自荐,212万,2室1厅 | 54.32平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IJTxXxcQ5_1.jpg.296x216.jpg
20201223,浦东,川沙,2014年次新房，南北通双阳台，采光充足，视野开阔。房主自荐,284万,3室2厅 | 111.42平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2014年建 | 暂无数据,http://image1.ljcdn.com/110000-inspection/d116808c-1880-4973-ab0e-bdbc70c68019_1000.jpg.296x216.jpg
20201223,浦东,川沙,天环苑 装修三房 阁楼已打通 满五唯一 看房随时安排房主自荐,279万,3室2厅 | 106.32平米 | 南 北 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AfvJQCccF_1.jpg.296x216.jpg
20201223,浦东,川沙,绿海三期少有的电梯房 大客厅南北通透 自住精装拎包住房主自荐,510万,2室2厅 | 110.96平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZTSlHxY7S_1.jpg.296x216.jpg
20201223,浦东,川沙,小户型两房 带天井 观澜/五三 总价低,220万,2室1厅 | 56.14平米 | 南 | 毛坯 | 低楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RZqkNSSsJ_1.jpg.296x216.jpg
20201223,浦东,川沙,房东就是建筑商，自己选的房子，诚心出售房主自荐,380万,2室2厅 | 120.14平米 | 南 | 简装 | 高楼层(共4层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Yk1gBJDcj_1.jpg.296x216.jpg
20201223,浦东,川沙,曙光北苑 3室2厅 南,450万,3室2厅 | 101.26平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ea40784f-7caa-4eb3-a01a-a7728351b87b_1000.jpg.296x216.jpg
20201223,浦东,川沙,五三，大两房，全明户型，不靠路，精装业主诚意出售,295万,2室2厅 | 88.38平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4omXp9VSP_1.jpg.296x216.jpg
20201223,浦东,川沙,业主急售，精装修4房，顶楼复式，采光通风很好房主自荐,750万,4室1厅 | 200平米 | 南 北 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/75f7c422-0013-4e9f-bafb-0d19d97ac6c7_1000.jpg.296x216.jpg
20201223,浦东,川沙,户型方正，配套齐全，得房率高，标准两房房主自荐,345万,2室1厅 | 74.77平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-73e79a17-e745-4962-83c2-b12e88916adc.png.296x216.jpg
20201223,浦东,川沙,天环苑中间楼层装修房 南北户型 拎包入住 通风采光佳,242万,2室2厅 | 77.41平米 | 南 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8bs08Dh6K_1.jpg.296x216.jpg
20201223,浦东,川沙,小户型、总价低、税费少、交通方便,185万,1室1厅 | 48.93平米 | 南 | 简装 | 低楼层(共4层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TDopi00Tu_1.jpg.296x216.jpg
20201223,浦东,川沙,精装修户型正，楼层好看房方便，观兰近地铁房主自荐,268万,2室1厅 | 71.59平米 | 南 | 精装 | 高楼层(共4层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/af980bfb-cd94-404d-aed0-865d904eb62a_1000.jpg.296x216.jpg
20201223,浦东,川沙,业主诚意出售，毛坯，随时可看。,210万,2室1厅 | 60.33平米 | 南 | 毛坯 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vNFV3jyiG_1.jpg.296x216.jpg
20201223,浦东,川沙,曙航苑  中层精装 满5年 户型正气 采光好房主自荐,250万,2室1厅 | 66.21平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4fbf1371-30a6-4405-96c9-db2680e34b25_1000.jpg.296x216.jpg
20201223,浦东,川沙,满五不唯一 税费少 总价低 售后公房 房东诚心出售房主自荐,160万,1室1厅 | 36.23平米 | 南 | 简装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/30de19be-cc4e-442d-85c9-5548361eb6b1_1000.jpg.296x216.jpg
20201223,浦东,川沙,观//澜 精装修 满五唯一 靠河  户型好房主自荐,260万,2室2厅 | 76.91平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e3133c95-8402-4c4c-9d7f-4a3273279a4b_1000.jpg.296x216.jpg
20201223,浦东,川沙,小户型+低总价+精装修+观景楼层+拎包入住房主自荐,180万,1室1厅 | 41.91平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7s05qChOg_1.jpg.296x216.jpg
20201223,浦东,川沙,正气大三房业主诚心出售，交通便利，刚需户型房主自荐,235万,3室1厅 | 98.8平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WjATmGWwi_1.jpg.296x216.jpg
20201223,浦东,川沙,近地铁，楼层好，精装修、可拎包入住，满五唯一,334万,2室1厅 | 80.51平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0X2CK6PNU_1.jpg.296x216.jpg
20201223,浦东,川沙,此房小区高档，楼层好、视野开阔，配套齐全房主自荐,1228万,4室2厅 | 177平米 | 南 | 精装 | 中楼层(共17层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y3UmD0Glg_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜三房 满五唯一 单价低 宜居楼层 采光通风好房主自荐,310万,3室1厅 | 91.03平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OzknVzITL_1.jpg.296x216.jpg
20201223,浦东,川沙,04年次新房+大户型+精装修+视野宽阔+诚意出售,510万,4室2厅 | 151.23平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4eb76adb-ea2a-4f10-b158-a8d23f021914_1000.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层 小区中间位置 户型方正 满五唯一,203万,2室1厅 | 74.03平米 | 南 | 其他 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c9a596fb-0961-4f8c-b116-fd93562f0b26_1000.jpg.296x216.jpg
20201223,浦东,川沙,翔川家园 1室2厅 南新上,430万,1室2厅 | 64.88平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pyLuUlZ6g_1.jpg.296x216.jpg
20201223,浦东,川沙,小区少有的好户型，一梯一户，双南全明户型。房主自荐,1020万,4室3厅 | 204.95平米 | 南 | 精装 | 低楼层(共8层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WSc1TxSVi_1.jpg.296x216.jpg
20201223,浦东,川沙,此房满五不唯一，近地铁，川沙为数不多的复式的房，,600万,5室2厅 | 195.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/c286541f-c8b9-46ee-a51b-1299f4ee3daf_1000.jpg.296x216.jpg
20201223,浦东,川沙,顶楼复式+2004年次新房+南北通透+满五唯一、方便停车房主自荐,588万,3室2厅 | 198.61平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TRWSSg3QR_1.jpg.296x216.jpg
20201223,浦东,川沙,09年品质小区 罕见顶复 毛坯5房 满五唯一 诚售可谈,950万,5室2厅 | 196平米 | 南 | 毛坯 | 高楼层(共12层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qDPxwmaPq_1.jpg.296x216.jpg
20201223,浦东,川沙,户型方正 精装修 少有大户型 诚心出售看房方便,850万,4室2厅 | 161.78平米 | 南 北 | 精装 | 低楼层(共13层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jl6CShjXy_1.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层，采光明亮，1室1厅，装修不错,168万,1室1厅 | 38.61平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CgLNuWz4j_1.jpg.296x216.jpg
20201223,浦东,川沙,业主诚心出售，价格可谈！看房方便！,182万,2室1厅 | 48.27平米 | 南 北 | 简装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oOvZ88ofr_1.jpg.296x216.jpg
20201223,浦东,川沙,凌港城两居室，南北通，采光好，位置好房主自荐,222万,2室2厅 | 74.49平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_toH5Ocb3R_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜，五三，唯一单价，捡漏房源房主自荐,230万,2室1厅 | 66.4平米 | 南 | 简装 | 高楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e77fadf2-db09-4759-9c48-9f4e2fa6e477_1000.jpg.296x216.jpg
