20201223,普陀,桃浦,新杨和苑 2室2厅 南必看好房,334万,2室2厅 | 92.86平米 | 南 | 毛坯 | 中楼层(共14层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1Fw1bFBzo_1.jpg.296x216.jpg
20201223,普陀,桃浦,满五2分之一不唯一，南北通透，采光很好，房主自荐,575万,2室2厅 | 101.36平米 | 南 北 | 精装 | 中楼层(共5层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-17888987-34ad-4a34-b327-7b3e3b291fd4.jpg.296x216.jpg
20201223,普陀,桃浦,楼层好 业主诚心出售 交通便利,252万,1室1厅 | 62.68平米 | 南 | 简装 | 低楼层(共16层) | 2011年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_qnhGOtird_1.jpg.296x216.jpg
20201223,普陀,桃浦,中楼层 诚意出售 近地铁 交通便利,180万,1室1厅 | 42.32平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Uu5tfnQ2B_1.jpg.296x216.jpg
20201223,普陀,桃浦,15号线旁，人车分流，空中花园洋房,895万,3室2厅 | 101.84平米 | 南 北 | 精装 | 低楼层(共33层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_o1l95EQJm_1.jpg.296x216.jpg
20201223,普陀,桃浦,中间楼层 客厅带窗 全明户型 业主诚心出售,215万,2室1厅 | 52.99平米 | 南 | 精装 | 中楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OrZ6M3QSs_1.jpg.296x216.jpg
20201223,普陀,桃浦,四村少见两房两厅，边套全明，精装拎包入住，满五唯一房主自荐,285万,2室2厅 | 73.26平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e573e135-1dda-4e25-98bf-f5bd74ccca61.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁 小区内安静 电梯中间户 精装修房主自荐,660万,3室1厅 | 91.09平米 | 南 北 | 精装 | 中楼层(共15层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_H97Rm4WbA_2.jpg.296x216.jpg
20201223,普陀,桃浦,品质小区 地铁房 中间楼层 零税费新上,295万,2室1厅 | 62.66平米 | 南 | 其他 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5ee75b91-d17a-4ce5-b03b-4d03c592de3e_1000.jpg.296x216.jpg
20201223,普陀,桃浦,稀友底复两层独立出入(非地下)实际使用230平方房主自荐,1386万,8室4厅 | 194.34平米 | 南 北 | 精装 | 低楼层(共29层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/619015f153c07eb44713bf0c0e5c853c-076.jpg.296x216.jpg
20201223,普陀,桃浦,同进理想城 2室2厅 西新上,160万,2室2厅 | 40.87平米 | 西 | 精装 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,11号线 桃浦新村 总价低  采光好 南北通透房主自荐,192万,2室0厅 | 52.65平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f329c0177fdbd6f48afc3df640c2fc76-045.jpg.296x216.jpg
20201223,普陀,桃浦,近中环花园小区双南南北通好户型位置好满五唯一无遮挡房主自荐,550万,2室2厅 | 107.8平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20180116/12970951-001f-4e67-bde5-0d9a5a645f5c.jpg.296x216.jpg
20201223,普陀,桃浦,全明户型，满五唯一，税费少，房东诚意出售房主自荐,352万,2室2厅 | 78.8平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/82f286b5-c0a0-4aa3-a176-22fb3bbd6317.jpg.296x216.jpg
20201223,普陀,桃浦,近地铁一房，低楼层，出入方便，适合老人改善居住,213万,1室1厅 | 48.48平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171005/1c1961e5-8011-450e-95e1-10326c0b00c4.jpg.296x216.jpg
20201223,普陀,桃浦,同进理想城 2室2厅 东,199万,2室2厅 | 55.8平米 | 东 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室2厅 南,215万,2室2厅 | 51.23平米 | 南 | 其他 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 1室1厅 西,175万,1室1厅 | 55.08平米 | 西 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 北,125万,2室1厅 | 40.13平米 | 北 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,15号线旁，人车分流，空中花园洋房房主自荐,1500万,8室4厅 | 221平米 | 南 北 | 精装 | 低楼层(共30层) | 2012年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/530D8E78A5D647E6968715FB93B0268F___4d0746cc70a05f8243a0818d46456d1e.jpg.296x216.jpg
20201223,普陀,桃浦,满五唯一税费少，南北通透大两房,675万,2室2厅 | 107.31平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/aa4ef807-eca7-4a58-9f8a-424ab01a05e9.png.296x216.jpg
20201223,普陀,桃浦,此房满五唯一税费少，全明户型，采光充足无遮挡,360万,2室2厅 | 72.23平米 | 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,
20201223,普陀,桃浦,同进理想城 3室1厅 西,228万,3室1厅 | 55平米 | 西 | 精装 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,优质公寓房，超高挑高，诚意出售,216万,2室1厅 | 54.09平米 | 南 | 精装 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 北房主自荐,145万,2室1厅 | 40.15平米 | 北 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,精装，楼层好，视野开阔，总价低，性价高,240万,2室1厅 | 78平米 | 东北 | 精装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,装修花了30万，带高档空调，品牌家电，楼层佳，采光好,195万,2室1厅 | 39.86平米 | 东 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 1室1厅 西,180万,1室1厅 | 41.98平米 | 西 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,两房朝南，中楼层，位置好，配套齐全,270万,2室1厅 | 62平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-0765bd2d-0205-4786-8df8-a6ff3254c2f4.png.296x216.jpg
20201223,普陀,桃浦,正气户型，配套齐全，地铁便利，诚意出售,340万,2室1厅 | 67.76平米 | 东南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,
20201223,普陀,桃浦,房子精装修，中高楼层，视野开阔,146万,1室1厅 | 40.61平米 | 北 | 精装 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,满五唯一，采光好无遮挡，边套全明户型,270万,2室1厅 | 60.98平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/fa0e4c62-a773-4d6c-9181-9387d6b2a819.png.296x216.jpg
20201223,普陀,桃浦,桃浦二村永汇新苑 2室1厅 南,360万,2室1厅 | 78.69平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/1256361f-1938-4505-91f5-b92648d8414f.png.296x216.jpg
20201223,普陀,桃浦,桃浦十村（紫藤苑小区银杏路120弄） 2室1厅 北 南,218万,2室1厅 | 55.01平米 | 北 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/rsp_pic_upload71cc690f-f3d2-4cdc-a61e-57097bac4603.jpg.296x216.jpg
20201223,普陀,桃浦,房子是一梯两户全明户型，户型正气，业主诚心出售,550万,2室2厅 | 107平米 | 北 南 | 简装 | 低楼层(共12层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d324cf1d-e435-4209-8cd5-2536bab57741_1000.jpg.296x216.jpg
20201223,普陀,桃浦,普陀区低单价板块，户型好，近外环400米,358万,2室1厅 | 94.96平米 | 南 | 其他 | 低楼层(共14层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d81399b6-c597-4766-9267-85ef771606ba_1000.jpg.296x216.jpg
20201223,普陀,桃浦,交通便利，配套齐全  诚意出售,228万,1室1厅 | 47.17平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ae5f1860-ff99-4b57-88c8-9c09eb0e12b1_1000.jpg.296x216.jpg
20201223,普陀,桃浦,同进理想城 2室1厅 南新上,210万,2室1厅 | 53.85平米 | 南 | 精装 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,精装修，超高挑高；业主诚意出售,190万,2室2厅 | 53.49平米 | 南 | 精装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,朝西、采光通风好、高楼层、总价低,158万,2室1厅 | 56.01平米 | 西 | 毛坯 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 南,150万,2室1厅 | 39.85平米 | 南 | 其他 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 西,155万,2室1厅 | 54.85平米 | 西 | 简装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,中高楼层、视野好、总价低、层高5.25米、采光好,118万,1室1厅 | 39.89平米 | 西 | 毛坯 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,四阳台，楼层好，品牌电器，采光很棒，挑高5.3米，,175万,2室2厅 | 56.45平米 | 北 | 精装 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,满五，总价低，中高楼层，采光通风好,165万,2室1厅 | 54.09平米 | 南 | 简装 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,精装修，进地铁，诚意出售，配套完善。,125万,2室1厅 | 40.13平米 | 北 | 精装 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 南,210万,2室1厅 | 57.81平米 | 南 | 简装 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,心动挑高，高档精装修，业主当新房保养，性价房,152万,2室1厅 | 39.71平米 | 东 | 简装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 南,195万,2室1厅 | 53.85平米 | 南 | 精装 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,看房方便 精装修 房东诚意出售,400万,3室2厅 | 100平米 | 西南 | 精装 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,精装修，高楼层，视野通风好，位置安静，总价低房主自荐,132万,2室1厅 | 40.56平米 | 西 | 精装 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 3室2厅 南,258万,3室2厅 | 78.3平米 | 南 | 精装 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,无遮挡，采光通风好，精装修，总价低,185万,4室1厅 | 56.45平米 | 北 | 精装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 东北,139万,2室1厅 | 40.35平米 | 东北 | 其他 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 西,180万,2室1厅 | 55.62平米 | 西 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 南,160万,2室1厅 | 43平米 | 南 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 北,155万,2室1厅 | 40.45平米 | 北 | 其他 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室2厅 东南,220万,2室2厅 | 62.92平米 | 东南 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 东北,142万,2室1厅 | 39.5平米 | 东北 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室2厅 北,160万,2室2厅 | 40.69平米 | 北 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 东,175万,2室1厅 | 53.43平米 | 东 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 北,125万,2室1厅 | 40.21平米 | 北 | 简装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室2厅 南,228万,2室2厅 | 55.03平米 | 南 | 精装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,办公两套打通，楼层视野好，适合办公开公司,135万,1室1厅 | 40.13平米 | 西 | 简装 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,四阳台，办公两套打通，楼层视野好，看房方便,185万,2室1厅 | 56.01平米 | 北 | 简装 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 3室1厅 东 南,180万,3室1厅 | 55.8平米 | 东 南 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 1室1厅,165万,1室1厅 | 41.19平米 | 暂无数据 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室2厅 西北,200万,2室2厅 | 57.2平米 | 西北 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室2厅 南,168万,2室2厅 | 40.2平米 | 南 | 精装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室2厅 北,195万,2室2厅 | 56平米 | 北 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室2厅 西,180万,2室2厅 | 54.06平米 | 西 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 南,185万,2室1厅 | 53.11平米 | 南 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 3室2厅 东,225万,3室2厅 | 55.88平米 | 东 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 1室1厅 北房主自荐,136万,1室1厅 | 41.92平米 | 北 | 其他 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 西,150万,2室1厅 | 41.19平米 | 西 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 3室2厅 南,240万,3室2厅 | 78.5平米 | 南 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 东 北,160万,2室1厅 | 46.97平米 | 东 北 | 毛坯 | 高楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 1室1厅 南,165万,1室1厅 | 40.64平米 | 南 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 1室1厅 南,165万,1室1厅 | 40.64平米 | 南 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 东南,198万,2室1厅 | 41平米 | 东南 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 东,137万,2室1厅 | 39.71平米 | 东 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 南,170万,2室1厅 | 54.78平米 | 南 | 精装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室2厅 西,216万,2室2厅 | 55.3平米 | 西 | 精装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,朝向好，装修好，小区绿化高，挑高5.3米，舒适,155万,3室1厅 | 41平米 | 南 | 其他 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 南,180万,2室1厅 | 55.62平米 | 南 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 北,228万,2室1厅 | 57.11平米 | 北 | 简装 | 低楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 南,220万,2室1厅 | 55.49平米 | 南 | 其他 | 中楼层(共9层) | 2014年建 | 板楼,
20201223,普陀,桃浦,同进理想城 2室1厅 西,135万,2室1厅 | 40平米 | 西 | 简装 | 中楼层(共9层) | 2014年建 | 板楼,
