20201223,杨浦,中原,店长推荐独栋全明户型，配套齐全必看好房,317万,2室1厅 | 60.84平米 | 东南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ce7afd1-058d-4ed5-9cb8-85faeadd665f_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修 中楼层 近地铁 全明两房,325万,2室1厅 | 58.28平米 | 西南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5f4f8caa-d581-4f4e-a8f9-fb7f8827be43_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁一村 1室1厅 南 北,216万,1室1厅 | 41.49平米 | 南 北 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0jda7fkqV_1.jpg.296x216.jpg
20201223,杨浦,中原,精装修+全明户型，品牌家电，拎包入住，近湿地公园,360万,2室1厅 | 70.81平米 | 南 | 精装 | 低楼层(共13层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/b19e13b7-40ee-470a-b13d-dad311b257fc_1000.jpg.296x216.jpg
20201223,杨浦,中原,市光四村 2室1厅 南,435万,2室1厅 | 73.36平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c561aae5-563c-428c-afda-93331bf6fe6d_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修一房，近地铁，一梯两户，业主诚意出售。房主自荐,225万,1室1厅 | 42.88平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dbdcdf0e-b9c7-4a82-8218-f4a571031cff_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 精装修 南北通透 全明户型 地铁口 诚意卖,350万,2室1厅 | 60.16平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3c75c406-be2d-494a-baba-bc44239bef3d_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 南北通的 老装修 产权清晰 无抵押无贷款,320万,2室1厅 | 54.03平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/20c20353-32a6-460a-9394-90efe3db33d7_1000.jpg.296x216.jpg
20201223,杨浦,中原,离梦想近了 实现舒适三房 体验奢华生活 新婚优先房主自荐,349万,3室1厅 | 80.21平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b7ab0215-a862-4b8c-b762-164cdcdd29bf.jpg.296x216.jpg
20201223,杨浦,中原,好户型 本周急卖  近地铁500多米美丽家园已经做好房主自荐,210万,1室1厅 | 41.35平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/aed7e630-b9ea-426c-b024-8a926ae565c2_1000.jpg.296x216.jpg
20201223,杨浦,中原,房子满五年唯一，采光好，业主诚心出售房主自荐,178万,1室1厅 | 39.76平米 | 东南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e13a1262-b85f-427d-aee8-da430da1b799_1000.jpg.296x216.jpg
20201223,杨浦,中原,居家装修  总价低  近地铁 配套齐全房主自荐,179万,1室1厅 | 34.05平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0e8f5818-0549-42e8-9ae6-9d52e8a05066_1000.jpg.296x216.jpg
20201223,杨浦,中原,一梯两户，正规三房，精装修，近地铁，配套完善房主自荐,360万,3室1厅 | 71.51平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Nb3nPVbRK_1.jpg.296x216.jpg
20201223,杨浦,中原,一梯三户，正对小区花园，售后公房，满五唯一,183万,1室0厅 | 37.73平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-93f7f2a5-4876-45f0-814c-9cf9fc21ff28.jpg.296x216.jpg
20201223,杨浦,中原,精装修 小区美丽家园已做好，可拎包入住房主自荐,169万,1室0厅 | 32.21平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0c12adee-9c9b-4297-b6f7-58508524920c_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修，美丽家园已做，看房方便，采光好,205万,1室1厅 | 37.25平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6a1ba51a-31ce-4532-95b4-938a6e03d9c1_1000.jpg.296x216.jpg
20201223,杨浦,中原,国和一村 1室1厅 南新上,295万,1室1厅 | 48.52平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NIDOy9xd4_1.jpg.296x216.jpg
20201223,杨浦,中原,采光好 户型方正  近长海医院  中间楼层,230万,1室1厅 | 40.36平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-97eb2d4b-d6e9-4668-ade4-93f91e7a2a29.png.296x216.jpg
20201223,杨浦,中原,近地铁，厅房同宽精装一房，采光无遮挡，诚意出售房主自荐,200万,1室1厅 | 41.44平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/bb120018-927e-4717-86ee-bbb5288b6924_1000.jpg.296x216.jpg
20201223,杨浦,中原,成熟小区！配置齐全！诚意出售！看房方便！,195万,1室1厅 | 39.24平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-a03b17bb-e8b0-4d82-ac91-53f3a6b018f3.png.296x216.jpg
20201223,杨浦,中原,地铁口、商场旁的电梯房，还是双南户型,505万,2室1厅 | 79.62平米 | 南 | 简装 | 中楼层(共18层) | 1992年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-c1d56eb2-7379-4dda-9b6c-61416f729ad8.jpg.296x216.jpg
20201223,杨浦,中原,中间楼层，南北户型，视野开阔，采光良好。,325万,2室1厅 | 59.03平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pa3EyU3J6_1.jpg.296x216.jpg
20201223,杨浦,中原,正南大1房 全明户型 采光通风好  满五唯一  诚心出售房主自荐,205万,1室1厅 | 42.41平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4MUN4f7f9_1.jpg.296x216.jpg
20201223,杨浦,中原,厨卫朝北+欧尚+长海医院+精装修+诚意出售,255万,2室0厅 | 48.42平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_STV8z4ohI_1.jpg.296x216.jpg
20201223,杨浦,中原,满五年不唯一厅房同宽，中间楼层，美丽家园即将完工,220万,1室1厅 | 41.4平米 | 南 | 毛坯 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/527afd36-91ab-47fd-8e9b-72e2f3161192_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁 小区美丽 家园 有尖顶 视野开阔房主自荐,232万,1室1厅 | 48.36平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/abca9eb1-732c-4e19-a51a-8d2ea8186252_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁路382弄 1室1厅 南,205万,1室1厅 | 41.54平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/8508c2b9-991c-40ed-9fae-da0cf4d13106_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁，厨卫朝北，厅带窗，全明户型，通风采光通风房主自荐,255万,1室1厅 | 46.84平米 | 南 | 其他 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/35c50500-6467-4e99-8f59-764fe158b373_1000.jpg.296x216.jpg
20201223,杨浦,中原,户型好，近地铁 楼栋位置好， 采光充足，单价低,198万,1室1厅 | 39.35平米 | 南 | 毛坯 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cT6jSbESD_1.jpg.296x216.jpg
20201223,杨浦,中原,一梯两户，前面无遮挡，全明户型,360万,1室1厅 | 59.31平米 | 南 | 简装 | 中楼层(共5层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7G4TrsSEk_1.jpg.296x216.jpg
20201223,杨浦,中原,市光四村 1室1厅 南,240万,1室1厅 | 43.08平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/09bfb6eb-778b-4814-8b0c-095949d56df7_1000.jpg.296x216.jpg
20201223,杨浦,中原,朝南一房 进欧尚、地铁 前无遮挡 满五年 随时看,230万,1室1厅 | 40.11平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/57920c62-0d0b-4b85-9436-e8498a0110ab_1000.jpg.296x216.jpg
20201223,杨浦,中原,品字全明户型，采光通风良好，满五唯一，诚意出售,298万,2室1厅 | 60.67平米 | 西南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0412d684-c2a5-4c48-ab91-a4994dd51fe9_1000.jpg.296x216.jpg
20201223,杨浦,中原,市光四村 1室1厅 南 北,220万,1室1厅 | 44.26平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_23TOGCJmx_1.jpg.296x216.jpg
20201223,杨浦,中原,电梯房，中间楼层，地铁八号线，售后公房。房主自荐,395万,2室1厅 | 71.93平米 | 南 | 简装 | 中楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/a1965af1-39cb-43a3-8947-69d4fb392583_1000.jpg.296x216.jpg
20201223,杨浦,中原,厅房同宽、朝南一房、近地铁、小区美丽家园,200万,1室1厅 | 39.56平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ae6ff530-6cfd-446d-81b4-40aeb41f80d9_1000.jpg.296x216.jpg
20201223,杨浦,中原,全新装修 拎包入住 近地铁  增值税业主自己付 有钥匙,210万,1室1厅 | 39.69平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IYzLOlLHE_1.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一，全明户型，厅房同宽，南北通透,310万,2室1厅 | 64.45平米 | 南 北 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/abdcf322-8996-4989-870f-b6376b145fd7_1000.jpg.296x216.jpg
20201223,杨浦,中原,采光不错，楼层好，配套设施齐全，近医院，近五角场,155万,1室1厅 | 30.26平米 | 北 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-376256ba-e490-4b76-843c-a38cf563c80a.jpg.296x216.jpg
20201223,杨浦,中原,1梯2户商品房 已改三房  满五年唯一 看房有钥匙房主自荐,690万,3室2厅 | 111.51平米 | 南 北 | 简装 | 高楼层(共4层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-13bd6d90-4dba-4fae-ae9d-2551ff7b6f61.jpg.296x216.jpg
20201223,杨浦,中原,星云苑 2室2厅 南,658万,2室2厅 | 96.02平米 | 南 | 精装 | 低楼层(共14层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_5L6pEL5gK_1.jpg.296x216.jpg
20201223,杨浦,中原,04年小区，地区好房。满5年，业主诚意卖。,1050万,4室3厅 | 155.3平米 | 南 北 | 简装 | 低楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_dWP8LMDLC_1.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一，南北，全明户型，视野开阔，采光充足！房主自荐,718万,2室2厅 | 92.76平米 | 南 | 精装 | 低楼层(共14层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_53KtYwJnO_1.jpg.296x216.jpg
20201223,杨浦,中原,次新小区，小区比较新，全明户型，视野开阔，采光好,740万,2室2厅 | 97.47平米 | 南 | 精装 | 中楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cYFraSuIA_1.jpg.296x216.jpg
20201223,杨浦,中原,4楼复5楼+品质小区+满五唯一+产证附带车库,1100万,4室3厅 | 168.97平米 | 南 | 简装 | 高楼层(共4层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_luiUYRVCK.jpg.296x216.jpg
20201223,杨浦,中原,小区好户型，看房方便，业主诚心出售，满五唯一房源。,620万,3室2厅 | 115.16平米 | 南 北 | 精装 | 低楼层(共24层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9c884be6-b29f-48f6-9dda-79423a47ff9b_1000.jpg.296x216.jpg
20201223,杨浦,中原,此房满五唯一，大三房精装修、厅房同宽、东边套房主自荐,479万,3室1厅 | 79.14平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0ed67c76-316c-461e-a3cc-1e5891510084_1000.jpg.296x216.jpg
20201223,杨浦,中原,此房满五唯一，近地铁，低楼层，使用面积大,525万,3室2厅 | 90.89平米 | 南 北 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f1f08bbf-c4d4-414a-90d7-bdd30b3b971f_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修，户型方正，适宜人群广泛。,408万,2室1厅 | 69.88平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0335c40e-1e07-4065-bde7-ebf4b00b1129_1000.jpg.296x216.jpg
20201223,杨浦,中原,室内面积充分利用，堪比60、平就问你值得不值得！房主自荐,255万,2室0厅 | 44.06平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E9h4JN8hS_1.jpg.296x216.jpg
20201223,杨浦,中原,边套全明户型,满五唯一,税费少,采光无遮挡,,338万,2室1厅 | 65.21平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mnkF9hW0J_1.jpg.296x216.jpg
20201223,杨浦,中原,南北两房，通风效果好，小区中间位置。房主自荐,340万,2室1厅 | 60.14平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1dh6twTkh_1.jpg.296x216.jpg
20201223,杨浦,中原,精装修  全明户型  熊猫三房,550万,3室2厅 | 88.21平米 | 南 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/21791edc-2b2f-4010-85b0-fda8c6d26be0_1000.jpg.296x216.jpg
20201223,杨浦,中原,翔殷心秀 2室2厅 南 北,658万,2室2厅 | 98.8平米 | 南 北 | 简装 | 低楼层(共8层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cLMnKPyxh_1.jpg.296x216.jpg
20201223,杨浦,中原,四百wan以内必看一年精装三房+近地铁+靠欧尚,365万,3室1厅 | 58.2平米 | 南 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MER9OGJZ9.jpg.296x216.jpg
20201223,杨浦,中原,开鲁路382弄 1室1厅 南,200万,1室1厅 | 42.08平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_66LrZMrGq_1.jpg.296x216.jpg
20201223,杨浦,中原,店长推荐：一手动迁，满五唯一，税费少，中楼层好户型,550万,2室2厅 | 113.27平米 | 南 | 简装 | 中楼层(共30层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9f560725-c0b8-4ec8-98b7-1f5660c20078_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁三村，精装修，近地铁，低楼层，得房率高房主自荐,320万,2室1厅 | 57.4平米 | 南 | 精装 | 低楼层(共18层) | 1999年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_HCgnbd0ep_1.jpg.296x216.jpg
20201223,杨浦,中原,开鲁一村全明三房+无遮挡+产权清晰+业主诚意房主自荐,495万,3室1厅 | 91.19平米 | 南 | 毛坯 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9fea4585-8ccf-4008-b3d5-3be8951ecff7_1000.jpg.296x216.jpg
20201223,杨浦,中原,电梯小洋房，房型正气，采光好，低楼层，总价低房主自荐,689万,3室2厅 | 93.5平米 | 南 | 精装 | 中楼层(共8层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c9a0c502-34bd-4d32-b295-cc4b9b14ae69_1000.jpg.296x216.jpg
20201223,杨浦,中原,南北通风，楼层好，采光佳，视野开阔，房主自荐,190万,1室1厅 | 33.09平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nO4HEjNN5_1.jpg.296x216.jpg
20201223,杨浦,中原,一室一户改装的创新两室一户特色房房主自荐,212万,2室1厅 | 42.07平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-9581cc5d-e76a-4b02-b1f5-723f5745c9c3.jpg.296x216.jpg
20201223,杨浦,中原,全明户型，精装修，边套有窗，房东诚意出售。,263万,1室1厅 | 48.5平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SmHzwwQ0f_1.jpg.296x216.jpg
20201223,杨浦,中原,莱茵三房+60平大露台+顶楼复式+电梯房+满五年+真好房,920万,3室2厅 | 130.38平米 | 南 北 | 简装 | 高楼层(共10层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-5f7b66f2-6f1d-4b2d-a0a1-e69698ba5300.jpg.296x216.jpg
20201223,杨浦,中原,精装修两房朝南 厨卫朝西 近地铁房主自荐,305万,2室1厅 | 57.38平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_X1W97Q7kE_1.jpg.296x216.jpg
20201223,杨浦,中原,急 急 急 满五唯一+欧尚超市+天井采光通风+,319万,2室0厅 | 57.6平米 | 南 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_QUdVItfmf_1.jpg.296x216.jpg
20201223,杨浦,中原,采光好，南北通，精装修，近地铁，诚意出售.,232万,1室1厅 | 49.05平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_LvfSkX5VY_1.jpg.296x216.jpg
20201223,杨浦,中原,层高近3.5米，可塑性高（跃层复式）；满五唯一,229万,1室1厅 | 51.61平米 | 南 | 简装 | 低楼层(共3层) | 1958年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-13a980c4-4409-4fc4-8f13-a3a51ee538e8.jpg.296x216.jpg
20201223,杨浦,中原,售后公房满五唯一，前面无遮挡，诚意出售房主自荐,240万,2室1厅 | 49.64平米 | 南 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_l2dapKmG3_1.jpg.296x216.jpg
20201223,杨浦,中原,精装修 可拎包入住  全明户型  采光好,200万,1室1厅 | 39.76平米 | 南 | 精装 | 低楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fr5aZ2h1D_1.jpg.296x216.jpg
20201223,杨浦,中原,近地铁，边套厨卫朝北，采光通风好，小区美丽家园已做,233万,1室1厅 | 43.49平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_5QcP5AOC3_1.jpg.296x216.jpg
20201223,杨浦,中原,双南两房，前方空地花园冬季采光无影响，满五年唯一,350万,2室1厅 | 70.94平米 | 南 | 精装 | 低楼层(共16层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_vxcba6BLX_1.jpg.296x216.jpg
20201223,杨浦,中原,近地铁+厅房同宽+小户型低总价+采光充足+生活很便利房主自荐,190万,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tEfOtPf1M_1.jpg.296x216.jpg
20201223,杨浦,中原,单价低    大两房    采光好    视野开阔房主自荐,346万,2室1厅 | 81.2平米 | 东南 南 西南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2d4694cc-d403-4223-9834-cc296f79fb61_1000.jpg.296x216.jpg
20201223,杨浦,中原,双南两房+全明两房采光好+满五年唯一+近地铁欧尚房主自荐,425万,2室1厅 | 83.7平米 | 西南 南 | 简装 | 低楼层(共18层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_yKJh9s6fw_1.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一+全明户型+精装修+98年小区一梯两户+板式楼房,480万,2室1厅 | 77.57平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9b4aaa7d-4657-4518-b30a-2316068a6d24_1000.jpg.296x216.jpg
20201223,杨浦,中原,次新小区，小区比较新，全明户型，,680万,2室2厅 | 98.2平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NkSVUdmjB_1.jpg.296x216.jpg
20201223,杨浦,中原,精装修拎包入住 采光好，近地铁，满五唯一 诚意出售,210万,1室1厅 | 40.67平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/04b42059-5cf5-400a-9072-ec89e25866fb_1000.jpg.296x216.jpg
20201223,杨浦,中原,1997年建造，小区中Xin位置，房东诚意出售，价格可谈,208万,1室1厅 | 40.36平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b6ad83eb-585e-4984-b7b4-6e98b507fadc_1000.jpg.296x216.jpg
20201223,杨浦,中原,中间楼层，全明户型，视野开阔，采光很好房主自荐,325万,2室1厅 | 59.6平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3fc6d8ce-df03-4854-80b8-58b15b90d310_1000.jpg.296x216.jpg
20201223,杨浦,中原,你的入住给房子带来生机，快来拥有它吧！,195万,1室1厅 | 40.07平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iImjhOSbj_1.jpg.296x216.jpg
20201223,杨浦,中原,满五年唯一，户型方正，诚意出售房主自荐,196万,1室1厅 | 39.81平米 | 南 | 简装 | 中楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/606b155e-77e7-4336-876a-9a99199db329_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 非顶楼 全明户型 南北通透房主自荐,292万,2室1厅 | 57.56平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Y15o1ahmV_1.jpg.296x216.jpg
20201223,杨浦,中原,世博小区中间楼层近地铁精装南北全通一房房主自荐,210万,1室1厅 | 40.45平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/293c31fe-9da5-4216-b55a-a8f0e95c6836_1000.jpg.296x216.jpg
20201223,杨浦,中原,市光一村 2室1厅 南,288万,2室1厅 | 49.92平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RIINkL1oU_1.jpg.296x216.jpg
20201223,杨浦,中原,南北通厅房同宽，精装修，采光好，可拎包入住房主自荐,183万,1室1厅 | 37.39平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e7fd2017-a6c2-4e4a-a41d-e7d0c14dcc65_1000.jpg.296x216.jpg
20201223,杨浦,中原,南北低总价低单价，全明户型，满五唯一，南北全通两房房主自荐,269万,2室1厅 | 51.16平米 | 南 北 | 简装 | 中楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/226f4b96-df18-48a1-b43d-98229550cc3d_1000.jpg.296x216.jpg
20201223,杨浦,中原,低楼层 近地铁 采光好 日照充足 客厅大,355万,2室1厅 | 56.67平米 | 东南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1899557c-5ff3-4729-b564-12e2e546a236_1000.jpg.296x216.jpg
20201223,杨浦,中原,双南全明户型 采光无遮挡 卫生间带窗的 详细可联系我,282万,2室1厅 | 55.49平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e197cd34-7021-491c-aed8-1bec23b21579_1000.jpg.296x216.jpg
20201223,杨浦,中原,世博小区 美丽家园已做好 厅房同宽 精装修 一居室房主自荐,230万,1室1厅 | 40.93平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/10ad4de7-6218-4efd-ac6b-4a25ed80dc6a_1000.jpg.296x216.jpg
20201223,杨浦,中原,带10平方院子，视野开阔，采光很好,261万,1室1厅 | 46.58平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fa78f20e-2cf7-4acd-baff-8fe69cb569c2_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁+采光好+精装修+全明房型+楼层好,340万,2室1厅 | 63.94平米 | 东南 | 精装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6db1b8f5-1ab2-44fa-b582-2784cdb427b8_1000.jpg.296x216.jpg
20201223,杨浦,中原,一梯两户近地铁+精装拎包入住+双南+南北通风+采光好,280万,2室1厅 | 53.96平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/11f85227-a09c-4834-92c1-b4a3f914fe5d_1000.jpg.296x216.jpg
20201223,杨浦,中原,此房为满五年唯一，南北通风 全明两房 中间楼层,358万,2室1厅 | 59.74平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/28a8d3ab-efb2-428e-98c7-bd6360511d8d_1000.jpg.296x216.jpg
20201223,杨浦,中原,南临花园+阳光充足+全明户型+美丽家园=心中好房,220万,1室1厅 | 41.4平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/504b4b1b-caa2-4657-bf8b-8a4b0de9dc4c_1000.jpg.296x216.jpg
20201223,杨浦,中原,全明户型，拎包入住，税费少，诚意出售房主自荐,252万,2室1厅 | 47.76平米 | 南 | 精装 | 高楼层(共5层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/946d16ba-b38e-47fe-9bbc-b350ebf15aca_1000.jpg.296x216.jpg
