20201223,宝山,高境,三开间朝南两房,电梯商品房,小区花园位置,采光无遮挡必看好房,565万,2室2厅 | 105.03平米 | 南 | 简装 | 高楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0vX4FBOF9_1.jpg.296x216.jpg
20201223,宝山,高境,景瑞遇道 1室0厅 北,85万,1室0厅 | 21平米 | 北 | 简装 | 低楼层(共6层)  | 板楼,
20201223,宝山,高境,景瑞遇道 1室0厅 东,120万,1室0厅 | 26.9平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,
20201223,宝山,高境,景瑞生活广场 2室1厅 北,240万,2室1厅 | 49.45平米 | 北 | 其他 | 低楼层(共7层)  | 暂无数据,
20201223,宝山,高境,景瑞遇道 1室0厅 南,88万,1室0厅 | 21平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,
20201223,宝山,高境,景瑞遇道 1室0厅 南,150万,1室0厅 | 26.95平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,
20201223,宝山,高境,景瑞遇道 1房间1卫 95万,95万,1室0厅 | 21.67平米 | 西 | 其他 | 中楼层(共6层)  | 板楼,
20201223,宝山,高境,景瑞遇道 1室0厅 南,81万,1室0厅 | 21平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,
20201223,宝山,高境,景瑞遇道 3室1厅 南,315万,3室1厅 | 71.96平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,
20201223,宝山,高境,中高层 南北通 前无遮挡 采光 视野好 税费少 诚心出售,590万,2室2厅 | 100.53平米 | 南 | 简装 | 中楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-732701dc-db49-4576-90c6-d8f3e3195976.png.296x216.jpg
20201223,宝山,高境,高境双南两房 满五唯一 税费少 采光好 出行方便,385万,2室1厅 | 73.68平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/c94a6313-7c6c-40b0-93d1-01597ec871a4.png.296x216.jpg
